sentence,frequency,code
bak baba,562,G2-L8-F562-10020
birlikte gidelim,562,G2-L16-F562-10027
tabii ki efendim,562,G3-L16-F562-10034
şu anda nerede,562,G3-L14-F562-10035
nasıl oluyor,561,G2-L12-F561-10038
artık istemiyorum,560,G2-L17-F560-10056
onunla git,560,G2-L10-F560-10061
nerede bu adam,559,G3-L14-F559-10084
benimle birlikte,559,G2-L16-F559-10087
bu iyi bir şey mi,559,G5-L17-F559-10094
harika bir yer,558,G3-L14-F558-10101
bize ne olacak,558,G3-L14-F558-10110
asla mı,558,G2-L7-F558-10116
orada bir şey yok,558,G4-L17-F558-10117
ne hoş değil mi,557,G4-L15-F557-10122
mutlu musun şimdi,556,G3-L17-F556-10143
ne demek neden,555,G3-L14-F555-10158
ne demek istiyor,555,G3-L16-F555-10160
evet aslında,555,G2-L12-F555-10168
çok üzgünüm efendim,554,G3-L19-F554-10174
değil mi tatlım,554,G3-L15-F554-10178
doğru ama,553,G2-L9-F553-10189
efendim lütfen,553,G2-L14-F553-10192
herkes mi,552,G2-L9-F552-10197
çok güzel oldu,552,G3-L14-F552-10201
çok şey,552,G2-L7-F552-10203
bu gece ne yapıyorsun,552,G4-L21-F552-10207
olur mu öyle şey,552,G4-L16-F552-10209
bu o olmalı,552,G3-L11-F552-10210
bunun için teşekkür ederim,552,G4-L26-F552-10212
başka ne olabilir,551,G3-L17-F551-10232
sen ne yapıyorsun burada,551,G4-L24-F551-10233
bunlar senin için,551,G3-L17-F551-10236
bekle hayır,551,G2-L11-F551-10230
tekrar bak,551,G2-L10-F551-10222
bir şey ister misiniz,551,G4-L21-F551-10224
büyük anne,550,G2-L10-F550-10241
hiçbir sorun yok,550,G3-L16-F550-10249
hep,550,G1-L3-F550-10256
dur bakalım orada,550,G3-L17-F550-10246
ama değilim,549,G2-L11-F549-10257
hey bu da ne,549,G4-L12-F549-10277
tamam önemli değil,548,G3-L18-F548-10278
bu kötü mü,548,G3-L10-F548-10279
siz misiniz,548,G2-L11-F548-10288
efendim efendim,548,G2-L15-F548-10289
gerçek mi bu,548,G3-L12-F548-10297
hayır öyle bir şey değil,547,G5-L24-F547-10311
hiçbir şey yapma,547,G3-L16-F547-10316
sadece benim,547,G2-L12-F547-10307
hayır hayır ben,547,G3-L15-F547-10303
yapmak istiyorum,546,G2-L16-F546-10336
peki teşekkür ederim,546,G3-L20-F546-10339
dur ne,546,G2-L6-F546-10321
o kız,546,G2-L5-F546-10320
haydi ya,545,G2-L8-F545-10356
her şey tamam mı,543,G4-L16-F543-10370
çok kötü değil,543,G3-L14-F543-10375
ne demek bilmiyorum,543,G3-L19-F543-10392
seni görmek harika,543,G3-L18-F543-10377
buradan lütfen,542,G2-L14-F542-10405
hepsi benim,542,G2-L11-F542-10406
evet yok,542,G2-L8-F542-10409
ve evet,542,G2-L7-F542-10412
hayır doğru,541,G2-L11-F541-10424
çok teşekkür ederim efendim,541,G4-L27-F541-10426
bu da nedir böyle,541,G4-L17-F541-10428
teşekkür ederim dostum,540,G3-L22-F540-10447
ama bilmiyorum,540,G2-L14-F540-10441
buna bak,540,G2-L8-F540-10436
bir dakika dur,539,G3-L14-F539-10456
burası da ne böyle,539,G4-L18-F539-10450
sen al,538,G2-L6-F538-10470
yarın büyük gün,538,G3-L15-F538-10471
o gerçek,538,G2-L8-F538-10474
ne oldu baba,538,G3-L12-F538-10481
sana ne oluyor,538,G3-L14-F538-10482
sizin mi,538,G2-L8-F538-10490
ne yapıyorsun ya,537,G3-L16-F537-10493
şu kız,537,G2-L6-F537-10496
ben de seni seviyorum baba,537,G5-L26-F537-10506
tatlım tatlım,537,G2-L13-F537-10509
ama burada değil,536,G3-L16-F536-10522
yardım geliyor,536,G2-L14-F536-10533
gel gel gel,536,G3-L11-F536-10518
bu iyi oldu,536,G3-L11-F536-10513
yani bilmiyorum,535,G2-L15-F535-10543
öyle olmaz,534,G2-L10-F534-10554
var tabii,534,G2-L9-F534-10557
öyle tabii,534,G2-L10-F534-10558
çok güzel çok güzel,534,G4-L19-F534-10562
yok artık daha neler,534,G4-L20-F534-10580
nasıl yapıyorsun,533,G2-L16-F533-10590
evet söyledi,533,G2-L12-F533-10600
baba dur,532,G2-L8-F532-10612
ne bunlar,532,G2-L9-F532-10615
bana söyledi,532,G2-L12-F532-10617
hayır lütfen yapma,532,G3-L18-F532-10618
bu ne peki,531,G3-L10-F531-10631
şimdi bir bakalım,531,G3-L17-F531-10640
oh bilmiyorum,531,G2-L13-F531-10642
şimdi gidelim,530,G2-L13-F530-10664
zor mu,530,G2-L6-F530-10656
onun gibi,530,G2-L9-F530-10662
bu çok harika,530,G3-L13-F530-10644
ne kadar da güzel,530,G4-L17-F530-10650
hey sen iyi misin,530,G4-L17-F530-10648
özür dilerim bayan,529,G3-L18-F529-10668
nereden biliyorsun bunu,529,G3-L23-F529-10676
ne kadar lazım,528,G3-L14-F528-10687
uzun bir gün oldu,528,G4-L17-F528-10695
gerçekten öyle mi,528,G3-L17-F528-10702
hey ne oluyor,528,G3-L13-F528-10682
gel bakalım buraya,528,G3-L18-F528-10680
belki daha fazla,527,G3-L16-F527-10709
seninle de,527,G2-L10-F527-10719
sadece o değil,527,G3-L14-F527-10725
şimdi iyi misin,526,G3-L15-F526-10734
hiç kimse mi,526,G3-L12-F526-10738
benim benim,526,G2-L11-F526-10743
evet biz,525,G2-L8-F525-10768
bu benim için mi,525,G4-L16-F525-10771
o da olur,525,G3-L9-F525-10759
bu kız,525,G2-L6-F525-10762
bir mi,525,G2-L6-F525-10761
belki bir gün,524,G3-L13-F524-10789
yanlış bir şey mi var,524,G5-L21-F524-10798
bunlar ne için,523,G3-L14-F523-10811
şu mu,523,G2-L5-F523-10813
o kadın,523,G2-L7-F523-10822
güzel bir şey,522,G3-L13-F522-10828
çok güzel bir yer,522,G4-L17-F522-10838
bunun ne demek olduğunu biliyor musun,522,G6-L37-F522-10847
şu an nerede,522,G3-L12-F522-10848
bunu istiyor musun,521,G3-L18-F521-10876
her şey iyi,521,G3-L11-F521-10874
ben de biliyorum,521,G3-L16-F521-10865
yardım lazım,521,G2-L12-F521-10861
yapma şimdi,521,G2-L11-F521-10857
ben ben ben,521,G3-L11-F521-10855
bekle bekle bekle bekle,520,G4-L23-F520-10891
bunu evet olarak kabul ediyorum,519,G5-L31-F519-10900
hayır ben özür dilerim,519,G4-L22-F519-10904
hayır beni dinle,519,G3-L16-F519-10907
sen neden,519,G2-L9-F519-10922
kötü bir zaman mı,518,G4-L17-F518-10930
bilmiyorum işte,518,G2-L15-F518-10941
para yok,517,G2-L8-F517-10952
anne ne yapıyorsun,517,G3-L18-F517-10953
hayır bunu yapma,517,G3-L16-F517-10971
beni değil,516,G2-L10-F516-10981
baba mı,516,G2-L7-F516-10988
burası olmalı,515,G2-L13-F515-11012
o çocuk,515,G2-L7-F515-11004
bu yüzden mi,514,G3-L12-F514-11026
kabul mü,513,G2-L8-F513-11038
evet onun gibi bir şey,512,G5-L22-F512-11055
bunun için çok üzgünüm,511,G4-L22-F511-11066
bunlar harika,511,G2-L13-F511-11081
yok teşekkürler,511,G2-L15-F511-11082
olur efendim,510,G2-L12-F510-11098
yani biz,510,G2-L8-F510-11088
daha da kötü,509,G3-L12-F509-11116
dinle şimdi,509,G2-L11-F509-11121
bu iyi değil mi,509,G4-L15-F509-11126
birlikte mi,508,G2-L11-F508-11131
devam edin lütfen,508,G3-L17-F508-11133
artık senin,508,G2-L11-F508-11134
bana ver onu,508,G3-L12-F508-11138
bundan pek emin değilim,508,G4-L23-F508-11145
sen dur,507,G2-L7-F507-11160
hayır hiçbir şey,507,G3-L16-F507-11157
ne lazım,506,G2-L8-F506-11177
biz değil,505,G2-L9-F505-11192
sana yardım ederim,505,G3-L18-F505-11200
hey bekle bir dakika,505,G4-L20-F505-11193
oh bu harika,505,G3-L12-F505-11206
sorun yok tatlım,505,G3-L16-F505-11191
evet hadi gidelim,505,G3-L17-F505-11190
beni burada bekle,505,G3-L17-F505-11186
ne dedim ben sana,504,G4-L17-F504-11210
bu bir sorun,504,G3-L12-F504-11220
o neden,504,G2-L7-F504-11223
tamam dedim,504,G2-L11-F504-11228
seni gerçekten seviyorum,503,G3-L24-F503-11239
bu iyi geldi,503,G3-L12-F503-11241
hiçbir şey efendim,503,G3-L18-F503-11245
tamam gel,503,G2-L9-F503-11248
bu yeni,502,G2-L7-F502-11260
aslında bilmiyorum,502,G2-L18-F502-11259
o ne olacak,501,G3-L11-F501-11273
git hemen,501,G2-L9-F501-11276
bu çok daha iyi,501,G4-L15-F501-11285
burada değilim,501,G2-L14-F501-11265
bütün gece,500,G2-L10-F500-11293
hey haydi,500,G2-L9-F500-11295
hayır sen değil,500,G3-L15-F500-11303
ben bir,499,G2-L7-F499-11318
lütfen bize yardım edin,499,G4-L23-F499-11313
yerde,499,G1-L5-F499-11319
peki ben,499,G2-L8-F499-11332
sorun değil tatlım,499,G3-L18-F499-11333
hoş biri,498,G2-L8-F498-11336
yok artık ya,498,G3-L12-F498-11342
haydi anne,498,G2-L10-F498-11353
ver hadi,497,G2-L8-F497-11377
bir saat mi,497,G3-L11-F497-11384
anne dur,497,G2-L8-F497-11365
ben benim,497,G2-L9-F497-11366
son kez,496,G2-L7-F496-11392
orada ne oluyor,495,G3-L15-F495-11421
ama ne var biliyor musun,494,G5-L24-F494-11448
teşekkür ederim bayan,494,G3-L21-F494-11452
hemen gel,494,G2-L9-F494-11465
senin de öyle,494,G3-L13-F494-11468
daha çok var,493,G3-L12-F493-11478
onu değil,493,G2-L9-F493-11480
oh bak,493,G2-L6-F493-11481
hayır doğru değil,493,G3-L17-F493-11485
ne oldu anne,493,G3-L12-F493-11489
hayır hayır dur,493,G3-L15-F493-11491
saat kaç oldu,493,G3-L13-F493-11495
bana bak bana bak,492,G4-L17-F492-11522
hayır buna gerek yok,492,G4-L20-F492-11511
seni istiyor,492,G2-L12-F492-11508
ve bunu,492,G2-L7-F492-11507
hey merhaba,491,G2-L11-F491-11532
aslında öyle,491,G2-L12-F491-11536
biz diye bir şey yok,491,G5-L20-F491-11539
tamam ya,491,G2-L8-F491-11540
ne oldu bana,491,G3-L12-F491-11545
onu dinle,491,G2-L9-F491-11548
hayır devam et,491,G3-L14-F491-11549
çok ama çok üzgünüm,491,G4-L19-F491-11550
o söyledi,490,G2-L9-F490-11558
evet biliyorum biliyorum,490,G3-L24-F490-11563
evet ve hayır,490,G3-L13-F490-11566
bir şey mi istiyorsun,490,G4-L21-F490-11567
fazla bir şey değil,490,G4-L19-F490-11569
aman tanrım aman tanrım,490,G4-L23-F490-11573
birkaç kez,489,G2-L10-F489-11588
ama bugün değil,488,G3-L15-F488-11609
şimdi dinle beni,488,G3-L16-F488-11611
burada işte,487,G2-L11-F487-11642
daha büyük,487,G2-L10-F487-11655
onu al,487,G2-L6-F487-11658
herkes için,487,G2-L11-F487-11660
haydi şimdi,487,G2-L11-F487-11664
hiçbir şey yok mu,487,G4-L17-F487-11667
burada neler oldu,487,G3-L17-F487-11645
gerçekten çok özür dilerim,486,G4-L26-F486-11690
çünkü öyle,486,G2-L10-F486-11691
böyle nasıl,486,G2-L11-F486-11692
az çok,485,G2-L6-F485-11710
ne ne oldu,484,G3-L10-F484-11728
harika bu,484,G2-L9-F484-11730
tamam değil,484,G2-L11-F484-11734
sana ne bundan,484,G3-L14-F484-11724
oh anne,484,G2-L7-F484-11722
onlara,483,G1-L6-F483-11758
dinle tatlım,483,G2-L12-F483-11744
hayır yok bir şey,483,G4-L17-F483-11748
birkaç hafta önce,482,G3-L17-F482-11769
ben de özür dilerim,482,G4-L19-F482-11779
bu kötü bir şey mi,482,G5-L18-F482-11781
lanet şey,482,G2-L9-F482-11782
bakın çocuklar,482,G2-L14-F482-11787
hepsi o kadar,482,G3-L13-F482-11793
daha önce,482,G2-L9-F482-11786
bu olmalı,481,G2-L9-F481-11800
peki olur,481,G2-L9-F481-11802
hayır doktor,481,G2-L12-F481-11805
önemli bir şey,481,G3-L14-F481-11809
tamam bakalım,481,G2-L13-F481-11816
ben çok,480,G2-L7-F480-11832
efendim evet efendim,480,G3-L20-F480-11828
devam ediyor,480,G2-L12-F480-11831
bize doğru geliyor,479,G3-L18-F479-11851
sanırım biliyorum,478,G2-L17-F478-11858
çok güzel bir gün,478,G4-L17-F478-11862
sen hiç,478,G2-L7-F478-11863
evet selam,478,G2-L10-F478-11872
saat geç oldu,478,G3-L13-F478-11875
hala mı,478,G2-L7-F478-11878
aslında biliyor musun,478,G3-L21-F478-11882
seni mi,478,G2-L7-F478-11887
çocuklar bakın,477,G2-L14-F477-11892
bütün bunlar da ne,477,G4-L18-F477-11905
çocuklar için,477,G2-L13-F477-11906
birkaç gün önce,476,G3-L15-F476-11939
hemen şimdi mi,476,G3-L14-F476-11937
al beni,476,G2-L7-F476-11935
pek iyi değilim,476,G3-L15-F476-11927
ama bu doğru,475,G3-L12-F475-11949
o bir kız,475,G3-L9-F475-11965
sana neler oluyor,474,G3-L17-F474-11967
hep aynı,474,G2-L8-F474-11973
hayır ya,474,G2-L8-F474-11980
bilmiyorum tamam mı,474,G3-L19-F474-11983
tatlım benim,474,G2-L12-F474-11986
tamam bir dakika,473,G3-L16-F473-11993
kesinlikle hiçbir şey,473,G3-L21-F473-11997
bir yıl sonra,473,G3-L13-F473-11998
ne ki bu,472,G3-L8-F472-12012
bana ne oldu bilmiyorum,472,G4-L23-F472-12017
ama artık değil,471,G3-L15-F471-12029
öyle söyledi,471,G2-L12-F471-12048
evet değil mi,470,G3-L13-F470-12072
peki siz,470,G2-L8-F470-12073
oh ben,470,G2-L6-F470-12071
lütfen bırak beni,470,G3-L17-F470-12054
orada olmalı,470,G2-L12-F470-12058
o harika biri,470,G3-L13-F470-12070
evet harika olur,469,G3-L16-F469-12078
evet onlar,469,G2-L10-F469-12089
başka kimse var mı,469,G4-L18-F469-12090
büyük gün,469,G2-L9-F469-12096
sonra mı,469,G2-L8-F469-12106
o çok,469,G2-L5-F469-12080
eski,468,G1-L4-F468-12114
harika bir şey bu,468,G4-L17-F468-12122
güzel bir gün değil mi,468,G5-L22-F468-12125
anne yapma,468,G2-L10-F468-12128
bizim mi,468,G2-L8-F468-12139
çok uzun zaman önce,468,G4-L19-F468-12141
yine sen,467,G2-L8-F467-12169
haydi buradan gidelim,467,G3-L21-F467-12180
sonra ne,467,G2-L8-F467-12175
evet öyle değil mi,467,G4-L18-F467-12166
hepsi doğru,467,G2-L11-F467-12157
söyle haydi,467,G2-L11-F467-12152
oh pekala,466,G2-L9-F466-12189
onları seviyorum,466,G2-L16-F466-12202
oh yapma,466,G2-L8-F466-12208
çünkü o,465,G2-L7-F465-12219
hey dur bir dakika,465,G4-L18-F465-12230
oldu bile,465,G2-L9-F465-12240
bir şeyler olmalı,465,G3-L17-F465-12245
sizin gibi,464,G2-L10-F464-12263
bu kez değil,464,G3-L12-F464-12279
biliyorum biliyorum biliyorum,464,G3-L29-F464-12270
evet işte o,464,G3-L11-F464-12280
hayır istiyorum,464,G2-L15-F464-12262
o bir insan,464,G3-L11-F464-12258
burada neler oluyor böyle,464,G4-L25-F464-12253
bu olur mu,463,G3-L10-F463-12301
sorun şu,463,G2-L8-F463-12298
o bir doktor,462,G3-L12-F462-12314
onlar değil,462,G2-L11-F462-12326
ne şekilde,462,G2-L10-F462-12327
bunlar çok güzel,462,G3-L16-F462-12325
tam buradan,461,G2-L11-F461-12329
senden mi,461,G2-L9-F461-12331
neden olsun ki,461,G3-L14-F461-12338
tamam haydi gidelim,461,G3-L19-F461-12347
hayır hayır yapma,460,G3-L17-F460-12362
bu çok iyi olur,460,G4-L15-F460-12366
bak orada,459,G2-L9-F459-12388
olacak şey değil,459,G3-L16-F459-12401
yok ol,458,G2-L6-F458-12425
evet ve,458,G2-L7-F458-12432
ona bir şey olmaz,458,G4-L17-F458-12422
biliyorsun bunu,458,G2-L15-F458-12417
hayır ben teşekkür ederim,457,G4-L25-F457-12441
artık olmaz,457,G2-L11-F457-12443
şimdi sen,457,G2-L9-F457-12450
burası benim,457,G2-L12-F457-12459
evet evet öyle,456,G3-L14-F456-12481
çünkü sen,456,G2-L9-F456-12491
gidelim dostum,456,G2-L14-F456-12486
sen nereye,456,G2-L10-F456-12479
ama ama,456,G2-L7-F456-12478
devam devam,456,G2-L11-F456-12469
ama şimdi değil,455,G3-L15-F455-12496
sorun değil sorun değil,455,G4-L23-F455-12504
hayır ben değilim,455,G3-L17-F455-12505
o bir kadın,455,G3-L11-F455-12515
büyük mü,454,G2-L8-F454-12531
kontrol ediyorum,454,G2-L16-F454-12519
bir de bu var,454,G4-L13-F454-12517
burada olacak,453,G2-L13-F453-12545
seni tekrar görmek çok güzel,453,G5-L28-F453-12556
bu bir şey değil,453,G4-L16-F453-12543
biraz daha bekle,452,G3-L16-F452-12583
hayır bırak beni,452,G3-L16-F452-12586
yardım etmek ister misin,452,G4-L24-F452-12587
ne şimdi mi,452,G3-L11-F452-12589
peki bayan,452,G2-L10-F452-12590
çok iyi değil,452,G3-L13-F452-12593
benim için de öyle,452,G4-L18-F452-12605
yani şey,451,G2-L8-F451-12623
şimdi lütfen,451,G2-L12-F451-12628
ama biz,451,G2-L7-F451-12630
birkaç saat,451,G2-L11-F451-12617
nerede onlar,451,G2-L12-F451-12614
hadi devam edin,451,G3-L15-F451-12616
ona bakın,450,G2-L9-F450-12652
o ne için,450,G3-L9-F450-12661
evet öyle olmalı,450,G3-L16-F450-12667
o kadar oldu mu,449,G4-L15-F449-12675
hayır bu doğru,449,G3-L14-F449-12678
başka ne,448,G2-L8-F448-12715
hâlâ burada mısın,448,G3-L17-F448-12723
seni var ya,448,G3-L11-F448-12704
sadece seni,448,G2-L11-F448-12706
pekala efendim,448,G2-L14-F448-12702
sorun istemiyorum,447,G2-L17-F447-12731
büyük bir şey,447,G3-L13-F447-12736
ben o değilim,447,G3-L13-F447-12743
daha da iyi,447,G3-L11-F447-12748
ne oldu orada,447,G3-L13-F447-12750
evet çocuklar,446,G2-L13-F446-12795
çok iyi ya,446,G3-L10-F446-12772
aslında yok,446,G2-L11-F446-12785
ne oldu ya,445,G3-L10-F445-12815
tanrım özür dilerim,445,G3-L19-F445-12820
doğru olan bu,445,G3-L13-F445-12832
evet evet tabii,445,G3-L15-F445-12810
o zaman gidelim,444,G3-L15-F444-12838
hiç de öyle değil,444,G4-L17-F444-12851
yeni bir şey var mı,444,G5-L19-F444-12854
ama oldu,444,G2-L8-F444-12862
ha o mu,443,G3-L7-F443-12881
burada kimse var mı,443,G4-L19-F443-12890
seni görmek istemiyorum,443,G3-L23-F443-12887
tatlım lütfen,443,G2-L13-F443-12894
al bakalım tatlım,443,G3-L17-F443-12875
zor olacak,443,G2-L10-F443-12869
olur mu hiç,443,G3-L11-F443-12871
dışarı dışarı,442,G2-L13-F442-12898
baba neler oluyor,442,G3-L17-F442-12901
bir şeyler yanlış,442,G3-L17-F442-12904
kaç kaç,442,G2-L7-F442-12922
hala orada,441,G2-L10-F441-12947
ben seviyorum,441,G2-L13-F441-12954
belki öyle,441,G2-L10-F441-12951
aman tanrım hayır,441,G3-L17-F441-12942
o işte,441,G2-L6-F441-12938
o ne ki,441,G3-L7-F441-12933
ve üzgünüm,440,G2-L10-F440-12958
onunla ne yapıyorsun,440,G3-L20-F440-12962
çok güzel olur,440,G3-L14-F440-12967
şimdi söyle bana,440,G3-L16-F440-12968
herkes hazır olsun,440,G3-L18-F440-12974
olur olur,439,G2-L9-F439-12985
devam ediyorum,439,G2-L14-F439-13001
seni burada istemiyorum,439,G3-L23-F439-12999
hadi gel bakalım,439,G3-L16-F439-12994
bundan sonra,439,G2-L12-F439-12982
oh bekle,439,G2-L8-F439-12978
baba ben,439,G2-L8-F439-12979
selam selam,438,G2-L11-F438-13002
elbette istiyorum,438,G2-L17-F438-13027
ama önce,438,G2-L8-F438-13032
o gün,438,G2-L5-F438-13028
birkaç gün,438,G2-L10-F438-13011
bu hiç doğru değil,438,G4-L18-F438-13026
nasıl olduğunu bilmiyorum,438,G3-L25-F438-13013
o kadar güzel ki,438,G4-L16-F438-13019
ona sorun,437,G2-L9-F437-13050
tam emin değilim,436,G3-L16-F436-13057
hey hadi ama,436,G3-L12-F436-13058
geliyor geliyor,436,G2-L15-F436-13062
yine de sağ ol,436,G4-L14-F436-13072
neler olduğunu biliyorum,436,G3-L24-F436-13080
son bir şey,436,G3-L11-F436-13081
ne harika değil mi,435,G4-L18-F435-13107
hey selam,435,G2-L9-F435-13116
efendim ben,435,G2-L11-F435-13112
evet ama ben,435,G3-L12-F435-13098
hayır şey,435,G2-L9-F435-13101
ben hiçbir şey bilmiyorum,435,G4-L25-F435-13095
o gece,435,G2-L6-F435-13084
oraya mı,434,G2-L8-F434-13134
bir adam vardı,434,G3-L14-F434-13137
ya da ne,434,G3-L8-F434-13143
hiçbir şey değil,434,G3-L16-F434-13154
ben öyle değilim,434,G3-L16-F434-13155
öyle mi söyledi,433,G3-L15-F433-13183
ne oluyor sana,433,G3-L14-F433-13188
niye ya,432,G2-L7-F432-13208
nedir bu böyle,432,G3-L14-F432-13214
gerçekten çok hoş,432,G3-L17-F432-13211
o sen misin,432,G3-L11-F432-13198
şu işe bakın,431,G3-L12-F431-13234
ne iş,431,G2-L5-F431-13235
o neden burada,431,G3-L14-F431-13239
tamam bir bakalım,431,G3-L17-F431-13240
şu ne,431,G2-L5-F431-13246
o değil mi,431,G3-L10-F431-13252
hadi ama lütfen,431,G3-L15-F431-13257
güzel bir gece,430,G3-L14-F430-13283
hiç kimse yok,429,G3-L13-F429-13297
hemen dedim,429,G2-L11-F429-13300
o şey de ne,429,G4-L11-F429-13308
nerede o zaman,429,G3-L14-F429-13316
haydi dışarı,428,G2-L12-F428-13326
ben doktor değilim,428,G3-L18-F428-13333
sen hazır mısın,428,G3-L15-F428-13322
evet olacak,428,G2-L11-F428-13319
tabii ki istiyorum,427,G3-L18-F427-13352
o da iyi,427,G3-L8-F427-13357
ama artık çok geç,427,G4-L17-F427-13359
bana nerede olduğunu söyle,427,G4-L26-F427-13362
haydi devam et,426,G3-L14-F426-13410
bu da ne demek oluyor şimdi,426,G6-L27-F426-13398
sana ne ki,426,G3-L10-F426-13396
ve ben de,426,G3-L9-F426-13393
ben yardım ederim,426,G3-L17-F426-13392
hayır şimdi değil,426,G3-L17-F426-13389
o niye,425,G2-L6-F425-13427
ama şey,424,G2-L7-F424-13449
olmaz dostum,424,G2-L12-F424-13468
ama bak,424,G2-L7-F424-13469
neler var,423,G2-L9-F423-13503
sana teşekkür etmek istiyorum,423,G4-L29-F423-13491
bilmiyorum ben,423,G2-L14-F423-13499
çok mutlu,423,G2-L9-F423-13483
hala burada,423,G2-L11-F423-13481
bunu kabul ediyorum,422,G3-L19-F422-13509
başka bir şey ister misin,422,G5-L25-F422-13525
burada bir yerde olmalı,422,G4-L23-F422-13528
çünkü onu seviyorum,422,G3-L19-F422-13531
herkes değil,422,G2-L12-F422-13532
bir gece,422,G2-L8-F422-13538
bence bu,421,G2-L8-F421-13567
oh peki,421,G2-L7-F421-13570
hemen orada,421,G2-L11-F421-13546
ben öyle biri değilim,421,G4-L21-F421-13548
hemen burada,421,G2-L12-F421-13540
bu işi bana bırak,420,G4-L17-F420-13591
bunun gibi şeyler,420,G3-L17-F420-13616
al al,420,G2-L5-F420-13611
tamam al,420,G2-L8-F420-13606
bu çok para,420,G3-L11-F420-13595
tam sana göre,420,G3-L13-F420-13587
hadi gidelim artık,420,G3-L18-F420-13590
peki ne olacak,420,G3-L14-F420-13588
evet ya sen,420,G3-L11-F420-13585
lütfen dinle,420,G2-L12-F420-13576
yanlış bir şeyler var,420,G4-L21-F420-13572
bayan lütfen,419,G2-L12-F419-13624
ona git,419,G2-L7-F419-13642
hayır kesinlikle hayır,419,G3-L22-F419-13651
hayır evet,418,G2-L10-F418-13654
neden ne oldu,418,G3-L13-F418-13659
hayır bir dakika,418,G3-L16-F418-13661
şey o,418,G2-L5-F418-13667
seviyorum seni,418,G2-L14-F418-13672
yanlış yapıyorsun,417,G2-L17-F417-13705
bir şey istiyor musun,417,G4-L21-F417-13691
kötü oldu,417,G2-L9-F417-13687
evet bu iyi,417,G3-L11-F417-13685
harika mı,416,G2-L9-F416-13717
bu bir sorun mu,416,G4-L15-F416-13722
evet hepsi bu,416,G3-L13-F416-13728
benimle geliyor musun,416,G3-L21-F416-13733
evet öyle bir şey,416,G4-L17-F416-13746
hayır şimdi,416,G2-L11-F416-13748
lütfen benimle gel,416,G3-L18-F416-13750
dışarı mı,415,G2-L9-F415-13782
ben biraz,415,G2-L9-F415-13791
bir kez bile,415,G3-L12-F415-13784
sadece biz,415,G2-L10-F415-13755
ne demek istiyorsun sen,415,G4-L23-F415-13780
orada neler oldu,415,G3-L16-F415-13775
o benim dostum,415,G3-L14-F415-13760
sen beni dinle,414,G3-L14-F414-13826
yani gerçekten,414,G2-L14-F414-13808
hayır tanrım,414,G2-L12-F414-13810
tabii ki evet,414,G3-L13-F414-13795
oh biliyorum,414,G2-L12-F414-13803
çok güzel bir kadın,414,G4-L19-F414-13798
daha iyi değil mi,414,G4-L17-F414-13794
bunu o mu söyledi,413,G4-L17-F413-13848
şey yani,413,G2-L8-F413-13855
sana söyledi mi,413,G3-L15-F413-13862
bence bu harika,413,G3-L15-F413-13863
evet söyle,413,G2-L10-F413-13866
bir saat içinde,413,G3-L15-F413-13868
daha ister misin,412,G3-L16-F412-13873
şimdi şimdi,412,G2-L11-F412-13874
her yere,412,G2-L8-F412-13885
sizi çok seviyorum,412,G3-L18-F412-13890
lütfen söyle bana,412,G3-L17-F412-13893
bunun gibi bir şey,412,G4-L18-F412-13901
ha tamam,411,G2-L8-F411-13932
sen bak,411,G2-L7-F411-13954
her şey burada,411,G3-L14-F411-13940
hâlâ orada mısın,411,G3-L16-F411-13931
neden burası,411,G2-L12-F411-13918
tamam beni dinle,411,G3-L16-F411-13912
güzel tanrım,410,G2-L12-F410-13970
hey yapma,410,G2-L9-F410-13983
oh oh oh,410,G3-L8-F410-13988
beni dinle tamam mı,409,G4-L19-F409-13991
önemli olan bu değil,409,G4-L20-F409-14000
ben de dedim ki,408,G4-L15-F408-14036
nasıl olsun,408,G2-L11-F408-14047
hayır bu değil,408,G3-L14-F408-14045
pekala hadi gidelim,408,G3-L19-F408-14042
şimdi biliyorum,408,G2-L15-F408-14028
şimdi geliyor,408,G2-L13-F408-14033
bence çok güzel,408,G3-L15-F408-14030
hiç bir zaman,408,G3-L13-F408-14021
özel bir şey,407,G3-L12-F407-14077
sen olduğunu biliyorum,407,G3-L22-F407-14085
bilmiyorum tatlım,407,G2-L17-F407-14068
hayır o benim,407,G3-L13-F407-14072
baba yardım et,407,G3-L14-F407-14063
teşekkür ediyorum,406,G2-L17-F406-14087
tanrım çok üzgünüm,406,G3-L18-F406-14090
demek istiyorum ki,406,G3-L18-F406-14094
bir kadın mı,406,G3-L12-F406-14096
harika bir gün,406,G3-L14-F406-14104
üzgünüm hayır,406,G2-L13-F406-14111
yer yok,405,G2-L7-F405-14123
her şeyi biliyor,405,G3-L16-F405-14129
ama nerede,405,G2-L10-F405-14143
öyle öyle,404,G2-L9-F404-14177
bize bak,404,G2-L8-F404-14185
haydi lütfen,404,G2-L12-F404-14183
çok iyi çok iyi,404,G4-L15-F404-14182
yardım ister misiniz,404,G3-L20-F404-14180
doğru söyle,404,G2-L11-F404-14155
evet istiyorsun,404,G2-L15-F404-14163
aman ne hoş,404,G3-L11-F404-14175
peki bu nedir,404,G3-L13-F404-14171
ne işi var burada,403,G4-L17-F403-14204
gel o zaman,402,G3-L11-F402-14222
anne benim,402,G2-L10-F402-14223
bize mi,402,G2-L7-F402-14227
tam oraya,402,G2-L9-F402-14228
