fourgram,frequency
ben de yardım etmek,104
en fazla birkaç saat,104
daha bir dakika önce,104
başka biri daha mı,104
bir şeyler biliyor olabilir,104
hayır aynı şey değil,104
bana her zaman iyi,104
onu görmek mi istiyorsun,104
daha başka şeyler de,104
evet hepsi bu kadar,104
evet benim için de,104
benim için çok yeni,104
olduğunu söyle ben de,104
zaten öyle değil mi,104
önemli bir şey daha,104
ben de şu an,104
çok teşekkür ederim çok,104
ve ben yeni bir,104
gibi o da bir,104
ama yine de onun,104
burada ne var böyle,104
hayır çok teşekkür ederim,104
senin için de çok,104
her zaman öyle olur,104
ama ben başka bir,104
bir şey olmaz ona,104
daha fazla bir şeyler,104
var olan bir şey,104
zaman bu kadar çok,104
çok fazla değil ama,104
ben de seninle birlikte,104
şey mi demek istiyorsun,104
o zaman iyi ki,104
kesinlikle böyle bir şey,104
benimle yemek yer misin,104
bu çok zor olmalı,104
bir şey yok öyle,104
ya da hiçbir zaman,104
başka biri yok mu,104
peki sen bunu nereden,104
için ne kadar güzel,104
bu gece ne yapmak,104
ve siz de bunu,104
ve bana bir şey,104
bu çok da kötü,104
bir şey olacak diye,104
onlar da benim gibi,104
tamam bekle bir dakika,103
bu işi ne zaman,103
ederim teşekkür ederim teşekkür,103
anda önemli olan tek,103
ama bu önemli bir,103
tekrar görmek istiyor musun,103
kadar kimse bir yere,103
ve bu çok güzel,103
evet ama her şey,103
en az bir gün,103
bu adam hakkında bir,103
sana karşı bir şey,103
neden başka bir şey,103
önemli olan şu an,103
ben de sana bu,103
önce de aynı şeyi,103
sen de tam bir,103
yok biliyorsun değil mi,103
kim olduğunu ve neler,103
önemli değil değil mi,103
ama yine de ben,103
al bu senin için,103
adam hakkında bir şeyler,103
şu anda pek iyi,103
o zaman buna ne,103
kez böyle bir şey,103
evet hem de hayır,103
olduğunu bilmiyorum ama bu,103
bu hiç de kötü,103
geri ver onu bana,103
peki ya şimdi ne,103
ne kadar harika biri,103
yapma o kadar da,103
ama çok teşekkür ederim,103
seviyorum seni seviyorum seni,103
ne kadar iyi olabilir,103
ama şu anda biraz,103
bir saat içinde geri,103
önce bir kez daha,103
sadece bir kaç tane,103
için bana bir dakika,103
bu kız tam bir,103
sanırım burada bir şey,103
kadar da zor bir,103
kız ol tamam mı,103
için çok fazla para,103
sen sen sen ve,103
mi yoksa ben mi,103
ve sen sen de,103
bir evet ya da,103
ondan sonra ne olacak,103
hem evet hem de,103
ve bu hiç de,103
gerçekten ama gerçekten çok,103
ne dedim biliyor musun,103
buraya gel ve beni,102
aynı şey değil ki,102
ben hiç böyle bir,102
gidip başka bir yerde,102
o zaman doğru yere,102
ne var ki bu,102
şu an için tek,102
ne demek onu bile,102
sizin için sorun olur,102
her gün ve her,102
hiç bir şey değil,102
onu hemen görmek istiyorum,102
bunu zaten biliyorsun değil,102
ben de pek çok,102
peki neden böyle bir,102
bir şey var da,102
bir gün için bu,102
biraz zor olacak ama,102
ben sadece sana yardım,102
ben de orada olmak,102
anne sen iyi misin,102
en önemli olan şey,102
özel bir şey olduğunu,102
çok daha iyi değil,102
bu sizin için iyi,102
yine de güzel bir,102
ya da daha da,102
seni böyle görmek beni,102
lütfen ona iyi bak,102
etmek için ne kadar,102
biliyorum ve bunun için,102
üzgünüm ama gerçek bu,102
de emin olmak için,102
benden bir tane daha,102
bir daha böyle şeyler,102
bunu çok uzun zaman,102
sadece bir tane değil,102
o çok büyük bir,102
burada bir yerde olduğunu,102
ben senden daha iyi,102
hala devam ediyor mu,102
beni kontrol etmek için,102
var mı emin değilim,102
için üzgünüm ama ben,102
dakika ver olur mu,102
var ve ben de,102
sana ne kadar çok,102
benim de öyle bir,102
zaman sana bir şey,102
şu anda iyi bir,102
de iyi bir iş,102
belki ama yine de,102
de yeni bir tane,102
şu işe bak sen,101
sen nasıl oluyor da,101
var mı biliyor musun,101
daha iyi olmak için,101
bir gün başka bir,101
sen onu bana bırak,101
sanırım ben de bir,101
bir insan ne kadar,101
işte böyle bir şey,101
peki sen burada ne,101
o zaman tek bir,101
ama önce sana bir,101
bu yüzden onları asla,101
ona daha iyi bir,101
lütfen bir an önce,101
bunu daha kaç kez,101
ve bir daha buraya,101
değilim ama yine de,101
şey hakkında hiçbir şey,101
hiçbir şey bilmiyorum ben,101
için bunu yapmak zorunda,101
şimdi daha büyük bir,101
senin için iyi olacak,101
bir daha benimle böyle,101
ama şu anda başka,101
o lanet şey de,101
onu önce ben gördüm,101
daha özel bir yere,101
özel bir şey olmalı,101
biraz daha mı istiyorsun,101
tamam hepsi bu kadar,101
o kadar kötü demek,101
tane daha var mı,101
benim için daha önemli,101
hem de çok seviyorum,101
daha da kötü oluyor,101
bir şey değil tatlım,101
evet ben de tam,101
şu an olduğu gibi,101
o zaman en iyi,101
bu gece daha fazla,101
senden de bir şey,101
bir iki şey var,101
de iki tane var,101
en son böyle bir,101
bir şeyler oldu ve,101
şeyler yemek ister misiniz,101
seviyorum biliyorsun değil mi,101
için gerçekten çok önemli,101
bizim için her şeyi,101
o zaman bu senin,101
eminim önemli bir şey,101
gerekiyor öyle değil mi,101
hayır tabii ki olmaz,101
ama sen hiçbir şey,101
daha uzun ve daha,101
bundan sonra bir daha,101
ya da büyük bir,100
daha büyük bir şeyler,100
yine de onun için,100
mutlu etmek için her,100
kadar şey var ki,100
ama sen de çok,100
neden ondan bu kadar,100
sanırım daha iyi bir,100
bu bizim için önemli,100
şu ki ben de,100
sen de mi o,100
göre çok daha iyi,100
yıl uzun bir zaman,100
da güzel bir şey,100
ve hiç bir zaman,100
mı öyle geldi yoksa,100
bunun senin için çok,100
şu an çok daha,100
beni en çok ne,100
ve sonra ne olacak,100
ben de hep öyle,100
onun orada ne işi,100
gibi bir şeyi daha,100
bu ne böyle ya,100
ki bu da bir,100
tanrım aman tanrım aman,100
görmek çok güzel efendim,100
hayır bu iyi değil,100
hem de böyle bir,100
bizim için o kadar,100
ama bu nasıl olur,100
hiçbir şey yok değil,100
için sana hiç teşekkür,100
şimdi de ben senin,100
bizi daha ne kadar,100
uzun bir zaman oldu,100
şimdi de ben seni,100
önemli olan bir şey,100
çok ama çok büyük,100
sorun şu ki o,100
hiç de iyi olmaz,100
bu çok fazla değil,100
hiç bu kadar küçük,100
benden selam söyle olur,100
bir gün siz de,100
o zaman buraya gel,100
bu yüzden sen ve,100
burada neler oldu böyle,100
peki sen iyi misin,100
bir de buna bak,100
evet bir sorun mu,100
bence bu büyük bir,100
lütfen ona bir şey,100
öyle bir şeyi asla,100
oldu bilmiyorum ama beni,100
bir saat önce de,100
bir gün bir şey,99
görmek istiyorum tamam mı,99
neden her zaman böyle,99
için bir şey lazım,99
buna artık bir son,99
hakkında tam olarak ne,99
olur öyle değil mi,99
sen iyi misin anne,99
çok güzel şeyler var,99
için ne yapmak gerekiyor,99
en fazla ne kadar,99
ben de olur dedim,99
sen burada bekle tamam,99
bana neden daha önce,99
bile değil tamam mı,99
ne demek oluyor bunlar,99
bir şeyler var ama,99
ve iki tane de,99
daha iyi olur dedim,99
ama bunu yapmak zorunda,99
uzun zaman oldu dostum,99
daha iyi bir anne,99
seni bir an önce,99
bir şey bilmiyorum ama,99
bizim için de bir,99
bir adam vardı ve,99
ben mi sen mi,99
ki bir daha asla,99
artık daha iyi bir,99
hadi başka bir yere,99
neden sana bir şey,99
bu iyi bu iyi,99
et devam et devam,99
bir şey mi ki,99
burada bir şeyler olmalı,99
için pek çok şey,99
siz de çok iyi,99
bana pek bir şey,99
bunun pek iyi bir,99
sana uzun zaman önce,99
çok daha güzel olacak,99
gel de sana bir,99
yapmak için güzel bir,99
o kadar da geç,99
onlar için büyük bir,99
iyi ne olabilir ki,99
bir iki üç bir,99
hadi ama bu çok,99
çok istiyorsun değil mi,99
sadece seninle ilgili değil,99
en iyi sen biliyorsun,99
ben de istiyorum ama,99
lütfen bir kez daha,99
nedir bu kadar önemli,99
şu an pek iyi,99
bundan daha önemli bir,99
bir kaç gün için,98
bir kişi için çok,98
ben bundan pek emin,98
bize daha iyi bir,98
sadece küçük bir çocuk,98
bir şeyi bir daha,98
lütfen onu bana ver,98
ne olduğunu ve ne,98
hepsi o kadar mı,98
senden başka kimse yok,98
iyi bir yer olacak,98
gibi bir şey olabilir,98
bundan çok daha iyi,98
ve bana neler olduğunu,98
ama bu harika bir,98
önce hiç öyle bir,98
da en az benim,98
tek bir şey daha,98
senin iyi biri olduğunu,98
ne kadar daha var,98
gereken her şey bu,98
o kadar önemli ki,98
için de yer var,98
hiçbir şey için geç,98
oh yok bir şey,98
siz iyi misiniz efendim,98
benden de selam söyle,98
daha önce de burada,98
kadar iyi olabilir ki,98
olan her şey bu,98
hiç bir yer yok,98
için bana ne kadar,98
şu anda en çok,98
bu tam olarak nasıl,98
büyük bir şey yok,98
o zaman bana biraz,98
için daha kötü bir,98
hiçbir şeyi bu kadar,98
aman tanrım çok özür,98
daha iyi biri olduğunu,98
kötü bir şey olmaz,98
ben de onunla birlikte,98
orada ne yapıyorsun sen,98
şu anda daha fazla,98
sen nereye ben oraya,98
yüzden bu kadar çok,98
benim için bu iş,98
ben mi bir şey,98
yani tam olarak değil,98
buraya en son ne,98
bu zor bir şey,98
o yüzden mi bu,98
bir saat içinde hazır,98
kaç tane daha var,98
kadar zor olduğunu biliyorsun,98
da benim gibi bir,98
biz de tam olarak,98
hakkında çok iyi şeyler,97
çok az kişi var,97
bu gece çok özel,97
bu çok harika bir,97
hiçbir şey o kadar,97
çok daha küçük bir,97
şu anda yeni bir,97
hakkında bir şeyler biliyorum,97
bizim için harika bir,97
hiç bir şeyi yok,97
tekrar görmek ister misin,97
sadece bir dakika daha,97
senin gibi hoş bir,97
şeyi ben de sana,97
hey ver onu bana,97
da bana yardım et,97
ben de bir kaç,97
peki sen ne iş,97
her birini tek tek,97
ama ben o değilim,97
yoksa o da mı,97
sen nasıl bu kadar,97
benden daha büyük bir,97
sonra kendini daha iyi,97
etmek gibi bir şey,97
benim de senin gibi,97
şey ne kadar da,97
şu anda tam bir,97
yıl çok uzun bir,97
hem onu hem de,97
ama bunu senin için,97
ben de tam öyle,97
için çok daha fazla,97
belki de belki de,97
ama bir kaç gün,97
bugün sizin için ne,97
bu adam benim için,97
ama yine de teşekkür,97
gereken bir sorun var,97
hiçbir şey yok tamam,97
ve hepsi bu değil,97
iyi bir şeyler var,97
için size çok teşekkür,97
o zaman bana da,97
ama şu anda bunu,97
hakkında bir kaç şey,97
başka bir yerde olduğunu,97
her şey büyük bir,97
eğer bu şekilde devam,97
hala orada bir yerde,97
ve bir hafta sonra,97
aslında sana bir şey,97
de benim için aynı,97
aslında pek bir şey,97
bir tek kişi var,97
biz de sizin gibi,97
şey olmalı değil mi,97
sorun değil çünkü ben,97
harika bir gece olacak,97
birkaç gün daha burada,97
beni görmek için mi,97
onlara daha iyi bir,97
ben kötü adam değilim,97
nasıl olur da hiç,97
ve ben hiçbir şey,97
kadar da kötü olmaz,96
öyle bir yer var,96
yok ama değil mi,96
ama bu iş için,96
iyi bir adam değil,96
bu da önemli bir,96
iyi bakın tamam mı,96
bu benim için zor,96
aslında tam olarak değil,96
çok daha iyi olduğunu,96
bu nasıl oldu bilmiyorum,96
senin için sorun mu,96
senden daha büyük bir,96
zaman seninle olmak istiyorum,96
için harika bir gece,96
o zaman küçük bir,96
tamam ama yine de,96
ilgili bir şeyler biliyor,96
sadece bir merhaba demek,96
olduğunu biliyor musun peki,96
seni tekrar görmek için,96
görmek istemiyorum tamam mı,96
bu adam bu adam,96
ve başka hiçbir şey,96
bir anda yok oldu,96
baba sana bir şey,96
de aynı senin gibi,96
bana bir gün ver,96
biraz yemek ister misin,96
başka şeyler var mı,96
hayır bu yüzden değil,96
sadece biraz daha zaman,96
o da çok iyi,96
bu kadar geç olduğunu,96
daha önce de bunu,96
tam olarak ne hakkında,96
böyle bir şey geldi,96
size tek bir şey,96
güzel olduğunu biliyor musun,96
her ne kadar bu,96
bir de yeni bir,96
burada neler olduğunu biliyor,96
sorun var değil mi,96
belki de çok iyi,96
bir şeyler biliyorsun değil,96
ne demek olduğu hakkında,96
bu iş bu gece,96
bakalım başka ne var,96
şeyler biliyorsun değil mi,96
bir şey yok dedim,96
böyle bir yerde nasıl,96
ve bu yüzden bu,96
ve bana bir daha,96
ve o da benim,96
bu sadece bir yanlış,96
benim için kötü bir,96
ve ondan önce de,96
gibi bir şey olur,96
senin için en önemli,96
bir şey demek değil,96
etmek için bir neden,96
etmek için bir şey,96
neden eve gidip biraz,96
bir şeyi çok iyi,96
var ya da yok,96
bir iki saat sonra,95
her şey için tekrar,95
ondan çok daha iyi,95
bir şeyler olabilir mi,95
devam edin tamam mı,95
şimdi iyi bir kız,95
bu yüzden daha önce,95
ama ne oldu biliyor,95
bir şey mi oluyor,95
senin için her gün,95
ne kadar kötü değil,95
hayır o kadar değil,95
buna benden daha çok,95
dur bir dakika sen,95
bir iki üç hadi,95
ve bunu çok iyi,95
yok bir şey sadece,95
hiç bir zaman da,95
bir saat sonra geri,95
ve size bir şey,95
onlar için bir şeyler,95
benim olan bir şeyi,95
en az iki yıl,95
bir tek bu vardı,95
evet ben de seninle,95
ve o da senin,95
bizim için en iyi,95
ve son bir şey,95
orada ne kadar var,95
tamam sana bir şey,95
şekilde olduğu için üzgünüm,95
onun iyi biri olduğunu,95
güzel bir şey görmek,95
belki bir gün beni,95
ve siz de onu,95
ben de seni bu,95
seni bilmiyorum ama ben,95
her hafta yeni bir,95
bunlar için çok üzgünüm,95
bugün için özür dilerim,95
sanırım ben de seni,95
zaman böyle bir şey,95
bir şeyler yapmak zorunda,95
için çok geç olacak,95
onu daha iyi bir,95
ama şimdi yeni bir,95
ben de ona öyle,95
hem de bu kadar,95
oh ne güzel bir,95
oh ne kadar da,95
için özel bir yer,95
ya da geç her,95
bir adam olmak istiyorum,95
için daha çok zaman,95
daha da iyi oluyor,95
bize birkaç dakika izin,95
başka bir şey olarak,95
sen ve ben her,95
bu gibi şeyler işte,95
sen ve ben sadece,95
ama şu an biraz,95
çok iyi olduğunu söyledi,95
ya da ne olduğunu,95
ve sen de onunla,95
bir kaç gün izin,95
belki ben de sana,95
bunun için çok para,95
şimdi onu bana ver,95
senin gibi benim de,95
kadar ben de istiyorum,95
yardım et ya da,95
ya da daha sonra,95
yanlış bir şeyler olduğunu,95
şu anda daha önemli,95
ama gerçek bu değil,95
başka bir yerde devam,95
ama yine de biraz,95
sen iyi misin baba,95
benim için bu bir,95
bu çok kötü işte,95
önce bir şey oldu,95
özür dilerim ama çok,95
ve biz de bunu,95
neden biri böyle bir,95
ve biliyorum ki bu,94
ben de tam bundan,94
bence bu pek iyi,94
o zaman ne olduğunu,94
onun gibi bir adam,94
gerek yok teşekkür ederim,94
ona iyi bak tamam,94
de sizin gibi bir,94
belki de ben de,94
pek çok şey için,94
ama hiç bir zaman,94
seninle ilgili hiçbir şey,94
de al o zaman,94
o zaman nasıl oluyor,94
etmek için başka bir,94
ve bir daha onu,94
ondan sonra da bir,94
ben gerçekten çok üzgünüm,94
sanırım o kadar da,94
yardım için sağ ol,94
onun burada işi ne,94
mu yoksa bu mu,94
belki sen de bir,94
bu çok güzel ve,94
o kadar çok şeyi,94
buraya bir daha asla,94
hiçbir şey yok ve,94
burada çok fazla insan,94
şeyi olduğu gibi kabul,94
daha önce burada hiç,94
olan başka biri var,94
ben de her gün,94
hayır onu daha önce,94
belki bir daha ki,94
ben de onun kadar,94
ben de tam bir,94
şu anda sadece bir,94
hiçbir zaman bu kadar,94
bunu ben de istemiyorum,94
ve o da bu,94
bu pek hoş değil,94
şu an onun için,94
o zaman şimdi ne,94
hadi ama bana bir,94
belki de en büyük,94
tanrım ne oldu sana,94
bir gün harika bir,94
peki bize ne olacak,94
ben de size aynı,94
hayır bir şey olmaz,94
hadi gidip bir bakalım,94
ve bir daha bu,94
evet ama bu kadar,94
ben iyi bir insan,94
evet o kadar da,94
o yüzden şu anda,94
şu adam var ya,94
şu an gerçekten çok,94
demek istiyorum ki bu,94
sadece seni görmek istiyorum,94
ya da hiç bir,94
bunu neden yapmak istiyorsun,94
sana daha fazla para,94
ne kadar zor oldu,94
için de iyi değil,94
sen ve ben o,94
her şey daha kötü,94
küçük bir şey için,94
bunun için değil mi,93
bütün bunlar ne zaman,93
aslında ben de tam,93
nasıl bu kadar uzun,93
bana ne oldu böyle,93
için bu iyi bir,93
bunu hiç bir zaman,93
tamam tamam özür dilerim,93
zaman olan bir şey,93
eğer bir kez daha,93
bir saat sonra orada,93
ve sen de burada,93
onları en son ne,93
için bir neden mi,93
bu ilk ve son,93
bu değil tamam mı,93
ki o kadar da,93
kız hakkında bir şey,93
burada bir şey mi,93
bu gece burada bir,93
bence de iyi bir,93
hey bu da kim,93
sana daha fazla yardım,93
tam olarak bu değil,93
ilgili daha çok şey,93
bana yardım mı etmek,93
aman tanrım çok üzgünüm,93
hiçbir şeyi yapmak zorunda,93
beni daha önce de,93
bu yüzden de bu,93
hoş değil değil mi,93
bir şey oldu diye,93
bu hoş değil mi,93
ben de daha yeni,93
neden seviyorum biliyor musun,93
daha çok iş var,93
çok başka bir şey,93
bu yüzden belki de,93
bir saat sonra burada,93
benim için hep bir,93
de daha iyi olur,93
evet başka bir şey,93
de bu kadar çok,93
biliyor musun senin için,93
her şey çok kötü,93
bana burada ne olduğunu,93
özel bir şeyler olduğunu,93
var o da benim,93
kimse böyle bir şeyi,93
başka bir sorun var,93
ve güzel bir şey,93
kontrol etmek için bir,93
onun gibi ben de,93
ilk iş olarak sana,93
ben ona bir şey,93
şey tam olarak ne,93
güzel bir yere mi,93
o iyi o iyi,93
hiç kimse hiçbir şey,93
dakika bekle tamam mı,93
bu doğru değil ve,93
seni kontrol etmek için,93
burada ne yapıyorsun dostum,93
artık benim için bir,93
öyle bir şey dedim,93
çok fazla şey yok,93
nasıl bir insan bunu,93
seni mutlu mu ediyor,93
iyi bir yer olur,93
pekala şimdi ne olacak,93
buraya ne zaman geldi,93
yine de çok güzel,93
hem de pek çok,93
peki çok teşekkür ederim,93
bu nasıl oldu böyle,93
ve sen de iyi,92
bak bir tane daha,92
burası iyi bir yer,92
bir daha bu eve,92
ve ben o kadar,92
ya da geç beni,92
için hiç iyi bir,92
nasıl bu kadar güzel,92
her zaman daha fazla,92
tek şey o değil,92
her zaman bir tane,92
neden söz ediyor bu,92
olduğu gibi yerde de,92
ben de öyle efendim,92
olan bir şey daha,92
daha önce kaç kez,92
bir daha seni asla,92
harika bir yıl olacak,92
evet ben de böyle,92
o zaman neden benim,92
değil de daha çok,92
en çok ne zaman,92
şey benim için de,92
gece bir şey oldu,92
bunu bize neden yapıyorsun,92
ben de tam aynı,92
şu an için en,92
daha bir hafta oldu,92
zaman nasıl oluyor da,92
bir şey gibi geldi,92
neden her şey bu,92
lanet olsun bu çok,92
ve şimdi sen de,92
kendini daha mı iyi,92
ne para ne de,92
o her zaman bir,92
kötü bir insan değilim,92
beni o kadar iyi,92
artık başka bir şey,92
aslında bu iyi bir,92
onları bir daha hiç,92
bir adam için bu,92
kadın ve çocuk var,92
ne olur yardım edin,92
daha ne istiyorsun ki,92
bu gece seni görmek,92
ne kadar var burada,92
orada başka biri daha,92
bir yer değil ama,92
o çok hoş bir,92
şimdi tam olarak ne,92
hem de uzun bir,92
için de harika bir,92
burada kötü bir şey,92
sadece o kadar mı,92
evet nerede olduğunu biliyorum,92
var ve sen de,92
önce böyle bir şeyi,92
bir adam böyle bir,92
ve diğer şeyler için,92
daha iyi bir neden,92
oh bu da ne,92
benim için önemli olduğunu,92
burada çok insan var,92
evet ama ne kadar,92
gibi bir şey olacak,92
ama küçük bir sorun,92
de bu yüzden onu,92
ben sana yardım etmek,92
bu yüzden mi ona,92
size özel bir şey,92
tam olarak ne işe,92
ama bunun için çok,92
kadar harika bir şey,92
daha mı iyi olacak,92
ama onu bir daha,92
bir şey mi olacak,92
her şeyi o yerde,92
hayır benim için değil,91
hiç de öyle bir,91
burası benim için çok,91
burada benim için bir,91
bir bakalım olur mu,91
sana buraya gel dedim,91
o zaman sana iyi,91
biz de başka bir,91
ve tam olarak ne,91
artık benim için çok,91
tamam gidelim o zaman,91
için hiç bu kadar,91
yanlış bir şeyler mi,91
gerçekten çok üzgünüm ama,91
ve tekrar ve tekrar,91
tamam o zaman neden,91
bu senin için ne,91
artık burada olmak istemiyorum,91
ve ben ona yardım,91
burada kimse yok ki,91
ben senin için çok,91
belki de bu en,91
o zaman niye bana,91
ve şimdi de beni,91
de bundan söz ediyorum,91
ben de şu anda,91
sen iyi bir adam,91
ben de onu görmek,91
başka bir şeyi yok,91
sana en son ne,91
sen de büyük bir,91
ilgili yeni bir şey,91
emin olmak için seni,91
ama bu biraz fazla,91
özel bir gün için,91
belki de bir şeyi,91
de bana bir şey,91
ama bunun iyi bir,91
neler olduğunu tam olarak,91
onları başka bir yere,91
için uzun bir zaman,91
sen ondan çok daha,91
ama bir tek sen,91
bu çok önemli tamam,91
yine de benim için,91
yok hiç bir şey,91
bu yüzden bana bir,91
için de çok geç,91
bu kadar çok seviyorum,91
bir şey yok demek,91
da bir tane ver,91
her zaman kötü bir,91
çünkü ben bir şey,91
bırak da bu işi,91
eğer kötü bir şey,91
diye böyle bir şey,91
hiç bir şey onu,91
benim için daha fazla,91
de başka bir zaman,91
için de çok iyi,91
bunu en iyi senin,91
neden ona bu kadar,91
için özür dilerim anne,91
neden olacak bir şey,91
gibi bir şey ama,91
şu an sadece bir,91
ne zaman iyi bir,91
olmak benim için bir,91
bu onun en büyük,91
ve bize yardım et,91
bir şey olmalı değil,91
bir şey falan mı,91
bu hiç bir zaman,91
sen yine de bir,91
etmek için çok fazla,91
bir şey biliyor olabilir,91
o artık burada değil,91
biri bana ne olduğunu,91
bir şey için kendini,91
ilgili daha fazla şey,91
bir an önce buraya,91
bir daha da hiç,90
bana çok büyük bir,90
şimdi biraz daha iyi,90
belki bu daha iyi,90
ama ben de senin,90
bana ver ben de,90
ama şu var ki,90
ne söyledi bilmiyorum ama,90
şey değil ki bu,90
da bir yere kadar,90
tüm bunlar için çok,90
hayır ama ben seni,90
saat içinde her şey,90
var ne yok diye,90
iyi bir yer yapmak,90
benim için bir ilk,90
o zaman neden gidip,90
o kadar kötü olduğunu,90
bu kadar kötü olan,90
şey ama her şey,90
onun hakkında daha çok,90
en iyi şey onu,90
iyi bir insan değilim,90
o zaman nasıl bir,90
de o kadar çok,90
daha önce de dedim,90
bu yüzden mi geri,90
evet ben de gördüm,90
ne siz ne de,90
buna gerek yok ki,90
ama doğru değil mi,90
dilerim özür dilerim özür,90
için tek önemli olan,90
o kadar az ki,90
var hem de hemen,90
yanlış bir şey değil,90
evet çok uzun zaman,90
bu kadar kötü ne,90
o zaman niye beni,90
ben çok büyük bir,90
bir şey yok ya,90
ve sen de kabul,90
bunun için çok teşekkür,90
bir sorun var değil,90
şey çok daha iyi,90
bu doğru değil öyle,90
pek de hoş bir,90
eğer senin için bir,90
ve ben büyük bir,90
biraz büyük değil mi,90
için bu sadece bir,90
senden bir şey daha,90
ona da bir şey,90
bu çok iyi değil,90
yanlış olduğunu biliyorum ama,90
peki sen ne zaman,90
hem de çok uzun,90
biraz geç oldu ama,90
şimdi bana neler olduğunu,90
ben ona hiçbir şey,90
en güzel şey değil,90
aynı bunun gibi bir,90
selam söyle tamam mı,90
bir şey ver bana,90
bir iki dakika sonra,90
bir şey yer misin,90
bu da tam olarak,90
ben de birkaç tane,90
başka nerede olabilir ki,90
ve ben bu işi,90
beni çok ama çok,90
gerçek şu ki çok,90
gibi bir kadın için,90
ben küçük bir çocuk,90
sizin için zor bir,90
hayır hayır bu bir,90
biliyorum ama bir şey,90
bu yüzden özür dilerim,90
kadar güzel bir kadın,89
ilk kez ne zaman,89
güzel çünkü ben de,89
çok özel bir an,89
baba burada ne yapıyorsun,89
ne işi vardı ki,89
aynı şey bana da,89
bunu sana onlar mı,89
için geç değil mi,89
bir adam geldi ve,89
ne olduğu hakkında hiç,89
şimdi de sen bana,89
gerçekten iyi bir adam,89
bunu pek çok kez,89
küçük bir kız vardı,89
için çok kötü oldu,89
daha küçük bir şey,89
bu senin için sadece,89
bir yer de yok,89
hadi ama bu bir,89
bana hiç bir zaman,89
için bir dakika ver,89
da bu zaten değil,89
çok sağ ol ya,89
hakkında da hiçbir şey,89
ve o zaman da,89
kötü bir şeyler olduğunu,89
önce bir şey daha,89
ben de onu geri,89
çok iyi bir kadın,89
bizim için önemli bir,89
bu yüzden onun için,89
bu yüzden her gün,89
eğer senin için de,89
sen benden daha çok,89
bir iş tamam mı,89
göre bir şey var,89
çünkü sen de benim,89
ama nerede olduğunu bilmiyorum,89
ama seni bir daha,89
kadar bekle tamam mı,89
tamam başka bir şey,89
hazır bir iki üç,89
bu gece yeni bir,89
daha önce başka bir,89
gereken şey bu mu,89
hadi ama bir şeyler,89
sen de en iyi,89
başka bir şey istiyorum,89
onun için yeni bir,89
o kadar istiyorum ki,89
gerçekten de bu kadar,89
siz tam olarak ne,89
bu kız hakkında ne,89
neden bunu yapmak istiyorsun,89
için bana bir şey,89
iş için doğru adam,89
nereye ve ne zaman,89
o harika değil mi,89
da zor bir şey,89
bunu daha sonra da,89
bu gerçekten oluyor mu,89
ben de senden çok,89
ne demek oluyor ki,89
bana neler oluyor böyle,89
sen bundan çok daha,89
hiç hoş değil dostum,89
hayır bunu yapmak zorunda,89
kadar kötü olan ne,89
o zaman sadece bir,89
ama bu da ne,89
bu işi daha fazla,89
bir kaç tane var,89
merhaba kimse var mı,89
ama yanlış bir şey,89
en az iki saat,89
da sana bir şey,89
o benden daha iyi,89
iyi dinle tamam mı,89
demek oluyor ki bir,89
nasıl oldu bu iş,89
hakkında çok güzel şeyler,89
o zaman bir sorun,89
şimdi bir tane daha,89
bu sadece başka bir,88
böyle bir şey ilk,88
ve bu da bizim,88
kaç para biliyor musun,88
senin için biraz fazla,88
sonra da başka bir,88
yine de seni seviyorum,88
aslında tam olarak öyle,88
gereken bu değil mi,88
evet bu gerçekten çok,88
mutlu etmek için ne,88
şey için çok sağ,88
yine de harika bir,88
iki gün önce bir,88
burada başka biri daha,88
hadi ama sen de,88
o zaman benden ne,88
ama bu onun için,88
kötü oldu değil mi,88
de bu o kadar,88
onun hakkında daha fazla,88
ne yani bu kadar,88
bir daha başka bir,88
biri nasıl olur da,88
az önce ne olduğunu,88
bir şey var sanırım,88
çünkü seni seviyorum ve,88
onu seviyorum o da,88
her zaman ne kadar,88
her şey o zaman,88
bak o kadar da,88
olduğunu biliyor değil mi,88
daha büyük bir eve,88
neden bana böyle bir,88
peki en son ne,88
sonra her şey çok,88
özür dilerim bir daha,88
sen de bu işe,88
de pek bir şey,88
ve şimdi de seni,88
bir şey için çok,88
ben daha büyük bir,88
sizin için bir tane,88
da başka bir şeyi,88
şey yapmak için çok,88
belki bir gün ben,88
dinle beni dinle beni,88
ben de sana karşı,88
ama hepsi o kadar,88
seni burada görmek istemiyorum,88
biz de bir şey,88
ben de size yardım,88
ne kadar uzun olduğunu,88
için ne harika bir,88
belki de bu o,88
kimse benim için böyle,88
aynı şeyi sizin için,88
için çok hoş bir,88
bence bu hiç iyi,88
ve ben de kabul,88
bunu bir tek sen,88
benim için doğru kişi,88
bu iş daha da,88
uzun zaman önce ben,88
çok fazla iş var,88
ama ben her şeyi,88
burası ne kadar da,88
bu onun için büyük,88
gerçekten o kadar önemli,88
tanrım tanrım tanrım tanrım,88
ama yine de sen,88
ne oldu burada böyle,88
sen o kadar da,88
şeyler var mı diye,88
daha iyi görmek için,88
bu yüzden ona yardım,88
bu yüzden ona bir,88
sen mi yoksa ben,88
yine de sana bir,88
şeyler oluyor değil mi,88
bir şey olacak mı,88
ben de seninle bunu,88
hakkında da bir şeyler,88
