fivegram,frequency
peki o zaman ben bir,24
sen de gel o zaman,24
de var olan uzun ve,24
sanırım demek onlar bu yüzden,24
burada başka bir şey var,24
sen benden çok daha iyi,24
sana karşı hep bir şeyler,24
daha sadece birkaç gün oldu,24
daha iyi bir adam olmak,24
peki o zaman bu ne,24
bir şey ya da birini,24
ne kadar olduğu önemli değil,24
bu sadece senin ve benim,24
evet bence de bu iyi,24
gerçekten çok kötü bir zaman,24
aslında senin ve benim buna,24
böyle bir şey için nasıl,24
o kadar uzun zaman oluyor,24
çünkü o iyi bir çocuk,24
bu yüzden yeni bir tane,24
evet ben de bunu demek,24
böyle bir şey geldi mi,24
belki de bu yüzden sana,24
hiç bu kadar kötü bir,24
az önce çok iyi bir,24
evet sorun da burada ya,24
bir şekilde sana her şeyi,24
ben mi bu adam mı,24
sadece onlar için daha fazla,24
bu para sana ne kadar,24
ama sen ve ben biz,24
hala burada ne işi var,24
sadece her zaman beni buraya,24
sana yardım etmek için bir,24
tek önemli olan şu an,24
ben de sana dedim ki,24
baba bak bir tane daha,24
eğer bir daha böyle bir,24
ne bana ne sana ne,24
çok daha önemli çok daha,24
bunun sadece bir iş olduğunu,24
bunu yapmak için iyi bir,24
için o kadar önemli mi,24
sanırım artık bunun için çok,24
güzel şey bu değil mi,24
bunun için güzel bir gün,24
bunu bir özür olarak kabul,24
bak bu para sana ne,24
ben de bu yüzden senin,24
de iyi değil değil mi,24
olmak gibi bir şey değil,24
daha çok ve daha uzun,24
çok hoş bir şey değil,24
onun için çok daha iyi,24
tam olarak kim olduğunu bilmiyorum,24
hala burada değil değil mi,24
iş istiyorum bir iş istiyorum,24
bir çocuk daha istiyor musun,24
hiç bir zaman o kadar,24
sen de bana her şeyi,24
diye bir şey biliyor musun,24
bir gün sen de bu,24
kim neden böyle bir şey,24
buraya gel de bir şeyler,24
ama bu kötü bir şey,24
sen biliyorsun ben de biliyorum,24
haydi haydi haydi benim küçük,24
hayır bu bir şey değil,24
için o kadar çok şey,24
bunu senin kadar ben de,24
bu kadar çok insan var,24
o ne demek bilmiyorum ama,24
onu gördüm o da beni,24
gereken başka bir şey vardı,24
bir şeyler var mı peki,24
bir şeyler var mı bakalım,24
bir kadın ve çok iyi,24
bunu siz de ben de,24
bu kadar güzel olduğunu bana,24
onun gibi bir kadın her,24
tamam bir şey daha var,24
benim için çok fazla şey,24
kimse senden daha iyi bir,24
bizim için yeni bir şey,24
çok para var bu işte,24
onun kim olduğu hakkında bir,24
ben de senin kadar istemiyorum,24
burada olan şey bu değil,24
bir şeyler oldu değil mi,24
bu onun için iyi değil,24
asla özür dilerim demek zorunda,24
demek o yüzden bu kadar,24
bir insan neden böyle bir,24
için daha güzel bir yer,24
ki bu güzel bir şey,24
o kötü bir insan değil,24
mı ondan bile emin değilim,24
bu iki gün önce oldu,24
adam asla öyle bir şey,24
çok fazla şey var da,24
onun için bu kadar önemli,24
bu ne demek oluyor böyle,24
iyi değil hiç iyi değil,24
sen de çok kötü bir,24
her zaman her yerde her,24
bundan sonra seni bir daha,24
sorun da burada ya zaten,24
o da benden daha az,24
sizin için özel bir şey,24
sanırım bunu sen de biliyorsun,24
beni bundan daha çok mutlu,24
o çok özel bir çocuk,24
ve sen de her zaman,24
ya da çok iyi bir,24
bir iki saat için dışarı,24
ama ben de en az,24
ha ha ha işte bu,24
ilgili hiçbir şey yapmak istemiyorum,24
hayır ben o çocuk değilim,24
daha önce böyle bir yer,24
bir adam böyle bir şey,24
sanırım o bize daha çok,24
başka bir adam daha var,24
bu kadar doğru bir şeyi,24
senin hakkında başka bir şey,24
o zaman ben de başka,24
hemen hemen her şey var,24
bir an önce gidelim buradan,24
o burada değil değil mi,24
olan tek bir kişi var,24
hakkında yeni bir şeyler var,24
bu bize lazım olan değil,24
ama ben onun gibi değilim,24
gereken tek kişi ben değilim,24
yoksa senin de kötü olduğunu,24
ben de bu yüzden sana,24
çok mu kötü bir şey,24
ona çok önemli bir iş,24
için hem de benim için,24
yanlış yanlış yanlış yanlış yanlış,24
bu şeyler de ne böyle,24
biraz fazla değil mi bay,24
bir şey yapmak istiyor musun,24
ne olur biliyorsun değil mi,24
ben senin ne olduğunu biliyorum,24
da bir o kadar önemli,23
senin için de daha iyi,23
biliyor musun ben son birkaç,23
bu adam hakkında bir şey,23
buraya gel ve beni bekle,23
sen ve ben uzun bir,23
ben de bunu yapmak istemiyorum,23
size çok önemli bir iş,23
çok uzun zaman önce bu,23
biliyor musun bir dakika için,23
ne kadar iyi bir kız,23
o kadar büyük ki çok,23
senin de onunla birlikte olduğunu,23
bu çok bu çok güzel,23
ama sen bu işi iyi,23
bunun ne olduğu hakkında hiçbir,23
çok teşekkürler ben de tam,23
belki de bize bir şey,23
size bir kötü bir de,23
şu anda bu önemli değil,23
her zaman bu şekilde mi,23
sen ve ben küçük bir,23
hiçbir şey bilmiyorum hiçbir şey,23
gibi bir şey daha önce,23
et o yüzden çünkü biliyorum,23
bunun ne kadar doğru olduğunu,23
daha önce de birkaç kez,23
böyle bir saat ne kadar,23
bu işi bana bırak sen,23
şimdi her şeyi size geri,23
iyi ama o kadar da,23
şimdi git yoksa gerçekten de,23
bir gün bunu sen de,23
için zor olmalı değil mi,23
evet ama hepsi bu değil,23
o öyle bir adam değil,23
hayır tabii ki de değil,23
o kadar geç mi oldu,23
daha önce kimse benimle bu,23
o zaman bana biraz para,23
bir saat bir saat de,23
belki senin için bir şey,23
bu kadar bir iki üç,23
evet ama bu ne işe,23
bu doğru değil öyle mi,23
bir gün çok büyük bir,23
ben de bu yüzden buraya,23
şimdi de benden yardım mı,23
ben de senin gibi bu,23
çünkü öyle bir yer yok,23
ne senden ne de ondan,23
gereken bir şey var bayan,23
her şey ne kadar güzel,23
daha önce onu hiç böyle,23
bakalım buraya göre doğru olan,23
pek zor bir şey değil,23
pek az kimse bu kadar,23
de bu senin için bir,23
ben de ona bir tane,23
sen hiç yanlış bir şey,23
bu senin için iyi olacak,23
başka bir tane daha olduğunu,23
bir ve iki ve bir,23
ama daha fazla bir şey,23
belki de bu adam bir,23
hem onun için hem de,23
bu da harika bir şey,23
ilgili bir şey olabilir mi,23
bugün burada görmek çok güzel,23
evet ama bu çok uzun,23
hayır ben sana teşekkür ederim,23
o zaman daha büyük bir,23
daha önce sizi gördüm mü,23
hayır benim daha iyi bir,23
ben de hep senin gibi,23
her şey iyi olacak değil,23
bu çok çok iyi bir,23
burası ya da başka bir,23
benim için de sizin için,23
bak bu herkes için çok,23
ederim ki bir şey bilmiyorum,23
senin için büyük bir şey,23
her şey güzel olacak çünkü,23
o kadar güzel ki herkes,23
zaman bundan bir tane olsun,23
söyle bakalım buraya göre doğru,23
ben de bu yüzden onu,23
bu başka bir şey değil,23
bir saat kadar önce geldi,23
her gün daha çok seviyorum,23
bu işte çok iyi değilim,23
sorun şu ki onunla hep,23
ama çok bir şey değil,23
bekle ben de sana bir,23
kadar önemli bir şey mi,23
ben de bu yüzden onunla,23
ne bir insan ne de,23
belki bunu başka bir zaman,23
her şey para için değil,23
sorun falan istemiyorum tamam mı,23
ne kadar olduğunu bile bilmiyorum,23
şey gördüm ne bir şey,23
bu işi iyi bir şekilde,23
doğru diye bir şey yok,23
ama bu çok güzel bir,23
ben daha kötü bir şey,23
ki senin için çok şey,23
bir tek ben daha iyi,23
ama buna sen değil ben,23
benim için nasıl bir şey,23
özel bir şeyler yapmak istiyorum,23
gereken bir şey olduğu için,23
o zaman neden onu buraya,23
bir tek o değil ki,23
onun burada ne işi vardı,23
hiçbir zaman öyle bir şey,23
doğru değil sen de biliyorsun,23
benim için mi onun için,23
buraya göre doğru olan şey,23
bu daha iyi bir şey,23
hiç bir şey yok ki,23
ben de senin hakkında bir,23
bir gün daha görmek için,23
bir gün için çok fazla,23
biliyorum bu senin için büyük,23
özel bir bayan var mı,23
bekle bir dakika tamam mı,23
senin için artık çok geç,23
çok iyi bir anne olacak,23
biliyorsun çünkü sana da oldu,23
ne için olduğunu söyledi mi,23
az mı yok mu demek,23
en az iki kez istiyorum,23
çok da iyi bir şey,23
da başka bir yer ne,23
onun gibi bir adam nasıl,23
bu senin için çok fazla,23
hiç de güzel bir şey,23
hakkında bir şey bilmiyorum ama,23
ama güzel çok çok iyi,23
ben de dedim ki evet,23
bir adam kendi eski bir,23
hakkında bir iki şey biliyorum,23
ben de öyle dedim ama,23
onu bana şimdi ver yoksa,23
pek emin değilim ama sanırım,23
bir adam için çok küçük,23
bir tane daha görmek istemiyorum,23
de bu kötü bir şey,23
beni burada daha ne kadar,23
bu kız benim için önemli,23
ki o da sizin gibi,23
hiç de kötü bir yer,23
da bir tane var mı,23
iyi bir çocuk değil mi,23
bu da ne demek ha,23
böyle çok daha iyi oldu,23
kadar çok şey oluyor ki,23
o iyi bir kız ve,23
sadece bana kim olduğunu söyle,23
ne şimdi ne de daha,23
bunu yapmak ne kadar zor,23
gibi olmak istiyorsun değil mi,23
yok bunu daha önce de,23
bir gün senin de böyle,23
kadar çok iş var ki,23
o da sizin gibi yeni,23
bir an önce buraya gel,23
iyi olur sanırım değil mi,23
burada önemli olan para değil,23
bir şey bir şey bir,23
şey bu değil değil mi,23
bu her şey demek değil,23
daha sonra sen ve ben,23
ve sana başka bir şey,23
göre sen de bunun bir,23
ve beni bir daha asla,23
onun için her şey çok,23
bana hiç böyle bir şey,23
herkes için zor bir gün,23
önce kimse böyle bir şey,23
olan kesinlikle o ve o,23
sen sen bir de sen,23
yüzden söyle bakalım buraya göre,23
ben hiç bu kadar mutlu,23
evet geri geldi ama senin,23
de o yüzden bu kadar,23
şimdi iyi bir şey yapma,23
lütfen biri bana burada neler,23
olan hiç bir şey yok,23
bunun için neden bu kadar,23
için tek bir neden söyle,23
tek kişi de ben değilim,23
için artık çok geç değil,23
niye her şeyi bu kadar,23
önemli bir şey tamam mı,23
gibi değil öyle değil mi,23
ver şu lanet şeyi bana,23
o da senin gibi gerçek,23
peki tam olarak ne zaman,23
artık çok geç tamam mı,23
için mi yoksa onun için,23
çok güzel bir yer var,23
benimle ilgili her şeyi biliyorsun,23
bu belki de iyi bir,23
tam öyle bir yer biliyorum,23
gerçek ama gerçek her zaman,23
kimse benim için bir şey,23
gün biraz daha zor geliyor,23
için daha önemli bir şey,23
biraz geç bir saat değil,23
bunun bir şey olduğunu mu,23
biz de bu yüzden bu,23
olan şey tam olarak bu,23
için gereken her şey var,23
kez olan bir şey değil,23
kadar büyük bir şeyi nasıl,23
ama burada bir şey var,23
göre doğru olan şey nedir,23
o kadar iyi değil mi,23
başka bir şey değil o,23
bu daha önce hiç oldu,23
bana nerede ve ne zaman,23
bak gerçekten çok özür dilerim,23
için çok zor bir gün,23
çünkü ben daha kötü bir,23
ben de bir gün öyle,23
ama o zaman herkes gibi,23
böyle bir yer gerçekten var,23
sanırım içinde bir şey var,23
ama artık küçük bir çocuk,23
size hiçbir şey için söz,23
ama o da benim gibi,23
bir şey gördüm ne bir,23
sizin için bir sorun mu,23
ve bana bu şekilde mi,23
bir şey nasıl bu kadar,23
bu bizim için ne demek,23
bana tek bir neden söyle,23
için sağ ol ama sana,23
ve çok da güzel bir,23
o yüzden söyle bakalım buraya,23
gün senin de böyle bir,23
etmek için çok geç değil,23
sizin için çok güzel bir,23
çünkü aslında her an seni,23
bence bu onun için iyi,23
olduğunu söyle ben de sana,23
da senin gibi gerçek değil,23
az kimse bu kadar uzun,23
bizim de senden önce bir,23
için çok zor bir zaman,23
daha iyi bir adam olduğunu,23
ben sen değilim asla sen,23
bunu bana yapma tamam mı,23
sizin için çok iyi bir,23
aman tanrım ne yapıyorsun sen,23
gece benim için çok önemli,23
doğru mu yanlış mı bilmiyorum,23
benim için önemli olduğunu biliyorsun,23
tamam ama bunun için bir,23
aynı şey değil değil mi,23
ama bu güzel bir şey,23
benim için çok özel olan,23
öyle bir şey asla olmaz,23
kadar uzun zaman oldu mu,23
bugün de özel bir gün,23
çok geç ama senin için,23
aynı şeyi benim için de,23
için uzun ve zor bir,23
benden bu kadar tamam mı,23
çok önemli bir şey için,23
gereken her şey burada var,23
çünkü benim için bir şey,23
ki senin için çok önemli,23
üç gün sonra benim için,23
çünkü benim için çok önemli,23
kesinlikle o ve o kesinlikle,23
bir yıl ya da daha,23
önce bana bir şey söyle,23
bunun harika bir şey olduğunu,23
hadi o kadar da kötü,23
bana karşı her zaman çok,23
sen de yeni bir tane,23
iş niye bu kadar önemli,23
için nasıl bir yer burası,23
hepsi için ne kadar istiyorsun,23
yok ne burada ne de,23
nasıl nerede ve ne zaman,23
bu o kadar da büyük,23
beni daha önce hiç orada,23
hayır ama güzel çok çok,23
peki sen nasıl biliyorsun bunu,23
gerçekten de harika bir gün,23
daha fazla söz etmek istemiyorum,23
tek şey bu tamam mı,23
hiç kimse senden daha iyi,23
oh teşekkür ederim teşekkür ederim,23
kim böyle bir şey için,23
bunun için sana teşekkür etmek,23
benim gibi o da seni,23
ya da biri oldu mu,23
ben senin hakkında her şeyi,23
bunun için sana teşekkür ediyorum,23
ve bir daha görmek istemiyorum,23
bu gece için her şey,23
birlikte ama o kadar da,23
bırak da bu benim olsun,23
onun olduğu kadar benim de,23
lütfen bir daha böyle bir,23
en önemli şey de bu,23
bana yardım et sana yardım,23
bana yardım etmek ister misiniz,23
bence bu senin için çok,23
ben de tam olarak ne,23
hayır hayır yok bir şey,23
ama yine de onun için,23
bana birkaç dakika ver hemen,23
de çok çok çok çok,23
tamam o zaman sorun yok,23
ve şu an nerede olduğunu,23
bu gerçek ama gerçek her,23
hiçbir zaman bunu tam olarak,23
içinde başka bir şey var,23
ama sana özel bir şey,23
görmek çok güzel eski dostum,23
başka kimse sana neler olduğunu,23
neden burada olduğunu bile bilmiyorum,23
lütfen ona bir şey yapma,23
mı yok mu demek olacak,23
bunlar bir saat bir saat,23
ama bu benim için önemli,23
için çok özür dilerim ama,23
gece önce bir şey oldu,23
için çok özür dilerim tamam,23
o ve o kesinlikle bir,23
ama sana bir şey olmaz,23
bu şey buraya nasıl geldi,23
bir şey yok da ondan,23
yok o da senin gibi,23
de ne kadar zor olduğunu,23
ya da geç her şey,23
da sizin gibi yeni geldi,23
başka ne oldu biliyor musun,23
aslında bu çok iyi bir,23
ve ben de evet dedim,23
için bir şey mi yapmak,23
kadar da kötü biri değilim,23
ama bu gece burada değil,23
şey para için değil mi,23
teşekkürler ben de tam olarak,23
belki de o yüzden bu,23
izin ver sana bir şey,23
ben sadece senin için en,23
sen ve ben asla birlikte,23
şimdi sen de mi bana,23
yanlış bir şey var mı,23
daha özel bir şey var,23
için son ve en iyi,23
ama eminim orada başka biri,23
aman tanrım o iyi mi,23
bir şey olmak zorunda değil,23
sonra sen ve ben birlikte,23
ne gerek var değil mi,23
senin için hiç de iyi,23
biraz daha büyük bir şey,23
bir gece önce bir şey,23
eminim orada başka biri daha,23
gel de bir merhaba de,23
senin için geliyor bunu biliyorsun,23
yardım etmek istiyorum ama ne,23
belki daha iyi olur ha,23
mi yoksa iş için mi,23
hey hey bir şey yok,23
ilgili daha fazla bir şeyler,23
ama sadece bir kişi için,23
için harika bir yıl olsun,23
bu şeyi en son ne,23
evet sanırım bu iyi bir,23
ve biliyorum ki ben buna,23
senden hiç bir şey istemiyorum,23
senin için her şey iyi,23
yanlış bir şey değil mi,23
ben de şu an seni,23
beni gerçekten çok mutlu ediyor,23
sana lazım olan şey bu,23
bu benim için daha iyi,23
tam olarak ne zaman bunu,23
gereken şu an o değil,23
bana şimdi ver yoksa ben,23
sadece ona yardım etmek istiyorum,23
yeni adam olarak sen gibi,23
bu aynı kız değil mi,23
kadar güzel ki herkes ona,23
kadın benim için böyle bir,23
hem de hiç bir şey,23
bir şey oldu ve beni,23
sadece ve sadece tek bir,23
ama bu bir sorun değil,23
bu yüzden bu kadar önemli,23
için çok geç ama senin,23
insan böyle bir şeyi nasıl,23
sana yardım etmek istiyorum tamam,23
şey benim için büyük bir,23
burada bana göre bir şey,23
o gece başka biri daha,23
bu doğru değil ama bunu,23
asla böyle bir şey yapma,23
lütfen bana iyi olduğunu söyle,23
için çok iyi bir neden,23
belki de bana bu yüzden,23
bana çok kötü bir şey,23
evet bu senin için önemli,23
ki sadece sen ve ben,23
ama şu an hiçbir şey,23
bize yardım etmek için geldi,23
biraz daha yemek ister misin,23
için çok iyi bir iş,23
bu bir sorun olacak mı,23
şey ya da biri oldu,23
için çok geç bir saat,23
şey iyi olacak değil mi,23
de onunla birlikte olduğunu biliyorum,23
ben sizin için bir şey,23
sana iki şey için söz,23
adam gerçekten gerçekten çok iyi,23
iş için en iyi kişi,23
bir çok kişi gibi ben,23
senin için de çok iyi,23
da güzel bir gün değil,23
bir şey söyledi mi sana,23
burası ne kadar güzel bir,23
sen onu değil o seni,23
şey için çok geç olur,23
de hep senin gibi bir,23
tam olarak ne kadar olduğunu,22
ediyorum ve daha bir hafta,22
ve her şey çok iyi,22
bunun için size teşekkür ediyorum,22
bir sana bak bir de,22
bunun için küçük bir şey,22
ne kadar önce oldu bu,22
çok güzel çok güzel çok,22
kaç olduğunu biliyorum ve benim,22
ve daha önce hiç böyle,22
senin için daha kötü olacak,22
bunun için çok geç olabilir,22
tam olarak nerede olduğunu biliyorsun,22
burada benden iki tane senden,22
tamam bekle bekle bekle bekle,22
tek bir şey var sadece,22
bunun ne kadar güzel olduğunu,22
orada benim için de bir,22
ama ne zaman ve nerede,22
ya da belki o kadar,22
ve her şey için çok,22
şimdi her şey ne kadar,22
benden daha iyi bir insan,22
her zaman daha iyi bir,22
bunu kabul et ya da,22
daha önce sadece bir kez,22
sen emin misin bizi bu,22
bir insan ve iyi bir,22
ve gerçek şu ki bunu,22
çok önemli bir şey olacak,22
küçük kız hakkında bir şey,22
çok geç değil değil mi,22
evet böyle daha iyi oldu,22
hiçbir zaman benim için orada,22
tam olarak ne oldu peki,22
ya da belki de onlara,22
bunun için sana her zaman,22
git şimdi buradan seni dışarı,22
senin için gerçekten bu kadar,22
bu an için ne kadar,22
bu benim ilk ve tek,22
bunun içinde tam olarak ne,22
tam olarak değil niye ki,22
demek olduğunu biliyor musun bay,22
ya böyle olacak ya da,22
bunun için özür dilerim efendim,22
ilk kez olan bir şey,22
belki de o kadar çok,22
burada burada burada ve burada,22
her zaman olduğu gibi benim,22
bana bir şey olmaz anne,22
gereken önemli bir şey olduğunu,22
olduğunu benim kadar iyi biliyorsun,22
ve bu hiç de iyi,22
biri olmak nasıl bir şey,22
evet hakkında her şeyi biliyorum,22
bir saat sonra beni bu,22
ne zaman nerede ve kim,22
iki tane senden de iki,22
bir şey bir şey var,22
için o kadar önemli değil,22
iyi olan benim için de,22
bak seni benden daha uzun,22
an onları yapmak zorunda değilim,22
güzel çocuk bize yardım et,22
daha çok var değil mi,22
burada yeni bir şey yok,22
o zaman bize yardım et,22
ve önemli olan tek şey,22
gibi biri de ne demek,22
daha önce bu kadar büyük,22
gereken şeyi çok iyi biliyorum,22
az benim kadar iyi biliyorsun,22
üç gün ve üç gece,22
benim için de yeni bir,22
tane senden de iki tane,22
bu çok özel bir gün,22
sana hiç mi bir şey,22
bu çok büyük bir an,22
burada sizin için bir şey,22
bana bak senden daha önce,22
başka bir şey için mi,22
her kişi için kötü bir,22
da ne kadar güzel olduğunu,22
daha çok başka bir yerde,22
da ne demek oluyor ha,22
gereken özel bir şey var,22
mü o kadar da zor,22
o zaman biz de seni,22
sen ve ben bu işte,22
evet hem de çok büyük,22
bir şey ister misiniz bayan,22
bunu sana pek çok kez,22
önemli olabilir ama benim için,22
daha önce hiç onun gibi,22
bu çok harika bir şey,22
falan değil öyle değil mi,22
gece nerede olduğunu biliyor musun,22
güzel ne güzel ne güzel,22
evet iyi adam ama bir,22
bana biraz zaman ver tamam,22
hiç de doğru bir şey,22
üzgünüm şu anda burada değil,22
sanırım o da benim için,22
bu da pek olan bir,22
de aynı şeyi benim için,22
tam şu anda ona kadar,22
bir şey daha var aslında,22
bu yer hakkında bir şeyler,22
pek bir şey yok gibi,22
zor bir gün olduğunu biliyorum,22
neden emin değilim biliyor musun,22
bana bak ve beni dinle,22
bu daha güzel bir şey,22
bundan kötü ne olabilir ki,22
ondan sonra da böyle bir,22
bunu o da biliyor sen,22
için çok daha iyi olacak,22
bu adam her şeyi biliyor,22
bana ne olduğunu biliyor musun,22
bu çok başka bir şey,22
daha önce hiç sizin gibi,22
belki de onu bir daha,22
bu adam bu adam bir,22
yanlış bir şey mi oldu,22
bunu sadece sen ve ben,22
sadece bana ne olduğunu söyle,22
ki bu yıl beni burada,22
diye biri olacak mı diye,22
hiçbir şey daha iyi değil,22
şu an daha büyük bir,22
beni mi yoksa kendini mi,22
bana sadece bir dakika lazım,22
daha böyle bir şey asla,22
ne demek bir şey değil,22
fakat benim için bir şey,22
gerçekten ne demek olduğunu biliyor,22
gerçekten ne olduğunu biliyor musun,22
ama sen sadece biraz daha,22
onun ne olduğu hakkında bir,22
bu doğru bir şey yapma,22
çünkü o da benimle buraya,22
gerçekten o kadar oldu mu,22
evet benim de bir kız,22
büyük bir şey değil sadece,22
ama şu an onları yapmak,22
sen devam etmek ister misin,22
fakat bir ya da iki,22
çünkü ben daha iyi bir,22
efendim bir şey daha var,22
bu bizim için çok iyi,22
bir kez senin gibi bir,22
şimdi en az senin kadar,22
ama burada bu şekilde değil,22
bu yüzden her şey en,22
benim için başka şey yok,22
çünkü o da sana aynı,22
sen de benim gibi bu,22
kadar önemli olan ne lanet,22
ya da bunun gibi şeyler,22
ne demek bilmiyorum ama ben,22
sen de mi bunu istiyorsun,22
daha bir kaç gün önce,22
nasıl bir yer olduğu hakkında,22
bu kadar kadın var ama,22
yok bir şey her şey,22
kimse ve hiçbir şey beni,22
de bunu benim kadar iyi,22
sen de benim gibi misin,22
yok önemli bir şey değil,22
daha büyük bir şey lazım,22
için güzel bir yer gibi,22
diye bir yere bir şey,22
şu an onları yapmak zorunda,22
bir saat sonra geri gel,22
yüzden iş bir tek senin,22
şimdi bunu yapmak istiyor musun,22
onun için çok zor olacak,22
gidip bu gece iyi bir,22
ya sen ya da o,22
ne şimdi ne de hiçbir,22
bu bir son olmak zorunda,22
bu senin için hiç de,22
geldi ama tam emin değilim,22
hakkında başka bir şey bilmiyorum,22
bu bir şey değil ki,22
ona iyi bakın tamam mı,22
şu anda daha iyi bir,22
insan olmak böyle bir şey,22
sizi tekrar görmek ne kadar,22
eve gidip bu gece iyi,22
nasıl bir şey bu böyle,22
bana ben de senin kadar,22
gerçekten devam mı etmek istiyorsun,22
bu seninle ilgili değil tamam,22
kimse bana öyle bir şey,22
bir saat içinde burada olsun,22
aynı şeyi daha önce de,22
hadi gel sana bir şey,22
ben de çok önemli bir,22
sana yanlış bir şey mi,22
onun senin için ne kadar,22
bu seninle ilgili bir şey,22
bu senin için iyi mi,22
de bu iyi bir şey,22
bu işe artık bir son,22
bu bir insan için küçük,22
ben de başka bir yerde,22
kadar iyi bir yer dostum,22
çünkü ben senin gibi değilim,22
sonra siz de onun için,22
bu senin için hiçbir şey,22
gerçekten de çok zor bir,22
ne var ki kimse onu,22
daha fazla bir şeyler var,22
değil ama o kadar da,22
o çok iyi bir kadın,22
daha iyi bir yer oldu,22
daha iyi değil tamam mı,22
benim için bir şeyler var,22
daha iyi olan tek şey,22
ve daha bir hafta oldu,22
oraya gidip ona yardım et,22
oh tanrım bu da ne,22
ve belki de harika bir,22
için pek fazla bir şey,22
belki sen de bir gün,22
gibi daha kaç kişi var,22
ama artık buna bir son,22
ya da bana bir şey,22
benim için biraz daha zor,22
sen ve ben bir şeyler,22
için iyi bir şey yapmak,22
bana bunu neden neden neden,22
oh tanrım bunu neden yapıyorsun,22
ve başka bir tane daha,22
bu gece büyük gece ve,22
yani o kadar da kötü,22
bu güzel yemek için teşekkürler,22
sonra her şey harika olacak,22
çok güzel bir şey olmalı,22
bu benim için her şey,22
kadar önemli olduğunu biliyorum ama,22
diye bir şey yok bay,22
daha önce gördüm ve üzgünüm,22
ve benim için çok önemli,22
özür dilerim ama bu çok,22
bir saat ya da daha,22
ve ben de hayır dedim,22
ve benden başka kimse yok,22
kötü bir şey değil bu,22
daha mı iyi yoksa daha,22
bu yüzden mi beni görmek,22
daha iyi biri olmak istiyorum,22
şimdi her zaman olduğu gibi,22
olmaz her kişi için kötü,22
bir ve iki ve hala,22
bu bana göre bir şey,22
bu işte böyle şeyler olur,22
sadece sen ve ben bir,22
çok değil ama iki tane,22
daha önce hiç bir şey,22
yok bir şey sorun yok,22
mi yoksa kötü bir şey,22
etmek benim için çok zor,22
yoksa başka bir yere mi,22
ama sen de benim için,22
bir son olmak zorunda değil,22
sen de yemek ister misin,22
bu yüzden git ve daha,22
bana biraz zaman ver olur,22
yeni bir şey yok ama,22
gerçek olmak için fazla iyi,22
yüzden her şey en küçük,22
ne kadar oldu bir yıl,22
ben bu iş için çok,22
bu çok çok güzel bir,22
senin gibi daha kaç kişi,22
olmaz o bizim en iyi,22
o zaman ben de daha,22
daha ve bir tane daha,22
bu gece için başka bir,22
bu gece çok güzel bir,22
gece büyük gece ve tekrar,22
sanırım senden fazla bir şey,22
ama o kadar da küçük,22
ve biliyorum ki siz onlara,22
sadece ne zaman nerede ve,22
ha bir şey daha var,22
bir kez daha kontrol edin,22
ne güzel ne güzel ne,22
bana yine de o şekilde,22
o zaman ben de ona,22
her zaman her şey için,22
için bir şeyler ister misin,22
değil bu yani bu gerçek,22
kaç kez daha özür dilerim,22
buradan daha iyi bir yere,22
az önce en güzel iki,22
hayır sadece bir kişi var,22
bir kız için bu çok,22
bir kadın için hiçbir şey,22
olan son şey başka bir,22
için hiç de kötü bir,22
o bir şey söyledi mi,22
onun iyi bir çocuk olduğunu,22
ne kadar güzel bir çocuk,22
en son ne zaman sana,22
bir şeyi var mı diye,22
nasıl oluyor da her şeyi,22
her yere git yoksa seni,22
bir başka şey daha var,22
her şey en küçük bir,22
o artık bir insan değil,22
o burada mı değil mi,22
şey en küçük bir şey,22
özel bir şey daha var,22
ben senden böyle bir şey,22
bunu biliyorsun zaten değil mi,22
yüzden git ve daha fazla,22
ben ona daha iyi bir,22
bir gün harika bir anne,22
çok hoş bir yer değil,22
neden bu kadar zor olmak,22
yemek o kadar da kötü,22
biliyorum ve sana yardım etmek,22
yemek ne zaman hazır olacak,22
çok hoş biri değil mi,22
herkes senin kim olduğunu biliyor,22
size ne oldu böyle çocuklar,22
ama bizim için çok önemli,22
bana daha fazla bir şey,22
onun için bu kadar çok,22
tanrım lütfen yardım et bana,22
o senin mi ki ondan,22
iyi bir insan olmak istiyorum,22
en son ne zaman beni,22
benden iki tane senden de,22
bırak da ne kadar güzel,22
bir sorun falan mı var,22
için özür dilerim ama bir,22
çünkü bunu daha önce de,22
o da sana aynı şeyi,22
çok uzun zaman önce de,22
her şey daha iyi oluyor,22
hem de çok iyi biliyorsun,22
hayır değil çünkü kimse burada,22
senin ne kadar önemli olduğunu,22
burada neler olduğunu bilmiyorum ama,22
bir şey söyledi mi hiç,22
da başka bir şey olmalı,22
kim var biliyor musun evet,22
neden sen değil de o,22
şimdi de bir şey bunu,22
çünkü şimdi seni çok fazla,22
benim olan bir şeyi mi,22
belki de önemli bir şey,22
hem de daha önce hiç,22
için değil de onun için,22
bir kız için çok fazla,22
neden ya da nasıl bilmiyorum,22
çok güzel bir kız bu,22
ama iyi bir şey değil,22
bir kadın çok da hoş,22
hayır öyle bir şey olmaz,22
bırak ben de bir şeyler,22
ki kimse onu böyle bir,22
kadar zor olmak zorunda değil,22
ama ben yine de seni,22
bir büyük bir de küçük,22
bir adam var ama ben,22
sana bunu uzun zaman önce,22
o beni gerçek bir çocuk,22
her şey daha mı iyi,22
bu pek iyi bir şey,22
bu şey hakkında emin misin,22
senin gibi hoş bir kız,22
pek de iyi bir gün,22
