fourgram,fivegram,frequency
için çok büyük bir,benim için çok büyük bir,184
size teşekkür etmek istiyorum,için size teşekkür etmek istiyorum,184
fazla bir şey değil,pek fazla bir şey değil,184
pek fazla bir şey,pek fazla bir şey değil,184
burada bekle tamam mı,sen burada bekle tamam mı,183
senin kim olduğunu biliyorum,ben senin kim olduğunu biliyorum,183
aslında o kadar da,aslında o kadar da kötü,183
o kadar da kötü,aslında o kadar da kötü,183
ne demek olduğunu biliyorsun,ne demek olduğunu biliyorsun değil,182
bu ne demek oluyor,peki bu ne demek oluyor,182
iyi bak tamam mı,ona iyi bak tamam mı,182
daha önce de oldu,bu daha önce de oldu,181
evet ya da hayır,sadece evet ya da hayır,181
ben de senin kadar,ben de senin kadar biliyorum,181
için çok teşekkür ederim,şey için çok teşekkür ederim,181
bu daha önce de,bu daha önce de oldu,181
başka bir şey yok,hayır başka bir şey yok,180
daha iyi bir yer,için daha iyi bir yer,180
için daha iyi bir,için daha iyi bir yer,180
kabul et ya da,kabul et ya da git,180
o zaman başka bir,o zaman başka bir şey,180
başka bir yere gidelim,hadi başka bir yere gidelim,179
daha önce hiç böyle,onu daha önce hiç böyle,178
onu daha önce hiç,onu daha önce hiç böyle,178
her şey için teşekkür,her şey için teşekkür etmek,177
bir şey var mı,hakkında bir şey var mı,177
o çok iyi bir,o çok iyi bir insan,177
her şey için çok,her şey için çok teşekkür,177
o kadar kötü mü,gerçekten o kadar kötü mü,177
bir şey daha var,aslında bir şey daha var,176
en son o zaman,onu en son o zaman,176
bir sorun mu var,evet bir sorun mu var,176
bir şeyler yemek ister,bir şeyler yemek ister misiniz,175
nasıl oldu da bu,nasıl oldu da bu kadar,175
kadar da kötü değil,kadar da kötü değil değil,175
bu hiç de iyi,bu hiç de iyi bir,174
hiç de iyi bir,bu hiç de iyi bir,174
daha önemli şeyler var,gereken daha önemli şeyler var,174
bundan pek emin değilim,ben bundan pek emin değilim,174
bu iyi bir şey,hayır bu iyi bir şey,173
tek bir şey var,gereken tek bir şey var,173
o kadar uzun zaman,o kadar uzun zaman oldu,172
sorun olmaz değil mi,için sorun olmaz değil mi,170
yine de sağ ol,ama yine de sağ ol,170
nerede olduğunu biliyor musun,şimdi nerede olduğunu biliyor musun,170
için bu kadar önemli,için bu kadar önemli mi,170
en son ne zaman,sen en son ne zaman,170
bir şey yok bir,yok bir şey yok bir,169
bir şey daha var,küçük bir şey daha var,169
yok bir şey yok,yok bir şey yok bir,169
önemli bir şey değil,önemli bir şey değil mi,168
benim için bir şey,ama benim için bir şey,168
bir şey değil mi,önemli bir şey değil mi,168
bu demek oluyor ki,yani bu demek oluyor ki,167
neden böyle bir şey,neden böyle bir şey yapmak,167
de bir tane var,benim de bir tane var,167
pek fazla bir şey,pek fazla bir şey yok,167
böyle bir şey yapmak,neden böyle bir şey yapmak,167
ne oldu biliyor musun,ve ne oldu biliyor musun,167
fazla bir şey yok,pek fazla bir şey yok,167
orada ne işi var,onun orada ne işi var,166
sadece sen ve ben,artık sadece sen ve ben,166
hakkında hiçbir şey bilmiyorum,bunun hakkında hiçbir şey bilmiyorum,165
bu senin için çok,bu senin için çok zor,165
senin için çok zor,bu senin için çok zor,165
ne demek oluyor bu,ne demek oluyor bu şimdi,165
benim için ne kadar,benim için ne kadar zor,164
çok daha iyi bir,çok daha iyi bir şey,164
için ne kadar zor,benim için ne kadar zor,164
daha iyi bir şey,çok daha iyi bir şey,164
çok zor bir şey,bu çok zor bir şey,163
hakkında pek bir şey,hakkında pek bir şey bilmiyorum,163
bu çok özel bir,bu çok özel bir şey,163
belki de o kadar,belki de o kadar kötü,163
çok özel bir şey,bu çok özel bir şey,163
bu çok zor bir,bu çok zor bir şey,163
bu harika bir şey,bence bu harika bir şey,162
burada ne işi var,burada ne işi var onun,162
o benim en iyi,o benim en iyi dostum,162
bence bu harika bir,bence bu harika bir şey,162
hayır öyle bir şey,hayır hayır öyle bir şey,162
için çok zor olmalı,sizin için çok zor olmalı,161
bu kadar önemli olan,bu kadar önemli olan şey,161
ve ben de seni,ve ben de seni seviyorum,161
ben de seni seviyorum,ve ben de seni seviyorum,161
için gerçekten çok üzgünüm,bunun için gerçekten çok üzgünüm,160
senin için bir şey,bu senin için bir şey,160
o çok iyi bir,o çok iyi bir kız,160
bu senin için bir,bu senin için bir şey,160
önemli olan bu değil,ama önemli olan bu değil,160
o kadar önemli değil,bu o kadar önemli değil,160
kötü bir şey değil,kötü bir şey değil ki,158
bu senin için çok,bu senin için çok kötü,158
tam olarak öyle değil,hayır tam olarak öyle değil,158
ne var biliyor musun,de ne var biliyor musun,158
bir şey söyledi mi,size bir şey söyledi mi,158
bir şey değil ki,kötü bir şey değil ki,158
diye bir şey var,diye bir şey var mı,157
bütün bunlar da ne,bütün bunlar da ne demek,157
o kadar da iyi,o kadar da iyi bir,157
yanlış olan bir şey,yanlış olan bir şey yok,157
bir o kadar da,ve bir o kadar da,157
bir şey var mı,diye bir şey var mı,157
olan bir şey yok,yanlış olan bir şey yok,157
çok zor bir şey,çok zor bir şey değil,156
zor bir şey değil,çok zor bir şey değil,156
benim için her şey,benim için her şey demek,156
bu çok iyi olur,evet bu çok iyi olur,155
bir dakika izin ver,bize bir dakika izin ver,155
bize bir dakika izin,bize bir dakika izin ver,155
bu iyi bir şey,ki bu iyi bir şey,154
bir şey mi var,orada bir şey mi var,153
bu senin için iyi,bu senin için iyi bir,153
çok kötü değil mi,bu çok kötü değil mi,153
senin için iyi bir,bu senin için iyi bir,153
ama başka bir şey,ama başka bir şey var,153
bir şey var mı,bana bir şey var mı,153
başka bir şey var,ama başka bir şey var,153
bir şey mi var,olan bir şey mi var,152
asla böyle bir şey,ben asla böyle bir şey,152
çok büyük bir şey,çok büyük bir şey değil,152
büyük bir şey değil,çok büyük bir şey değil,152
en az benim kadar,de en az benim kadar,152
bir ya da iki,bir ya da iki saat,151
öyle bir şey yok,öyle bir şey yok ki,151
için bir neden yok,bunun için bir neden yok,151
senin için çok önemli,bu senin için çok önemli,151
bir şey yok ki,öyle bir şey yok ki,151
bu senin için çok,bu senin için çok önemli,151
sen de benim kadar,sen de benim kadar iyi,151
için biraz geç değil,bunun için biraz geç değil,151
bir şey var mı,gibi bir şey var mı,151
bunun için biraz geç,bunun için biraz geç değil,151
önemli bir şey değil,da önemli bir şey değil,150
başka şeyler de var,başka şeyler de var mı,149
senin için bu kadar,neden senin için bu kadar,149
o da ne demek,o da ne demek öyle,148
senin için zor olmalı,bu senin için zor olmalı,148
bizim için çok önemli,bu bizim için çok önemli,148
bu iyi bir şey,sanırım bu iyi bir şey,147
olduğunu çok iyi biliyorum,ne olduğunu çok iyi biliyorum,147
çok güzel değil mi,o çok güzel değil mi,147
çok fazla insan var,burada çok fazla insan var,147
başka bir şey daha,gereken başka bir şey daha,146
çok güzel değil mi,evet çok güzel değil mi,146
çok iyi değil mi,bu çok iyi değil mi,146
o çok iyi bir,o çok iyi bir adam,146
için artık çok geç,benim için artık çok geç,146
gereken başka bir şey,gereken başka bir şey daha,146
bir şey daha var,oh bir şey daha var,146
çok iyi bir adam,o çok iyi bir adam,146
bu kadar çok mu,bu kadar çok mu istiyorsun,146
ama başka bir şey,ama başka bir şey daha,145
başka bir şey daha,ama başka bir şey daha,145
nasıl böyle bir şey,nasıl böyle bir şey olabilir,145
o kadar da kötü,o kadar da kötü değilim,145
o kadar da değil,hayır o kadar da değil,145
bir şey mi var,öyle bir şey mi var,145
bir şey mi istiyorsun,benden bir şey mi istiyorsun,145
ne demek olduğunu bilmiyorum,onun ne demek olduğunu bilmiyorum,144
ben de seni seviyorum,ben de seni seviyorum dostum,144
için ne kadar zor,sizin için ne kadar zor,143
son bir şey daha,ve son bir şey daha,142
ne oldu biliyor musun,ama ne oldu biliyor musun,141
bugün güzel bir gün,bugün güzel bir gün olacak,141
burada ne işi var,burada ne işi var bunun,141
o kadar kötü değil,bu o kadar kötü değil,141
senin için çok iyi,bu senin için çok iyi,140
etmek için her şeyi,yardım etmek için her şeyi,140
çok güzel bir kadın,o çok güzel bir kadın,140
ben de senin gibi,ben de senin gibi bir,140
bir de bu var,ve bir de bu var,140
bu senin için çok,bu senin için çok iyi,140
bunlar da ne böyle,bütün bunlar da ne böyle,140
bütün bunlar da ne,bütün bunlar da ne böyle,140
hiç bu kadar mutlu,onu hiç bu kadar mutlu,140
bir sorun mu var,orada bir sorun mu var,139
her şey çok iyi,her şey çok iyi olacak,139
o zaman burada ne,o zaman burada ne yapıyorsun,139
için sorun olur mu,sizin için sorun olur mu,139
kötü bir şey değil,da kötü bir şey değil,139
daha ne kadar devam,buna daha ne kadar devam,138
iyi bir zaman değil,şimdi iyi bir zaman değil,138
her şey için çok,her şey için çok geç,138
sorun olmaz değil mi,bu sorun olmaz değil mi,138
ne var ne yok,ne var ne yok bakalım,138
başka bir şey var,hayır başka bir şey var,138
ne kadar önemli olduğunu,ne kadar önemli olduğunu biliyor,137
benim için çok önemli,o benim için çok önemli,137
hoş bir şey değil,hiç hoş bir şey değil,137
böyle olmak zorunda değil,ama böyle olmak zorunda değil,136
da başka bir şey,da başka bir şey ister,136
daha önemli bir şey,daha önemli bir şey var,136
bir şey daha var,bir şey daha var efendim,136
neden böyle bir şey,neden böyle bir şey yapıyorsun,136
ne var biliyor musun,hayır ne var biliyor musun,136
tüm bunlar da ne,tüm bunlar da ne demek,136
o kadar emin değilim,artık o kadar emin değilim,136
başka bir şey ister,da başka bir şey ister,136
önemli bir şey var,daha önemli bir şey var,136
bir ya da iki,sadece bir ya da iki,135
bir tane daha ver,bana bir tane daha ver,135
o zaman ben de,o zaman ben de seninle,135
senin için özel bir,senin için özel bir şey,135
bir sorun mu var,neden bir sorun mu var,134
diye bir şey yok,diye bir şey yok mu,134
benim için bir şey,önce benim için bir şey,134
küçük bir sorun var,ama küçük bir sorun var,134
ama bu şekilde değil,evet ama bu şekilde değil,134
ne kadar zor olabilir,bu ne kadar zor olabilir,134
bir şey yok mu,diye bir şey yok mu,134
bir şey mi oldu,bir şey mi oldu yoksa,134
hayır hayır sorun değil,hayır hayır hayır sorun değil,134
o zaman ben de,o zaman ben de sana,133
tam olarak ne demek,tam olarak ne demek oluyor,133
başka bir şey yoksa,eğer başka bir şey yoksa,132
bunun için biraz geç,bunun için biraz geç oldu,132
bu aynı şey değil,ama bu aynı şey değil,132
ve bir daha geri,git ve bir daha geri,132
bir tane daha var,bir tane daha var mı,132
pek bir şey yok,burada pek bir şey yok,131
için iyi bir yer,için iyi bir yer değil,131
ne güzel bir gün,için ne güzel bir gün,131
daha önce de gördüm,onu daha önce de gördüm,131
hiç bir şey yok,orada hiç bir şey yok,131
için çok teşekkür ederim,bunun için çok teşekkür ederim,131
sadece sen ve ben,sadece sen ve ben mi,130
sen ve ben mi,sadece sen ve ben mi,130
ama o kadar da,hadi ama o kadar da,129
bu başka bir şey,hayır bu başka bir şey,129
bu senin için bir,bu senin için bir sorun,129
en son ne zaman,bunu en son ne zaman,129
bir ya da iki,bir ya da iki tane,129
ne kadar güzel bir,ne kadar güzel bir kız,128
için zor olduğunu biliyorum,için zor olduğunu biliyorum ama,128
tek bir şey var,olan tek bir şey var,128
fazla bir şey değil,fazla bir şey değil ama,128
bu iyi bir şey,bu iyi bir şey olabilir,128
önemli olan tek şey,önemli olan tek şey o,128
iyi bir şey değil,hiç iyi bir şey değil,128
ne kadar kötü olabilir,daha ne kadar kötü olabilir,128
bir şey değil ama,fazla bir şey değil ama,128
zor olduğunu biliyorum ama,için zor olduğunu biliyorum ama,128
bu çok iyi bir,bu çok iyi bir şey,127
bu da bir şey,bu da bir şey değil,127
her gün yeni bir,her gün yeni bir şey,127
önemli bir şey yok,daha önemli bir şey yok,127
daha önemli bir şey,daha önemli bir şey yok,127
bir şey değil mi,da bir şey değil mi,127
çok iyi bir şey,bu çok iyi bir şey,127
bu benim için de,bu benim için de zor,127
bu kadar çok şey,nasıl bu kadar çok şey,127
en son ne zaman,en son ne zaman böyle,126
bunun için özür dilerim,ve bunun için özür dilerim,126
bana mı öyle geliyor,yoksa bana mı öyle geliyor,126
başka bir şey mi,başka bir şey mi vardı,126
bir şey mi vardı,başka bir şey mi vardı,126
ben hiç bir şey,ben hiç bir şey bilmiyorum,126
hiç bir şey bilmiyorum,ben hiç bir şey bilmiyorum,126
bunu sen de biliyorsun,bunu sen de biliyorsun ben,126
kötü bir şey mi,kadar kötü bir şey mi,125
öyle bir şey yok,çünkü öyle bir şey yok,125
diye bir şey yok,yarın diye bir şey yok,125
bunun gibi bir şey,da bunun gibi bir şey,125
kadar kötü bir şey,kadar kötü bir şey mi,125
hoş bir şey değil,bu hoş bir şey değil,124
senin için çok zor,senin için çok zor olduğunu,124
çok güzel bir gün,çok güzel bir gün değil,124
çok önemli bir şey,sana çok önemli bir şey,124
ne var ne yok,başka ne var ne yok,124
ben de senin için,ben de senin için aynı,124
her şeyi daha da,bu her şeyi daha da,124
güzel bir gün değil,çok güzel bir gün değil,124
kadar güzel bir şey,ne kadar güzel bir şey,123
ne kadar güzel bir,ne kadar güzel bir şey,123
buraya gel buraya gel,gel buraya gel buraya gel,122
gel buraya gel buraya,gel buraya gel buraya gel,122
neden bu kadar önemli,neden bu kadar önemli olduğunu,122
bu kadar çok şey,bu kadar çok şey biliyorsun,121
bunun gibi bir şey,bunun gibi bir şey işte,121
bunu yapmak istiyor musun,gerçekten bunu yapmak istiyor musun,121
benim için çok şey,bu benim için çok şey,121
bana da bir tane,bana da bir tane ver,121
senin gibi güzel bir,senin gibi güzel bir kız,121
bu benim için çok,bu benim için çok şey,121
en son ne zaman,en son ne zaman bu,120
için daha iyi bir,senin için daha iyi bir,120
de başka bir şey,belki de başka bir şey,120
gel buraya gel buraya,buraya gel buraya gel buraya,120
bir şey yok mu,hâlâ bir şey yok mu,120
buraya gel buraya gel,buraya gel buraya gel buraya,120
senin için daha iyi,senin için daha iyi bir,120
beni dinle tamam mı,şimdi beni dinle tamam mı,120
benim için sorun değil,bu benim için sorun değil,120
belki de başka bir,belki de başka bir şey,120
bir şey daha vardı,başka bir şey daha vardı,119
başka bir şey daha,başka bir şey daha vardı,119
tanrım bu da ne,tanrım bu da ne böyle,119
çok güzel bir şey,çok güzel bir şey bu,119
bir şey ister misiniz,siz bir şey ister misiniz,119
bu da ne böyle,tanrım bu da ne böyle,119
daha fazla bir şey,daha fazla bir şey yok,118
hayır bir şey yok,hayır hayır bir şey yok,118
fazla bir şey yok,daha fazla bir şey yok,118
hayır hiç de bile,hayır hayır hiç de bile,118
bu iyi bir şey,yani bu iyi bir şey,118
yine de teşekkür ederim,ama yine de teşekkür ederim,118
olan her şey var,olan her şey var mı,118
çok güzel değil mi,gerçekten çok güzel değil mi,117
bunun benim için ne,bunun benim için ne demek,117
için çok özür dilerim,şey için çok özür dilerim,117
hem de çok iyi,evet hem de çok iyi,117
o kadar da önemli,o kadar da önemli bir,117
bir şey değil ki,yeni bir şey değil ki,117
için çok geç değil,için çok geç değil mi,117
yeni bir şey değil,yeni bir şey değil ki,117
bunun için çok geç,bunun için çok geç artık,117
evet hem de çok,evet hem de çok iyi,117
bir şey mi var,özel bir şey mi var,117
pek bir şey yok,orada pek bir şey yok,116
orada bir şey var,orada bir şey var mı,116
çok güzel bir kız,o çok güzel bir kız,116
diye bir şey yok,olacak diye bir şey yok,116
bir şey var mı,orada bir şey var mı,116
ne var biliyor musun,evet ne var biliyor musun,116
bir şey mi oldu,neden bir şey mi oldu,116
bu çok zor bir,bu çok zor bir iş,116
en son ne zaman,seni en son ne zaman,116
ben de öyle dedim,ben de öyle dedim ya,116
bu kadar büyük bir,hiç bu kadar büyük bir,116
için iyi bir zaman,bunun için iyi bir zaman,115
çok uzun zaman önce,çok çok uzun zaman önce,115
sizi tekrar görmek ne,sizi tekrar görmek ne hoş,115
için iyi bir şey,senin için iyi bir şey,115
hiç bu kadar güzel,önce hiç bu kadar güzel,115
önce hiç bu kadar,önce hiç bu kadar güzel,115
senin için iyi bir,senin için iyi bir şey,115
en iyi şey bu,en iyi şey bu mu,114
bir şey mi oldu,sana bir şey mi oldu,114
da bu değil mi,da bu değil mi zaten,114
bir şey var mı,bir şey var mı bayan,114
öyle ya da böyle,öyle ya da böyle o,114
sana bir şey mi,sana bir şey mi oldu,114
burada ne işi var,burada ne işi var ki,114
ilgili bir sorun var,ile ilgili bir sorun var,114
bu hiç hoş değil,bu hiç hoş değil dostum,113
bir tane daha var,orada bir tane daha var,113
hepsi bu kadar mı,yani hepsi bu kadar mı,113
çok daha büyük bir,çok daha büyük bir şey,113
daha büyük bir şey,çok daha büyük bir şey,113
bu çok uzun zaman,ama bu çok uzun zaman,112
o kadar da zor,bu o kadar da zor,112
bunun için ne kadar,bunun için ne kadar istiyorsun,112
bu o kadar da,bu o kadar da zor,112
sen burada ne yapıyorsun,peki sen burada ne yapıyorsun,112
senin için bir şey,burada senin için bir şey,112
bunu daha önce de,evet bunu daha önce de,112
bu ne demek oluyor,yani bu ne demek oluyor,111
olur mu öyle şey,hayır olur mu öyle şey,111
sen ne iş yapıyorsun,peki sen ne iş yapıyorsun,111
için zor olduğunu biliyorum,sizin için zor olduğunu biliyorum,111
başka bir şey de,başka bir şey de olabilir,111
bir de şu var,ama bir de şu var,111
seni daha önce hiç,seni daha önce hiç böyle,110
önemli bir şey mi,önemli bir şey mi var,110
bir şey mi var,önemli bir şey mi var,110
gibi bir şey mi,onun gibi bir şey mi,110
bu çok önemli bir,bu çok önemli bir an,110
evet ya da hayır,evet ya da hayır diye,110
bu çok büyük bir,bu çok büyük bir sorun,110
daha önce hiç böyle,seni daha önce hiç böyle,110
onun gibi bir şey,onun gibi bir şey mi,110
ben de aynı şeyi,ben de aynı şeyi sana,109
seni görmek ne güzel,tanrım seni görmek ne güzel,109
çok hoş değil mi,bu çok hoş değil mi,109
sen de ben de,bunu sen de ben de,109
o kadar da kötü,olmak o kadar da kötü,109
bu harika bir şey,ve bu harika bir şey,109
lanet şey de ne,o lanet şey de ne,109
bir şey değil ama,önemli bir şey değil ama,109
yanlış bir şeyler var,burada yanlış bir şeyler var,109
önemli bir şey değil,önemli bir şey değil ama,109
bir şey mi bu,gibi bir şey mi bu,108
gibi bir şey mi,gibi bir şey mi bu,108
buna bir son ver,buna bir son ver artık,108
evet mi hayır mı,bu evet mi hayır mı,108
zor olduğunu biliyorum ama,bunun zor olduğunu biliyorum ama,108
pek de iyi bir,bu pek de iyi bir,108
ne olur ne olmaz,ama ne olur ne olmaz,108
bunun zor olduğunu biliyorum,bunun zor olduğunu biliyorum ama,108
için çok özel bir,benim için çok özel bir,108
bir şey ister misiniz,bir şey ister misiniz efendim,107
bir şey var mı,bir şey var mı ki,107
o kadar kötü değil,hayır o kadar kötü değil,107
bana öyle geliyor ki,bana öyle geliyor ki bu,107
o kadar kötü değil,o kadar kötü değil mi,106
çok şey var ki,öyle çok şey var ki,106
her şey çok daha,her şey çok daha güzel,106
bir şey oldu mu,sana bir şey oldu mu,106
için bu kadar önemli,için bu kadar önemli olduğunu,106
