threegram,frequency
o adam iyi,65
hadi şimdi git,65
sen de tamam,65
olduğunu biliyorsun öyle,65
sen orada bile,65
için değil değil,65
neden hala bunu,65
yani şimdi bana,65
zaman olduğunu söyle,65
yemek çok güzel,65
dakika ve devam,65
olur musun biraz,65
ama sen eve,65
ben senden sonra,65
peki nasıl olacak,65
onlar her kimse,65
değil iyi değil,65
ben ben daha,65
buna yemek mi,65
an için iyi,65
ama herkes öyle,65
olan şeyler hakkında,65
şimdi bana neden,65
kimse hiç bir,65
yerde ve her,65
iyi adam değil,65
var ondan sonra,65
burada öyle şeyler,65
peki ya insan,65
şeyi sana ben,65
önce daha iyi,65
ve onun tüm,65
pekala bu ne,65
burada doktor var,65
kaç dakika izin,65
kadar güzel olacak,65
ya da devam,65
biliyorum çok fazla,65
burada değilim tamam,65
ne benim için,65
tamam ne olduğunu,65
kez daha gördüm,65
ve senin burada,65
ben o şeyi,65
benim daha fazla,65
her dakika için,65
zaten çok az,65
fakat ondan sonra,65
bir gün çocuk,65
son iki kişi,65
için birkaç hafta,65
belki ben size,65
siz bunun için,65
de bunu biraz,65
evet iki hafta,65
gel de sen,65
bunu sen bana,65
onun için oraya,65
başka kim bunu,65
o iş biraz,65
kız için büyük,65
buradan sonra ben,65
o iki hafta,65
yani aslında ben,65
evet hiç bir,65
her şey sen,65
her şey ilk,65
sanırım gidip biraz,65
yani bir an,65
da biraz zaman,65
bile çok kötü,65
önce bir sorun,65
de para mı,65
nasıl teşekkür ederim,65
karşı olan bu,65
neden bana hiçbir,65
hiçbir zaman sorun,65
sen ve benimle,65
hayır olmaz öyle,65
bu ben de,65
tamam hiçbir şey,65
o böyle mi,65
şekilde her şey,65
biraz önce onun,65
sen sen bunu,65
bu işi zor,65
sen gerçekten harika,65
dedim ki bak,65
aynı şeyler oluyor,65
benim gibi sana,65
oraya gidelim ve,65
iyi güzel de,65
de kötü adam,65
o da eğer,65
yerde daha fazla,65
o daha sonra,65
zaman bunun gibi,65
lütfen ve teşekkür,65
benim bu benim,65
bana hep bu,65
aynı onlar gibi,65
doğru çok doğru,65
neden bunu bu,65
şey buraya kadar,65
birlikte onu da,65
ki kimse onu,65
benim eve gidip,65
yarın sizin için,65
neden birkaç gün,65
sizin olduğu kadar,65
bak bana yardım,65
ona o şekilde,65
ben seninle birlikte,65
peki ben senin,65
sadece biraz yardım,65
bunlar için sana,65
ve bana başka,65
ben de bizi,65
sadece senin de,65
belki bunu başka,65
ve artık seni,65
o yüzden işte,65
peki beni ne,65
aslında bu hiç,65
belki bunu ona,65
sanırım onu gerçekten,65
söz var mı,65
bugün gerçekten de,65
biliyor olabilir misin,65
ve artık onu,65
ama senin bana,65
gibi kaç kişi,65
bir baba için,65
artık böyle biri,65
o benim çok,65
gibi bir doktor,65
gerçekten mi ne,65
birlikte olmak zorunda,65
demek benim gibi,65
hazır ol tamam,65
peki buradan nasıl,65
seni birkaç hafta,65
ama doğru bir,65
tam da en,65
ama bugün bu,65
sanırım artık bana,65
bunu neden ben,65
hey bir daha,65
bir de gerçek,65
saat sonra eve,65
her an biri,65
bana doğru bir,65
zaten her gün,65
ama bunun nasıl,65
burada olmak gerçekten,65
ve neden bunu,65
göre biz de,65
kadar eski olduğunu,65
o artık benimle,65
için iki dakika,65
sizi neden buraya,65
geldi bilmiyorum ama,65
oldu ve her,65
lanet olsun bizi,65
yüzden onu çok,65
aynı yere iki,65
o benim kadar,65
lütfen iyi bir,65
tatlım benim için,65
her zaman evet,65
çok da geç,65
belki birkaç saat,65
iyi değil ha,65
ama benden başka,65
yani o yüzden,65
bu çocuk bize,65
tanrım bu doğru,65
ama onu eve,65
önce gördüm mü,65
bir kadın kendini,65
şimdi onu bir,65
içinde çok hoş,65
hafta değil mi,65
tanrım kim bu,65
gerçekten oluyor değil,65
vardı ve her,65
bir şey sizi,65
evet bir kız,65
hafta daha mı,65
kadar oldu biliyor,65
o gün senin,65
içinde tek bir,65
var mı hâlâ,65
ama o devam,65
doktor bu adam,65
bana değil sana,65
şey geldi diye,65
olduğu için artık,65
biri bir gün,65
bir gece bay,65
da her yerde,65
gün olduğunu biliyor,65
nasıl kötü bir,65
ama şimdi eve,65
bütün gün bütün,65
gidip daha fazla,65
ama her iki,65
şimdi de tam,65
için size izin,65
bütün gece senin,65
ama bunu birlikte,65
bence hoş bir,65
yıl sonra bugün,65
tane al ve,65
niye bana bu,65
yüzden çok üzgünüm,65
de öyle istiyorum,65
iş için hiç,65
mu olmaz mı,65
sonra da özür,65
daha iyi zaten,65
ister miyim bilmiyorum,65
şey için yardım,65
var mı şu,65
neden tek bir,65
iyi çocuk ol,65
her yerde iş,65
ben sadece başka,65
ama bunun benimle,65
ama onu ne,65
ne onlar ne,65
üzgünüm ama bay,65
çünkü bunu senin,65
eğer hep buraya,65
nasıl ne zaman,65
bu güzel olacak,65
hem o zaman,65
haydi git ve,65
yine de eminim,65
oluyor da böyle,65
ya bu kız,65
ya bu iş,65
ama biri bunu,65
o şimdi de,65
senin de ondan,65
hem de biraz,65
bu yıl yine,65
nasıl olduğunu mu,65
et ve iyi,65
var ama en,65
sana karşı nasıl,65
senin özel biri,65
ama evet o,65
daha sonra bay,65
de hazır mısın,65
daha asla benim,65
beni neden böyle,65
eğer bu yüzden,65
adam için hiç,65
da üç kez,65
neden senden bu,65
ama bu ondan,65
onun da sana,65
ama ben izin,65
ya burada ya,65
fazla görmek istemiyorum,65
sizi hiçbir şey,65
sonra o benim,65
fazla iki üç,65
ne yani siz,65
beni dinle bana,65
sen neden beni,65
de zaten bunu,65
zaman önce özel,65
devam et iyi,65
biz sadece senin,65
bugün sadece bir,65
ama bunlar bana,65
daha lazım mı,65
burada ne ile,65
sizi ilk kez,65
da bütün gün,65
sen de hayır,65
bak sen benim,65
için bu benim,65
sen onun kız,65
seni ve senin,65
ama bunlar gerçek,65
her şeyi seninle,65
ama anne ben,65
biliyor musun ona,65
ben de kadın,65
sizi her yere,65
senden asla bir,65
daha her şeyi,65
bir şeyler iyi,65
şeyi bile doğru,65
diğer iki kişi,65
ve kendini iyi,65
sonra daha büyük,65
bir kaç bir,65
ne olduğunu o,65
seninle benim gibi,65
ama ne işe,65
bir adam falan,65
da böyle olur,65
var ama başka,65
seninle aynı şekilde,65
fazla şey istiyorsun,65
bence buna bir,65
şey belki bu,65
haydi gidelim haydi,65
ve buna ben,65
biraz daha güzel,65
senden de hiçbir,65
burada olan bu,65
bundan böyle daha,65
adam da mı,65
ki çok da,65
ki tüm bunlar,65
sonra da git,65
onu yapmak istiyorum,65
hep birlikte eve,65
karşı da çok,65
devam et daha,65
mi var bayan,65
ama aslında sen,65
siz bu kadar,65
adam ve iyi,65
size sadece birkaç,65
ve onu buradan,65
ne yapıyorsun ha,65
ben de adam,65
peki sana iyi,65
oh tanrım yine,65
ve onları nerede,65
oh tanrım lütfen,65
ve bundan bir,65
peki seni bu,65
yoksa şimdi mi,65
bunu yapmak doğru,65
çünkü o sen,65
iyi olur demek,65
geliyor işte geliyor,65
olsun seni hep,65
ilgili olan şey,65
bizim de böyle,65
belki tüm bunlar,65
pek de büyük,65
harika küçük bir,65
harika bir şeyler,65
zaten hep böyle,65
anda sen de,65
eğer beni bu,65
ben orada bile,65
zaman geri ver,65
yardım edin diye,65
eğer benden bir,65
ve onu bize,65
orada olan şey,65
bir daha söz,65
tamam sen ve,65
ve onlar ne,65
bu yer senin,65
bir daha olacak,65
bu yeni geldi,65
evet efendim bunu,65
kız küçük kız,65
olan şeyler bunlar,65
bir de bütün,65
hâlâ benim için,65
onlar da buna,65
iki gün izin,65
tamam sen devam,65
da bu hafta,65
ben seni nasıl,65
bu çocuklar gerçekten,65
ben seni oraya,65
mi ister misin,65
size her şey,65
da bu efendim,65
şimdi beni gerçekten,65
hep çok geç,65
onlar da var,65
ve bunu onun,65
ama şimdi hiç,65
bir çok çocuk,65
öyle geliyor ama,65
böyle olduğunu mu,65
ben biraz burada,65
gün her dakika,65
insan yapmak için,65
yerde olduğunu söyledi,65
bizim değil mi,65
iş yapıyorsun peki,65
bu şeyler sadece,65
ederim sağ ol,65
ama mutlu bir,65
benim ilk gerçek,65
hakkında önemli bir,65
yoksa hiç mi,65
böyle bir zaman,65
bu adam hala,65
bir ben değilim,65
özür dilerim hemen,65
olacak biliyorum ama,65
olmak için hala,65
bu benim hiç,65
bu yüzden yemek,65
bana neden hiç,65
eğer kendini daha,65
son bir yemek,65
bunu asla yapma,65
bu doğru bayan,65
ben onu kontrol,65
bir gece çok,65
et ve bu,65
ve ben zor,65
neden önemli ki,65
onu demek istiyorum,65
ya büyük bir,65
sen bana onu,65
öyle ve bu,65
ama şimdi var,65
kötü insan var,65
ile olan bu,65
çocuk değilim artık,65
emin ol bunu,65
yeni güzel bir,65
bu iş senden,65
misin benim için,65
kötü olan şey,65
yıl içinde ne,65
istemiyorum ama ben,65
hepsi onun için,65
para ver de,65
önce sana bunu,65
kadın her şeyi,65
bu iş onun,65
nerede olduğunu çok,65
ama önce senden,65
belki yanlış bir,65
değil de onu,65
ona da iyi,65
sizi bir dakika,65
bana da söyledi,65
onun çok güzel,65
saat oldu mu,65
seninle güzel bir,65
kötü adam bu,65
ama bana bak,65
için onları buraya,65
önemli olduğunu da,65
gördüm daha iyi,65
olan tek şeyi,65
güzel bir insan,64
ama ona kim,64
ama onu hiçbir,64
şu ki pek,64
de mi benim,64
şu kız da,64
peki yarın ne,64
bak bu bizim,64
tanrım beni çok,64
da hemen şimdi,64
bana bunu da,64
şeyi ona ben,64
zaten bütün gün,64
için sana gerçekten,64
de ilgili değil,64
hadi sana iyi,64
evet ama nerede,64
yüzden ne kadar,64
de sana o,64
vardı hepsi bu,64
değil tek bir,64
adam da onun,64
neler oluyor söyle,64
bu adam onun,64
evet burası çok,64
işte tam da,64
birlikte bir gece,64
değilim ama iyi,64
çok güzel evet,64
bu adam olduğunu,64
gerçekten beni çok,64
yüzden özel bir,64
büyük bir işi,64
onu dışarı mı,64
yemek ve bir,64
bizim de onlara,64
şeyler olur değil,64
onları geri ver,64
sana çok çok,64
olduğu zaman da,64
dakika neler oluyor,64
burada ve orada,64
da bana doğru,64
sen benden önce,64
peki ya bunun,64
sana pek iyi,64
az önce bunun,64
bile bunu biliyor,64
iki belki üç,64
gerçekten bir harika,64
ama bunu biliyorsun,64
hemen eve git,64
de benden iyi,64
sen beni buraya,64
ilgili ne söyledi,64
peki ya onları,64
o şimdi benim,64
bu şey hâlâ,64
ama buna ben,64
iki dakika bile,64
bu kadar nasıl,64
evet ama eminim,64
sen olduğunu nasıl,64
size öyle mi,64
özel bir zaman,64
pek kimse yok,64
de seni tekrar,64
bu şey o,64
daha da buraya,64
nedir bu şimdi,64
beni de işe,64
biraz da şu,64
bana daha da,64
hiç kimse buradan,64
iyi ama bu,64
zaten bir şeyler,64
evet belki yeni,64
ama bir söz,64
adam da böyle,64
başka yere mi,64
ve üç kez,64
niye hep ben,64
teşekkürler ama gerek,64
yıl sonra burada,64
bir de lütfen,64
şimdi olur mu,64
gereken başka biri,64
aslında uzun bir,64
kim var kim,64
o da küçük,64
hey çocuklar bir,64
için yanlış zaman,64
o küçük şey,64
bir kaç kadın,64
ki senden gerçekten,64
de yardım edin,64
en önemli iş,64
ilgili güzel şeyler,64
hayır sorun da,64
tek şey seninle,64
ama bunun senin,64
ama bana onun,64
sen buna mı,64
söyle bana bunu,64
ki bunu ben,64
evet benim gibi,64
geldi o kadar,64
bakalım küçük adam,64
bizim için gerçekten,64
geldi o da,64
sizi ve bay,64
hem biliyor musun,64
bana en güzel,64
sadece doğru şeyi,64
hayır pek öyle,64
her eve bir,64
bu küçük güzel,64
bilmiyorum ama geri,64
neden o gün,64
dinle bir daha,64
söyle ona benim,64
olacak kimse yok,64
o ki seni,64
dakika önce gördüm,64
aslında o çok,64
gibi biri olduğunu,64
oldu ve biz,64
de doğru olduğunu,64
onlara o kadar,64
gibi geldi ve,64
geç olduğu için,64
peki sizi buraya,64
peki ona neden,64
hala burada ve,64
git buradan hemen,64
iyi olur yani,64
de böyle olacak,64
tamam az önce,64
tamam bakalım neler,64
tanrım lütfen bana,64
tamam ama artık,64
ama bunu seninle,64
olmak iyi değil,64
olmak istiyorsun yoksa,64
hiçbir zaman kabul,64
olduğunu ve burada,64
sen her yerde,64
hep kötü bir,64
ama hala aynı,64
bu değil zaten,64
onu yoksa seni,64
oldu hepsi bu,64
de ama ben,64
biri var zaten,64
sen de bırak,64
tamam böyle daha,64
iki üç saat,64
az sonra hazır,64
onu senden çok,64
olsun bu ne,64
tamam çok sağ,64
sen de işi,64
aslında öyle demek,64
tamam yeni bir,64
var ve nasıl,64
bugün de bir,64
olduğunu söyle de,64
tam olarak hiçbir,64
hiç hazır değilim,64
artık bundan çok,64
daha fazla birlikte,64
için bu pek,64
ilk önce benim,64
tamam ne biliyor,64
olmaz mı efendim,64
tamam sizin için,64
bugün bu işi,64
daha fazla kız,64
daha sonra bize,64
görmek ister mi,64
biri olduğunu nereden,64
da aynı böyle,64
git al onu,64
tamam bu hiç,64
hala kötü bir,64
de bunu kendi,64
de onu kendi,64
oh haydi ama,64
git ve bütün,64
gerçekten ne istiyorsun,64
de onu öyle,64
yardım için her,64
burada bir yıl,64
ondan sonra çok,64
bak ne zaman,64
hem de kadın,64
biri de senin,64
yıl daha fazla,64
tabii sana da,64
az üç hafta,64
da buradan gidelim,64
onun bir insan,64
aslında o bana,64
ama ben onlar,64
da olur tabii,64
da değil zaten,64
daha üç yıl,64
de olmak istiyorum,64
oldu da kimse,64
sen bir kaç,64
de olmak zorunda,64
şeyler senin için,64
de onunla mı,64
peki sana nasıl,64
ama olan bu,64
benimle birlikte olan,64
da mı oldu,64
ondan da bir,64
göre çok önemli,64
bırak ve benimle,64
ama kimse onları,64
için iyi zaman,64
daha iki dakika,64
git ve her,64
benim için işe,64
gerçek mi diye,64
de emin ol,64
az önce mi,64
sanırım artık bunu,64
bu yüzden biliyorum,64
sen de dışarı,64
yardım ediyor ve,64
onun için mutlu,64
olarak teşekkür etmek,64
benimle böyle mi,64
ama hiçbir şekilde,64
da seninle geliyor,64
daha önemli olduğu,64
baba tamam mı,64
yine de zaman,64
bir insan kendi,64
sanırım seninle aynı,64
bizi kontrol etmek,64
onu biliyorum ama,64
gibi çok insan,64
sanırım sadece biraz,64
yüzden iyi dinle,64
şeyler mi yapıyorsun,64
iş yapmak çok,64
an için ben,64
bir de son,64
mi var diye,64
biliyorum ve o,64
her iş için,64
fakat daha yeni,64
şunu çok iyi,64
sonra nasıl olur,64
efendim bir sorun,64
mi o da,64
senin hakkında yanlış,64
zaman oldu bunlar,64
öyle değil de,64
sonra onları tekrar,64
zaman sanırım bu,64
an için bunu,64
evet ona sen,64
aman ne de,64
ama benimle ne,64
an için değil,64
bir çocuk istemiyorum,64
şimdi benim bir,64
senin de ne,64
seninle çok önemli,64
öyle dedim ama,64
şey uzun zaman,64
sadece beni buradan,64
ben bunu niye,64
ama üç hafta,64
başka biri olabilir,64
ne var söyle,64
kadar iyi misiniz,64
yoksa ne olacak,64
mi söz ediyorum,64
mi söyledi yoksa,64
yani pek de,64
ben mi onun,64
öyle olduğunu hiç,64
ben olduğunu mu,64
önce yemek sonra,64
ve hala onu,64
ve elbette ki,64
bir şekilde sizi,64
ben o ve,64
ama burada her,64
bir zaman çok,64
haydi bu kadar,64
sonra bana her,64
zaman onlar da,64
ya sen onu,64
sonra bu çok,64
lütfen benden bunu,64
bilmiyorum her şey,64
senin gibi eski,64
şimdi bir şeyi,64
lütfen gel ve,64
fazla iyi bir,64
yoksa bunu da,64
lütfen bana her,64
karşı nasıl bir,64
zorunda olduğunu biliyorsun,64
zaman kim olduğunu,64
mi olsun yoksa,64
çocuk senin için,64
herkes senin bir,64
hayır hiçbir sorun,64
eğer onu burada,64
nasıl olduğunu ve,64
yani başka biri,64
gece de burada,64
belki birkaç hafta,64
ama başka birini,64
evet o sadece,64
sana bunu geri,64
başka birini işe,64
ama önce bize,64
bir kişi iki,64
belki ben bile,64
seni niye bu,64
ne zaman adam,64
ve bunu geri,64
oraya tekrar gidip,64
yani bu onu,64
bir dakika hemen,64
bana üç gün,64
kadar sizin de,64
ne de hoş,64
ve sana asla,64
anne selam baba,64
bu işi siz,64
kadar mı iyi,64
yok mu hâlâ,64
belki lazım olur,64
eğer bir çocuk,64
dur bekle biraz,64
kötü çocuklar kötü,64
kadar çok olduğunu,64
kadar çok kötü,64
gece daha sonra,64
ve buna da,64
neden bana her,64
neden bana bay,64
bunun bir yanlış,64
ve buraya nasıl,64
bir bak seni,64
pek çok yere,64
bence iyi olur,64
sana ben yardım,64
herkes bu şekilde,64
artık kimse onu,64
bir dakika nasıl,64
yerde olmak istiyorum,64
dostum bu ne,64
bu nasıl işe,64
çok para daha,64
ve senin kadar,64
önce burada olduğunu,64
yani beni yanlış,64
ve de daha,64
kabul et bunu,64
ve sonra kendi,64
eğer beni geri,64
ve bu üç,64
ve bu yanlış,64
sizin gibi burada,64
gece orada olacak,64
bu neden sorun,64
ama bana neler,64
hadi şimdi gidip,64
evet evet biz,64
evet evet sadece,64
bunu sana mı,64
ama hala o,64
devam et haydi,64
bunu iki gün,64
sana bir adam,64
bu senin bana,64
devam et işte,64
hafta bir gün,64
sanırım öyle ama,64
de çok işe,64
şey çok küçük,64
buna devam et,64
ve onu ne,64
şey pek de,64
nasıl bir doktor,64
bekle biraz tamam,64
sadece git tamam,64
değil ama iş,64
ile ilgili özel,64
buraya yemek için,64
nasıl biri olduğu,64
çocuklar kötü çocuklar,64
bu senin lanet,64
bir şekilde buna,64
değil devam et,64
onu o da,64
benimle ne yapmak,64
geliyor o zaman,64
çünkü o benden,64
çünkü doğru değil,64
ve her dakika,64
çünkü bu artık,64
işte bana yardım,64
o gece burada,64
bunu kaç kişi,64
çünkü ben onları,64
ben hemen geri,64
sizi bir şekilde,64
siz benim kim,64
bir gün senden,64
çünkü biz burada,64
zaman beni bir,64
o geri geldi,64
sana birkaç dakika,64
mu oldu şimdi,64
sana göre en,64
o gece sadece,64
hayır ama onlar,64
kız öyle değil,64
bilmiyorum ama size,64
mu kötü olur,64
için seni çok,64
değil mi benim,64
ona bunu ver,64
ve onu ilk,64
de iyi dinle,64
mu hiç öyle,64
çünkü biz bu,64
ve izin ver,64
yüzden de hiç,64
de biri bana,64
bu iyi olabilir,64
değil artık değil,64
eve bir kız,64
biliyorsun bunu değil,64
bizim olduğu kadar,64
çünkü bu tam,64
mutlu olduğunu biliyorum,64
anda aynı şeyi,64
için tekrar tekrar,64
işi var ama,64
o artık sizin,64
daha bu yıl,64
onu nasıl kontrol,64
çok fazla güzel,64
sen öyle misin,64
yapmak için tüm,64
o anda bu,64
bir kadın kendi,64
çünkü ona bir,64
içinde iki tane,64
her yer aynı,64
küçük bir işi,64
gereken şeyler olduğunu,64
bu işe hemen,64
kadın ben miyim,64
ben asla bunu,64
hayır ben gidip,64
ama size bunu,64
baba her zaman,64
et söyle ona,64
kaç para istiyorsun,64
bir de harika,64
ama benimle bir,64
bunun çok kötü,64
yoksa çok daha,64
onun küçük bir,64
ve geri istiyorum,64
bir daha ve,64
ve başka kim,64
elbette iyi bir,64
ama siz daha,64
yok ki bu,64
tam da bize,64
demek tamam mı,64
vardı ve beni,64
zaman nerede nasıl,64
demek oluyor değil,64
ver de şunu,64
kaç para bu,64
hakkında hiç böyle,64
biz onu daha,64
çünkü bu iyi,64
dakika daha anne,63
ve evet ben,63
dakika bu ne,63
sorun ya da,63
dostum benim için,63
kadar onu orada,63
bir şeyi benden,63
bana yardım için,63
dakika içinde tam,63
olduğu için onunla,63
yarın için her,63
ama o buraya,63
yine de onlar,63
yani her yerde,63
gibi olduğunu mu,63
gibi oldu değil,63
yani onun gibi,63
hemen sonra onu,63
önce gerçek bir,63
ama niye böyle,63
hayır efendim bir,63
buraya hemen birini,63
yani neden bu,63
benimle çok iyi,63
yoksa biz de,63
fazla uzun değil,63
istiyor da ondan,63
musun o zaman,63
yok yok bu,63
musun biliyor musun,63
daha söyle bakalım,63
yok ve bir,63
saat sonra yine,63
mı diye de,63
şimdi de yemek,63
çünkü eğer ben,63
karşı böyle bir,63
çünkü bana çok,63
önemli senin için,63
bir özür bile,63
bunu yapmak bana,63
ama kötü biri,63
bir anda onu,63
önemli değil biz,63
mu var dostum,63
sonra yine burada,63
zaman sonra ilk,63
seninle hiç bu,63
daha hoş ve,63
bundan böyle ben,63
bir kız istiyorum,63
olmak için hazır,63
mı diye mi,63
yoksa beni de,63
yoksa benden mi,63
sonra harika bir,63
ben eminim ki,63
tamam belki bu,63
ve kim bu,63
ve kesinlikle en,63
sadece üç yıl,63
zaman sana da,63
ve kontrol etmek,63
bu işte onun,63
daha iyi gördüm,63
mi istiyorsun dostum,63
bir çok gece,63
ve kendini daha,63
zaman seni seviyorum,63
ve kaç kişi,63
sonra bütün bu,63
bu olduğunu biliyorsun,63
sadece üç dakika,63
daha iyi dedim,63
haydi gidelim o,63
fazla şey oluyor,63
şey ben aslında,63
nasıl böyle emin,63
kadar da işe,63
tek gereken biraz,63
bize gereken de,63
biliyorsun o yüzden,63
onun da yok,63
ama bana böyle,63
para bu kadar,63
her hafta buraya,63
her şeyi buna,63
sana o gece,63
aynı anda çok,63
ama daha değil,63
güzel daha çok,63
gün iki gece,63
oraya bu şekilde,63
gün bana ne,63
ama artık işe,63
hayır hayır doğru,63
hiç kimse ilk,63
biliyor musun iyi,63
hadi gel gel,63
şeyi daha fazla,63
onu ve seni,63
hadi ama adam,63
ama belki bunu,63
onun ne olduğu,63
biz özel bir,63
her zaman eski,63
orada biri vardı,63
pekala daha sonra,63
bize para lazım,63
güzel şimdi de,63
hiçbir zaman olmaz,63
bunu da kim,63
bu yüzden istiyorum,63
orada işi ne,63
biz çok çok,63
hafta içinde onu,63
güzel bir yıl,63
hafta her gece,63
her an nerede,63
bu benimle onun,63
sana iyi geliyor,63
artık bana ne,63
onunla çok fazla,63
orada saat kaç,63
buradan hemen şimdi,63
buraya bize yardım,63
biz bu işe,63
gün sen ve,63
biz hep birlikte,63
onun o kadar,63
peki sen beni,63
hey sana yardım,63
para ne işe,63
böyle biri yok,63
gün herkes bir,63
hiçbir zaman onu,63
hiçbir zaman ona,63
her adam kendini,63
ama ama sen,63
böyle de devam,63
hiçbir şey görmek,63
bilmiyorum ama bunun,63
ama bunun işe,63
ama bana zaman,63
biz sadece küçük,63
güzel ve harika,63
olduğunu bilmiyorum tamam,63
daha zor olduğunu,63
bir gün doğru,63
baba anne ve,63
bu senin o,63
hayır bir tek,63
senin orada ne,63
önce onun ne,63
ben sadece bay,63
anne bana bir,63
benimle hiç böyle,63
iyi bakın bayan,63
iyi bakın lütfen,63
bir an bir,63
ben onunla bir,63
ama nasıl biri,63
bir şekilde ne,63
sorun değil ki,63
dakika sonra sana,63
hemen son ver,63
yarın belki de,63
şu an bay,63
hemen sizi görmek,63
şey bir kez,63
gibi güzel ve,63
zaman önce burada,63
ne olduğunu herkes,63
ne olduğunu ya,63
hayır hayır orada,63
iyi şey bir,63
mı iyi oldu,63
harika olur ama,63
burası mı yoksa,63
saat kaç bu,63
her şeyi seni,63
yerde daha iyi,63
böyle ne oldu,63
hadi ama benimle,63
bunu bize niye,63
kadar zaman ver,63
bu işte biraz,63
anne hem de,63
tüm bu şeyi,63
harika bir yerde,63
ama benim kız,63
yerde her şeyi,63
nasıl oluyor ki,63
hiç kimse artık,63
burada lanet bir,63
senin için nedir,63
önce hiç bunu,63
ne diye orada,63
sorun değil de,63
yani benden ne,63
bu neden oluyor,63
ne de az,63
ben senin nasıl,63
bundan sonra öyle,63
gibi yapmak için,63
benimle birlikte olduğunu,63
olduğunu biliyorum tatlım,63
önce özel bir,63
mı yoksa sen,63
kadar çok da,63
beni de bekle,63
misin yoksa sadece,63
ilgili hiçbir sorun,63
yemek ve iyi,63
belki daha büyük,63
çok oldu ki,63
evet beni çok,63
burada yeni misin,63
bu şekilde sadece,63
ondan gerçekten çok,63
iki adam mı,63
iki saat mi,63
evet o daha,63
onlara bir kaç,63
evet bir adam,63
ama ben emin,63
seviyorum ve onunla,63
az önce biraz,63
evet ben doktor,63
sizin mi doktor,63
sizin ne de,63
ki ben her,63
sadece oraya git,63
adam var ama,63
ki artık bu,63
sizin gibi büyük,63
ki beni de,63
en son adam,63
başka kimse beni,63
belki bunu sana,63
da kabul ediyor,63
evet efendim o,63
evet buna ne,63
sizin de çok,63
onlar için biraz,63
ondan hemen sonra,63
ya ben bu,63
ya bir yere,63
eve yeni bir,63
sadece onu çok,63
zaman bir kez,63
ile başka bir,63
kim geldi biliyor,63
sanırım seni de,63
bu işi biliyorsun,63
olduğunu ve çok,63
onları oraya ben,63
da üç kişi,63
sadece onun iyi,63
al biraz daha,63
sanırım çok büyük,63
bana daha yeni,63
bana da bana,63
yıl önce son,63
olacak mı bilmiyorum,63
ile ilgili olmalı,63
sanırım ya da,63
onları hemen geri,63
oluyor da hâlâ,63
bir yerde olduğu,63
al hepsi senin,63
al işte yine,63
özür dilerim tekrar,63
teşekkürler bu çok,63
eğer onu görmek,63
bu kez öyle,63
burada öyle değil,63
ve oraya nasıl,63
bunu için çok,63
eminim bu yüzden,63
hakkında bana neler,63
da yok et,63
da yer yok,63
bir bir şey,63
ile aynı kişi,63
söyledi ve o,63
yoksa devam mı,63
bu yüzden geldi,63
zaman olduğunu bilmiyorum,63
ama kendini çok,63
an için pek,63
tamam peki o,63
sadece benimle birlikte,63
şimdi beni nasıl,63
çocuk olduğu için,63
ben burada bile,63
son şey olduğunu,63
çok insan bir,63
çok güzel ben,63
anda daha büyük,63
çocuk için fazla,63
bir tek büyük,63
ediyorum ama ben,63
kişi hakkında bir,63
lütfen biri beni,63
zaman beni dinle,63
ver şu şeyi,63
siz misiniz bayan,63
bunu senden çok,63
artık o eski,63
kişi benim için,63
ve şimdi gidip,63
kişi bu değil,63
ben bile zor,63
ya da çocuklar,63
bu iş değil,63
tamam şimdi sana,63
zaman beni daha,63
olur ben de,63
son kişi ben,63
bu onu iyi,63
sadece benden ne,63
ile az önce,63
çok zor bu,63
bunu neden bir,63
da en son,63
evet ama güzel,63
kendini nasıl bir,63
ona sen de,63
tanrım ne oluyor,63
da pek emin,63
evet ama hemen,63
evet ve sanırım,63
başka zaman olur,63
da oldu ama,63
sadece biz değil,63
göre de çok,63
eve git artık,63
ona ilk kez,63
evet çünkü sana,63
bile daha uzun,63
ve ondan da,63
ilk kişi de,63
size de teşekkürler,63
az birkaç gün,63
bu hala benim,63
zaman ben gidip,63
ver olmaz mı,63
da başka yerde,63
tamam yani bu,63
bile daha önemli,63
olsun iyi bir,63
bir zaman başka,63
efendim bu kadar,63
ve üç çocuk,63
efendim çok iyi,63
adam olduğunu nereden,63
olacak o kadar,63
kötü şeyler için,63
yıl önce tam,63
iş için burada,63
de o şeyi,63
de olabilir tabii,63
sen hep onun,63
o işi daha,63
şeyi onlar için,63
ama sen şu,63
de onlara karşı,63
o şeyi buraya,63
o şeyi hemen,63
iş tam bir,63
de görmek için,63
ama tabii sen,63
hazır değilim tamam,63
ve ben ha,63
de hepsi bu,63
sen neden onunla,63
için kimse onu,63
bu harika gece,63
ama seninle ilgili,63
o zaman efendim,63
o da nasıl,63
şimdi sadece sen,63
dedim ki belki,63
bak bu ne,63
o da önemli,63
o ve sen,63
bak şimdi ben,63
o ve kız,63
biri ve çok,63
için onlar da,63
o ki çok,63
bak ve onu,63
bak çok iyi,63
beni ne olur,63
niye bir şeyler,63
bak bir şeyi,63
yapmak zor olacak,63
için de tabii,63
vardı hem de,63
iş biraz daha,63
bir adam ona,63
yapıyorsun tamam mı,63
aslında bunu yapmak,63
zaten zor bir,63
o adam hala,63
içinde iki kez,63
bugün neden bu,63
