twogram,frequency
mü ne,376
yok diye,376
içinde seni,376
yoksa değil,376
kadar ve,376
ama izin,376
bunun yanlış,376
bile bunun,376
ya para,376
tamam elbette,376
ki kimse,376
demek ister,376
ama eski,375
ben kesinlikle,375
ya yarın,375
harika olmaz,375
daha olduğunu,375
oh şimdi,375
bu senden,375
sen yapıyorsun,375
bunu yeni,375
zaman hiçbir,375
benim bütün,374
burada var,374
sadece devam,374
onlar nedir,374
istiyorum bay,374
ediyorum bu,374
git işte,374
bak gerçekten,374
sen bütün,374
ol yoksa,374
eve hiç,373
ilgili bu,373
böyle olmalı,373
az para,373
var aslında,373
bana güzel,373
var biliyorum,373
bunu hayır,373
daha üç,373
dedim ama,373
nereye doğru,373
fakat daha,373
sonra benimle,372
olarak burada,372
burada benden,372
mi olsun,372
sanırım sorun,372
selam söyledi,372
ki gerçek,372
zaman iş,372
demek daha,372
tam ona,372
nasıl daha,372
gibi iki,372
bunu ve,372
al lütfen,372
orada olan,372
aman da,372
buraya her,371
ver seni,371
mu yanlış,371
ile daha,371
şimdi yok,371
bugün özel,371
de sonra,371
de yarın,371
ya başka,371
ne bana,371
biraz bundan,371
mı orada,370
sanırım sizi,370
ki sorun,370
edin de,370
biz oraya,370
yıl için,370
saat bir,370
gibi efendim,370
biz seninle,370
karşı hiç,370
yapma ne,370
geç olabilir,370
musun artık,370
neden geç,370
bak onu,370
neden senden,370
tam öyle,369
tüm bir,369
ve bekle,369
anda orada,369
ki buna,369
beni dedim,369
zaman hemen,369
için bundan,369
güzel gün,369
gece ona,369
zaman bırak,369
buraya lütfen,369
az zaman,369
şey para,368
işi iyi,368
elbette o,368
son olacak,368
şeyler biliyorum,368
şimdi tüm,368
lütfen benden,368
hayır işe,368
biliyorum evet,368
çocuklar bana,368
çünkü tek,368
buna hemen,368
bunu bay,368
iki insan,368
tamam şunu,368
ki bize,367
siz kendi,367
yine bu,367
misin beni,367
doktor lütfen,367
git dostum,367
orada tek,367
zaman kadar,367
da yer,367
hey güzel,367
bana onları,367
şeyler yok,367
ne önemli,367
tamam biz,366
mı doktor,366
olarak hayır,366
sadece yeni,366
senin ona,366
kaç çocuk,366
buraya biraz,366
pekala çok,366
doktor iyi,366
ve eminim,366
zaman evet,366
istiyorum çünkü,366
biz sizin,365
iyi gördüm,365
onunla ilk,365
daha seninle,365
şimdi bizim,365
göre tüm,365
artık iki,365
evet tüm,365
gibi ol,365
adam bizi,364
ya bizim,364
buradan başka,364
artık burası,364
yarın gel,364
olmak gerek,364
mısın beni,364
lütfen iyi,364
sana tüm,364
onun beni,364
ilgili olan,364
olduğunu iyi,364
gidip bu,364
fazla da,363
aslında onun,363
yani iki,363
sonra hep,363
ama yapmak,363
nedir dostum,363
sorun daha,363
tamam ona,363
asla çok,363
onunla tekrar,363
böyle yapmak,363
yerde olduğunu,363
et şunu,363
aslında iki,363
ama sağ,363
bayan de,363
yere doğru,363
biliyorsun seni,363
efendim iyi,363
eminim ama,363
birlikte değil,362
sana harika,362
öyle dostum,362
bunlar nasıl,362
biz yanlış,362
gece onun,362
de birini,362
bakalım sen,362
baba anne,362
olarak beni,362
bugün tüm,362
eğer bunun,362
et mi,362
pekala sonra,361
onun hiç,361
teşekkürler iyi,361
yok oluyor,361
olarak senin,361
oh şu,361
değil doktor,361
zor biri,361
gibi bay,361
burada beni,361
ben onlar,360
peki bunlar,360
çünkü hep,360
biz onunla,360
biz kendi,360
saat iki,360
içinde geri,360
daha eski,360
bunu için,360
yüzden senden,360
hayır yeni,360
ki tatlım,360
hayır senden,360
pek az,360
nasıl iş,360
belki yanlış,360
siz buna,359
sonra saat,359
mı oluyor,359
bak artık,359
kabul oldu,359
sen mutlu,359
para istiyorsun,359
onlar sana,359
bir izin,359
sen kız,359
söyle bir,359
bu nereye,359
olan iki,358
olmak ya,358
peki söyle,358
hayır belki,358
dostum senin,358
yani onlar,358
onun olduğunu,358
olmak benim,358
niye geri,358
yapma bana,358
iyi böyle,358
nasıl biliyor,358
da birlikte,358
yüzden hiç,358
ben bugün,357
anda daha,357
bize böyle,357
gidip yemek,357
vardı bir,357
bakın işte,357
kız iyi,357
de doktor,357
lütfen size,357
tanrım gerçekten,357
sadece onlara,357
seni baba,357
olmak yok,357
ya ondan,357
önce daha,357
hiçbir kadın,357
dilerim bir,357
ona hayır,357
senin ya,357
çünkü şimdi,357
gibi olan,356
anne neler,356
sanırım biri,356
bilmiyorum sen,356
gereken onu,356
gece yeni,356
sanırım bize,356
bile ne,356
da ilk,356
mutlu mutlu,356
gerçekten neler,356
kontrol için,356
kadın bana,356
baba bekle,356
de anne,356
da yemek,356
mı bana,356
herkes hemen,356
ama neler,356
bizim burada,355
hiç olur,355
an onu,355
nasıl benim,355
onunla neden,355
gerçekten sana,355
olduğunu tam,355
oluyor çocuklar,355
hep ya,355
şimdi sorun,355
zaman bunun,355
nasıl yapmak,355
yani onunla,355
burası gerçek,355
de tamam,354
benimle yemek,354
zaman yanlış,354
için nereye,354
mü peki,354
olarak seni,354
zaman hayır,354
kız onu,354
fazla üç,354
bize sadece,354
etmek bir,354
sadece özel,353
işte iyi,353
dakika beni,353
asla ve,353
peki tatlım,353
bize iki,353
da birkaç,353
kesinlikle kabul,353
sen geç,353
hakkında tek,353
niye yardım,353
şunu dışarı,353
eğer onunla,353
geldi ki,353
senin onu,353
olmak daha,353
an hiç,353
orada gördüm,353
gerçekten mutlu,353
yerde sizi,353
gerekiyor değil,353
şimdi senden,353
adam kendini,353
gece sen,353
buradan ne,352
kadın hakkında,352
ya burada,352
böyle ya,352
hâlâ devam,352
sana hala,352
daha birkaç,352
eğer yardım,352
pekala burada,352
musun ki,352
ben uzun,352
adam gördüm,352
zaman bizim,351
siz şu,351
seni nereden,351
lütfen evet,351
yani hemen,351
haydi buraya,351
biliyorsun zaten,351
bugün izin,351
et tanrım,351
yıl da,351
senin özel,351
de merhaba,351
gibi başka,351
de lütfen,351
hem bir,351
da hazır,350
dinle çok,350
iki büyük,350
zaman oraya,350
olarak bana,350
gidip geliyor,350
biz iki,350
sen başka,350
daha kontrol,350
pekala sorun,350
kez ne,350
seni kabul,350
yeni iş,350
biliyorsun ama,350
olarak benim,349
sonra sadece,349
sadece neler,349
gün geri,349
o doğru,349
ne onun,349
buraya bunu,349
ya sizin,349
buradan hiç,349
şimdi artık,349
ben birkaç,349
yarın beni,349
çok ne,349
bana kendini,349
neden sorun,349
nasıl mutlu,349
de eski,348
üç küçük,348
ama istiyorum,348
gece yine,348
önce bizi,348
önce kendi,348
mu değil,348
eve sağ,348
şeyler doğru,348
yıl olacak,348
olmalı ve,348
sadece mutlu,348
siz orada,348
mu şimdi,348
olacak biliyor,348
evet bunlar,348
sizin büyük,348
bana senden,348
iş beni,347
mu önemli,347
hayır güzel,347
hayır kötü,347
benimle nasıl,347
oh önemli,347
benimle burada,347
ki biliyorsun,347
evet hep,347
an sadece,347
önce eve,347
ol bu,347
anda başka,347
şeyler her,347
de işi,347
tabii öyle,347
ben mutlu,347
göre hayır,347
ediyor gibi,347
bir hoş,347
kendini küçük,346
göre de,346
sanırım bunlar,346
neden en,346
tekrar birlikte,346
sadece benden,346
içinde de,346
onlara ben,346
bizi sen,346
ona şimdi,346
değil aynı,346
bak yine,346
fakat burada,346
işi sana,345
oh benim,345
şey olmak,345
sana seni,345
de adam,345
bizi her,345
benim bile,345
ilgili tüm,345
sana önemli,345
yarın çok,345
ona onu,345
gereken ilk,345
oraya tek,345
yani bize,345
biz bunun,345
senin hiçbir,345
al sen,345
gece her,345
biraz eski,345
lütfen öyle,345
etmek gibi,344
yüzden biz,344
neden size,344
oh bay,344
bize gereken,344
daha ona,344
ben var,344
iş gibi,344
da kadın,344
şimdi onunla,344
kız daha,344
daha yapmak,344
beni tam,344
daha istiyor,343
oldu onlara,343
yanlış hiçbir,343
benim tüm,343
olur bence,343
ol o,343
gibi biliyorsun,343
asla yapma,343
hemen lütfen,343
oluyor biliyor,343
sizi her,343
nerede yanlış,343
gün ver,343
sana birini,343
o bay,343
ediyorum efendim,343
biraz ondan,343
eğer hemen,343
herkes her,342
kız burada,342
size yeni,342
bugün iki,342
beni bundan,342
hadi küçük,342
da gerçek,342
sonra iyi,342
sanırım seninle,342
yok orada,342
oraya tekrar,342
sana mutlu,342
olarak size,342
için söyle,342
mı çocuklar,342
bile kötü,342
yani bence,341
bunun o,341
böyle demek,341
bizi ona,341
yoksa tabii,341
bakalım şunu,341
kesinlikle daha,341
buraya tatlım,341
bana bayan,341
burada olduğu,341
şunu biliyorum,341
saat bile,341
benim iş,341
hadi iyi,340
sonra bunun,340
zaten benim,340
dinle bunu,340
kimse benden,340
bunlar hep,340
ben ederim,340
dostum bunu,340
belki işe,340
ne kız,340
tane lazım,340
dur nereye,340
için biz,340
yine gel,340
onları gerçekten,340
tanrım bilmiyorum,340
büyük gece,339
hala onun,339
demek ben,339
gidelim tamam,339
yüzden böyle,339
anne nerede,339
neden tüm,339
bile ben,339
bayan mı,339
işi hemen,339
sonra büyük,339
çocuklar ve,339
ya onun,339
yoksa kötü,339
bence şu,339
söz etmek,339
burası beni,339
fazla yardım,339
lütfen onunla,339
olsun sen,339
niye peki,339
istiyorum seni,339
değil bence,339
göre en,338
kadar seviyorum,338
biri doktor,338
bilmiyorum ne,338
dışarı nasıl,338
yine burada,338
siz gerçekten,338
ben iş,338
üzgünüm benim,338
siz en,338
önce başka,338
zaten bana,338
oh ve,338
ha bu,338
et kim,338
onu sizin,338
da tamam,338
çok istiyorsun,338
buraya kendi,338
fakat bana,338
hiçbir insan,337
için kimse,337
gece özel,337
değil onu,337
ne şeyi,337
size böyle,337
burası için,337
beni onlara,337
hiç olmaz,337
demek her,337
an o,337
ol da,337
neden bugün,337
bana eski,337
tatlım bana,337
insan benim,337
bunu hala,337
onunla hemen,337
neden önce,337
olabilir değil,337
yani benden,336
et işte,336
tanrım harika,336
bana yanlış,336
mısın yani,336
kimse onunla,336
burada yanlış,336
elbette ben,336
artık buraya,336
olabilir ve,336
gerek değil,336
de tatlım,336
neden olduğu,336
sadece gerçek,336
beni bile,336
yer için,335
mi neden,335
yok ederim,335
daha ve,335
ki bunlar,335
ama olan,335
hadi iş,335
ki bugün,335
gece pek,335
mı sana,335
sizi böyle,335
her işte,335
mı anne,335
şey dostum,335
evet nereden,335
birlikte misiniz,335
istiyorsun dostum,335
işte ne,335
gibi hiç,335
buna zaman,335
elbette ne,335
daha gerçek,335
beni baba,335
herkes iş,335
ama işi,335
ona değil,335
olacak yani,334
bunlar seni,334
iyi sen,334
de söyledi,334
gel sen,334
ki senden,334
fazla bu,334
biliyorum değil,334
çünkü bence,334
de istiyor,334
sana lanet,334
hiç kız,334
hoş ama,334
tamam üç,334
ver hemen,334
haydi ne,334
olacak sanırım,334
önce birini,334
yüzden daha,334
mı artık,334
işte sana,334
siz her,333
bana yine,333
sonra bize,333
çünkü ondan,333
tabii önce,333
beni son,333
işi olduğunu,333
lütfen buradan,333
merhaba ne,333
ondan bu,333
hep yanlış,333
belki yeni,333
ona niye,332
senin orada,332
küçük güzel,332
bu bence,332
daha özel,332
hala var,332
da bütün,332
edin ne,332
olsun efendim,332
onunla nerede,332
da seviyorum,332
hayır yarın,332
biri bile,332
da oluyor,332
pekala onu,332
dinle onu,332
oraya asla,331
herkes bizi,331
mu olacak,331
bana çocuk,331
bak neler,331
merhaba güzel,331
diye böyle,331
iyi bu,331
kız senin,331
da ister,331
bu ondan,331
birkaç gece,330
daha olmalı,330
dakika tamam,330
gece başka,330
an buraya,330
yüzden benimle,330
olarak neden,330
harika teşekkür,330
zaman hadi,330
siz neler,330
ben gece,330
çünkü çünkü,330
hala sana,330
gidelim ve,330
mü işte,330
şeyler daha,330
tanrım neden,330
daha tam,330
neden bunun,329
hep de,329
gel tamam,329
yok seni,329
şimdi tamam,329
iyi yemek,329
şeyler beni,329
kadar bizi,329
yeni yeni,329
iş senin,329
onları iyi,329
sana ilk,329
sizi ona,329
ver bunu,328
baba sorun,328
lütfen onlara,328
peki diğer,328
bu tekrar,328
demek yok,328
o oldu,328
önce olmaz,328
gerçekten senin,328
haydi şunu,328
bana özel,327
gibi biz,327
kadar hep,327
zaman artık,327
iyi ha,327
değil iki,327
şu son,327
için yarın,327
hiç kadın,327
mutlu et,327
pekala neler,327
tanrım burası,327
ama kontrol,327
tanrım burada,326
yerde dur,326
bunun pek,326
dilerim doktor,326
çok o,326
doktor olarak,326
bizim çocuklar,326
güzel oluyor,326
zaman büyük,326
buraya iş,326
orada sadece,326
bak da,326
kimse buradan,326
kadın ne,326
büyük olacak,326
ben tekrar,326
dakika geç,326
yapıyorsun baba,326
hiç çocuk,326
böyle olduğu,325
tek yapmak,325
var onu,325
asla benim,325
yarın değil,325
onunla hiçbir,325
da buradan,325
var bugün,325
yok işte,325
güzel biri,325
anda tek,325
hala zaman,325
bana küçük,325
lütfen onları,325
bunu ondan,325
beni zor,325
olmaz bir,325
biraz ver,325
güzel teşekkür,325
zaman senden,325
tanrım her,324
ve az,324
sen sağ,324
şimdi onlara,324
ben olabilir,324
doğru bay,324
artık benden,324
yıl oluyor,324
önemli ki,324
kendi içinde,324
sadece geri,324
o yıl,324
herkes senden,324
hey neden,324
diye seni,323
seni eski,323
diye değil,323
tane olmalı,323
olarak neler,323
şimdi aynı,323
onları oraya,323
hiç oraya,323
gerçekten ama,323
anda en,323
doktor ve,323
hepsi için,322
ol sen,322
peki dostum,322
şey en,322
ki sizi,322
kişi olmak,322
hala tek,322
bilmiyorum da,322
bunlar hakkında,322
şeyler bunlar,322
ilk olacak,322
haydi doktor,322
dostum bana,322
benim sadece,321
biri şunu,321
peki çok,321
içinde her,321
fakat senin,321
gerçekten onun,321
elbette olur,321
de burası,321
şeyler yapma,321
bayan kim,321
yardım ve,321
kötü değilim,321
gereken iki,320
gerekiyor ki,320
sanırım mı,320
olsun ister,320
neden iki,320
onlara çok,320
sanırım geri,320
şunu ver,320
çok gördüm,320
ona yeni,320
şey önemli,320
bence ona,320
biraz ne,320
hadi oraya,320
gerçekten teşekkür,319
bugün size,319
kadar birlikte,319
onu lütfen,319
işte tam,319
sana zaten,319
para sorun,319
ne küçük,319
şimdi hazır,319
ediyorum ve,319
yani bizi,319
bakalım bunu,319
istemiyorum ben,319
sen anne,318
misiniz doktor,318
miyim yani,318
mi bunlar,318
evet bizim,318
o pek,318
bence bunun,318
üzgünüm sana,318
ben emin,318
o onun,318
yemek de,318
evet pek,318
kadar kaç,318
benimle olmak,318
ne gördüm,318
olsun ve,318
yoksa siz,318
yüzden fazla,318
size kötü,318
oluyor ve,318
biraz buraya,318
en hoş,318
gidip birkaç,318
para her,318
gerek ama,318
kim beni,317
var ben,317
sonra gidip,317
sonra üç,317
biri ne,317
eminim iyi,317
zor biliyorum,317
tam bunu,317
böyle görmek,317
et ki,317
sen eski,317
şekilde bu,317
iş artık,317
sen bırak,317
teşekkür edin,317
gün onun,317
şunu dostum,317
daha öyle,316
çocuk ama,316
istiyorsun o,316
bizim eve,316
yani hadi,316
tamam bırak,316
zaman gerçekten,316
artık son,316
bu niye,315
an yok,315
ol buradan,315
artık lütfen,315
tamam biliyor,315
iş dostum,315
başka gün,315
önce öyle,315
zaten biliyor,315
bana anne,315
tatlım beni,315
de şey,315
yani gerçek,314
da özel,314
da birini,314
bir oldu,314
her adam,314
başka şekilde,314
merhaba iyi,314
için çocuk,314
buraya onu,314
hiç kötü,314
ilk ne,314
büyük mutlu,314
demek ha,314
onu seni,314
ki gerçekten,313
mi aynı,313
sanırım bugün,313
gibi yok,313
belki yine,313
yok sen,313
efendim hayır,313
öyle zor,313
söyledi ki,313
para olduğunu,313
biri benimle,313
da nerede,313
zorunda da,313
neden sizi,313
hayır diğer,313
diye de,313
güzel küçük,313
seninle ve,313
olsun bunu,313
senden hep,313
uzun zor,313
beni ben,313
nerede olacak,313
gereken daha,312
hiç ama,312
seni tam,312
gece aynı,312
nasıl hayır,312
seni birkaç,312
onları o,312
ki bayan,312
içinde hazır,312
biliyorum fakat,312
şimdi büyük,312
siz ona,312
nedir tatlım,312
evet kötü,312
ben yarın,311
yok teşekkür,311
şimdi yapmak,311
size sadece,311
bütün para,311
bak seninle,311
anda tüm,311
üzgünüm bir,311
var evet,311
yani tek,311
benden neden,311
ya ona,311
kendini pek,311
hem ne,311
mi burada,311
ona hala,311
şunu geri,311
ki bilmiyorum,311
senin bile,311
şey dedim,310
yıl bu,310
senden fazla,310
yerde de,310
sen şey,310
burada olsun,310
değil fakat,310
hemen istiyorum,310
demek artık,310
edin tamam,310
diye para,310
burada sen,310
tanrım şimdi,310
ve zor,310
iş ama,310
elbette bay,310
önce sizi,310
kişi olarak,310
kesinlikle en,310
bence sadece,309
olan ilk,309
için herkes,309
sanırım herkes,309
harika işte,309
herkes sizi,309
olur zaten,309
onun bunu,309
içinde ve,309
da sorun,309
seviyorum tamam,309
olduğu gün,309
tamam eğer,309
fakat eğer,309
hayır size,309
gibi olabilir,309
artık biraz,309
değil çocuklar,309
yok sana,309
gel al,308
an tam,308
nedir tüm,308
burada işe,308
daha tekrar,308
kim şimdi,308
hayır kendi,308
tabii bunu,308
efendim burada,308
onun orada,308
beni zaten,308
ki bizim,308
ile bu,308
fakat sonra,308
var hem,308
zaman kendini,308
elbette seni,308
bakalım ben,308
efendim çok,308
orada sana,308
yanlış şeyler,308
aynı bizim,308
göre bunu,308
işte şimdi,307
mi iki,307
ne lanet,307
demek buraya,307
sadece senden,307
kimse hiçbir,307
artık emin,307
bunu bugün,307
belki onlar,307
zaman izin,307
zaman gördüm,307
anne orada,307
hey biraz,307
eğer buraya,307
doğru devam,307
da herkes,307
evet yine,306
bence bundan,306
gece buradan,306
de nereye,306
olduğunu hep,306
adam bunu,306
sen son,306
zaten ben,306
benimle neden,306
bunun sizin,306
zaman siz,306
sonra birlikte,306
yere bakın,306
et dedim,306
hâlâ o,306
gibi kendi,306
selam bayan,306
olarak daha,305
ol şimdi,305
harika olan,305
haydi sana,305
bugün bizim,305
fakat her,305
sonra yeni,305
değil bunu,305
ederim de,305
evet hazır,305
hep yapıyorsun,305
güzel tatlım,305
sana pek,305
merhaba bir,305
nasıl kontrol,305
seviyorum ben,305
sizin şu,305
peki size,305
iş bana,305
güzel ben,305
yanlış adam,305
sen iki,305
pekala geri,305
oluyor ama,305
görmek büyük,305
adam böyle,304
zaman sanırım,304
bir bana,304
nasıl yok,304
edin onu,304
bunun kadar,304
olarak sen,304
olsun her,304
ne çocuk,304
et artık,304
gece iki,304
daha kimse,304
hâlâ seviyorum,303
demek zorunda,303
ona gerek,303
elbette onu,303
öyle iyi,303
şimdi kaç,303
size hemen,303
orada olur,303
an sana,303
biri nasıl,303
tatlım sana,303
senin bütün,303
tanrım lanet,303
ona yemek,303
asla görmek,303
hiç senin,303
pekala öyle,303
gerçek olacak,303
peki onlar,303
yer biliyor,303
musun senin,303
mi teşekkür,303
etmek lazım,303
sadece insan,303
yok bunun,303
ki kendi,303
zaman iki,302
bunun en,302
gibi sadece,302
kendini böyle,302
lazım olur,302
için lazım,302
onu az,302
git yoksa,302
eminim her,302
burası ve,302
önce bile,302
gibi kötü,302
bence seni,302
yoksa öyle,302
olsun istiyorsun,302
burada artık,302
fakat sana,301
ama hazır,301
neden mutlu,301
yok olmak,301
bile bizi,301
misin biraz,301
hadi ona,301
da eğer,301
bana aynı,301
zor olmaz,301
istiyorsun demek,301
fakat bunun,301
evet senden,301
tatlım her,301
bunun sorun,301
yine beni,300
oraya çok,300
oluyor musun,300
geri de,300
efendim sanırım,300
an daha,300
sanırım yeni,300
hazır edin,300
gece bizim,300
biliyor ya,300
hem neden,300
ben son,300
kez olmaz,300
gibi para,300
tabii tatlım,300
pek önemli,300
kız onun,300
pekala evet,300
çünkü onlara,300
şey eğer,300
olarak aynı,300
kadar yani,299
son mu,299
üzgünüm özür,299
fakat en,299
şeyi benden,299
az benim,299
ama gel,299
üç çocuk,299
sadece görmek,299
bakın ve,299
da yine,299
yüzden şu,299
bile senin,299
buna iyi,299
gece sadece,298
herkes biraz,298
kim geri,298
tatlım üzgünüm,298
yok gerçekten,298
de gerek,298
eğer buna,298
peki her,298
zaman kötü,298
ol hazır,298
da zaman,298
iyi teşekkür,298
yüzden iyi,298
değil bunlar,298
her kadın,298
değil her,298
bunlar gibi,298
oluyor ha,298
büyük şey,298
oluyor öyle,298
şeyi size,298
eğer buradan,298
yani ilk,297
seninle ilk,297
olan çok,297
benim senin,297
haydi bunu,297
yapma o,297
elbette bunu,297
zaman yeni,297
bu nerede,297
sadece lanet,297
lütfen hiçbir,297
bayan için,297
benim işe,297
nedir bilmiyorum,297
fakat onun,297
zaman yardım,297
belki iyi,297
beni gerçek,297
sizi lanet,297
istiyor bu,297
eğer sizi,297
onları biz,297
çünkü tam,296
de zaman,296
bütün büyük,296
olur öyle,296
mi kadın,296
üzgünüm gerçekten,296
gece harika,296
şu diğer,296
ona merhaba,296
çünkü yarın,296
yapmak ve,296
harika çocuk,296
evet yarın,296
tabii çok,296
olur beni,296
onun özel,296
hey her,296
burası o,296
sen ol,296
son adam,296
yerde var,296
hadi lanet,295
karşı daha,295
burada istiyorum,295
bir olacak,295
ver biraz,295
geldi bile,295
bütün iyi,295
onu şu,295
ki onunla,295
değil bana,295
tekrar sağ,295
öyle oluyor,295
mü ki,295
ilgili şeyler,295
biraz bu,295
biz asla,295
oldu çocuklar,295
şekilde nasıl,294
insan ne,294
şey buraya,294
istiyorum bu,294
fazla olduğunu,294
hiç istemiyorum,294
asla sana,294
lütfen buna,294
kız yok,294
iki şekilde,294
da gidip,294
istemiyorum ki,294
hayır söz,294
hala ona,293
değil beni,293
mısın artık,293
daha bugün,293
kendi özel,293
belki onunla,293
mutlu sana,293
bekle sen,293
biz eve,293
zaman olmaz,293
onları kendi,293
sana kendini,292
gerek dostum,292
olmaz olur,292
size yemek,292
burada önemli,292
istiyorum o,292
kadar yemek,292
adam hiç,292
yoksa kız,292
gece var,292
karşı değilim,292
burada yer,292
yüzden onun,292
zaman peki,292
ben tamam,292
efendim öyle,292
benden asla,292
eve daha,292
emin bir,292
o yardım,292
bunun neden,292
de bunlar,292
baba olarak,292
şey bundan,292
doğru adam,292
yoksa böyle,291
sen adam,291
kadar hazır,291
ben dostum,291
belki bugün,291
benim artık,291
mı yapmak,291
iyi ol,291
benimle de,291
burada onunla,291
şimdi ilk,291
göre burada,291
bugün saat,291
işte yine,290
bunu son,290
biraz et,290
olmalı bu,290
kimse dışarı,290
mü o,290
yeni değil,290
şey size,290
peki devam,290
çünkü onunla,290
fakat biz,290
adam artık,290
hemen benimle,290
git ya,290
evet hiçbir,290
ha bir,290
biz teşekkür,290
yerde ve,290
adam neden,290
belki biri,289
merhaba eski,289
yok doktor,289
kötü çocuklar,289
olur o,289
aslında bunun,289
ki önemli,289
ver ya,289
bunlar böyle,289
ki asla,289
sana yanlış,289
pekala buraya,289
o yer,288
şey bay,288
tek neden,288
haydi beni,288
kez bu,288
aslında artık,288
sonra yok,288
bence tam,288
neler olur,288
kız sen,288
iyi insan,288
onu yoksa,288
pekala nerede,288
onlara böyle,288
ama yemek,288
bunlar işe,288
benden ve,288
sen fazla,288
olan küçük,288
oldu yani,288
harika sağ,288
artık oraya,288
için niye,288
birlikte olduğu,287
anda bana,287
burada neden,287
çocuk hakkında,287
kim senin,287
oldu doktor,287
şu bir,287
iki gece,287
yani herkes,287
daha sana,287
iş o,287
olsun da,287
eğer her,287
yani bay,287
olarak kim,287
mı ha,287
şimdi ver,287
ona bundan,287
olmaz o,287
burada hala,287
güzel çocuk,287
o peki,287
daha en,287
mu ha,287
ol bir,287
bayan iyi,287
gel geri,287
hep seninle,287
peki ondan,287
kadın yok,286
çünkü biraz,286
adam al,286
git yardım,286
var bunu,286
yok çocuklar,286
tüm iyi,286
benden nasıl,286
benimle hiçbir,286
çocuklar buna,286
artık baba,286
ya böyle,286
sorun oldu,286
burada biz,286
ol olur,286
de kadın,286
daha devam,286
onu biliyor,286
ki işe,286
hadi onları,286
bana bile,286
hep yapmak,285
herkes o,285
sen diğer,285
ben az,285
anda pek,285
ilgili en,285
hala benimle,285
musun dedim,285
işe sen,285
güzel çocuklar,285
hayır aynı,285
onları her,285
bundan asla,285
böyle seviyorum,285
ben bana,285
onunla olmak,285
sonra dışarı,285
mı görmek,285
onu tam,284
peki onları,284
bundan ister,284
biliyorum sadece,284
gün ha,284
zaman sizi,284
ol artık,284
mu bir,284
insan nasıl,284
mı gerek,284
oraya ve,284
artık sizi,284
eğer oraya,284
yani pek,284
kim seni,284
asla onun,284
buraya bana,284
onun o,284
az bile,284
yanlış eve,284
senin sadece,284
olduğunu herkes,284
oh demek,284
eve yeni,284
çünkü ilk,284
göre fazla,283
iyi senin,283
musun bilmiyorum,283
yapıyorsun bana,283
şunu ve,283
anne neden,283
çocuk olarak,283
şeyi benim,283
hemen aynı,283
artık iş,283
çocuk beni,283
daha sadece,283
iki de,283
ne doğru,282
niye şimdi,282
sonra onlara,282
çok senin,282
buna o,282
ama lanet,282
sen olmak,282
edin ona,282
zaman gerçek,282
yani bundan,282
gece oraya,282
dostum sana,282
kadın ben,282
yani doğru,282
burası sadece,282
daha oraya,282
da aman,282
de oluyor,282
ona beni,282
şeyler ne,282
birini al,282
biz kötü,282
git başka,282
elbette sorun,281
peki buraya,281
o vardı,281
bu mutlu,281
burada kötü,281
benden hiçbir,281
tamam başka,281
şekilde bana,281
lütfen sen,281
şimdi al,281
tam onun,281
insan da,281
çünkü hala,281
biri hakkında,281
istiyorum hemen,280
kötü ama,280
çocuk istiyorum,280
yarın orada,280
şunu biliyor,280
çok söz,280
seni kendini,280
de gece,280
demek geri,280
zaman olabilir,280
dostum nasıl,280
daha yer,280
ama kadın,280
iyi çünkü,280
istiyorsun ama,280
birkaç iş,279
nasıl o,279
kadar iş,279
birini nasıl,279
yemek değil,279
onlara asla,279
bütün olarak,279
ama gece,279
onun seni,279
doktor yok,279
demek gerçekten,279
niye hiç,279
oraya buraya,279
an ona,279
tamam ver,279
dur bu,279
yine görmek,279
kendini ve,279
dostum beni,279
olmak ve,279
bile büyük,279
onu buna,279
söyle ama,279
yoksa bizi,279
şimdi gerçek,279
ki ya,279
yani kendi,278
bilmiyorum bile,278
kez kontrol,278
de insan,278
hayır sizi,278
geç olsun,278
seninle iyi,278
de aslında,278
kim öyle,278
değil onlar,278
sonra siz,278
bilmiyorum bir,278
olsun ona,278
bize büyük,278
zaman tüm,278
da tüm,278
birlikte ne,278
işi yapıyorsun,278
oraya neden,278
şunu benden,278
bunun tekrar,278
miyim yoksa,278
onlara hiç,278
ama özel,278
mi gerek,278
size iki,278
ne anne,278
doktor olan,278
baba onu,278
şimdi iş,278
burada güzel,278
için bizim,278
dostum ve,278
onu küçük,278
teşekkürler ben,278
da önce,278
an bana,278
aslında buraya,278
dur seni,278
herkes kendini,278
ya gerçekten,277
ki sizin,277
insan böyle,277
sadece ve,277
ona ve,277
hâlâ ne,277
son ve,277
iş çocuklar,277
para gibi,277
bence biz,277
kadar tek,277
önce yok,277
ona fazla,277
iyi olsun,277
kadar işe,277
seni yere,277
küçük olan,277
değil önemli,277
ki olur,277
de yine,277
olacak bilmiyorum,277
evet oraya,277
dedim ve,277
karşı geldi,277
kadar tamam,277
misin bir,277
içinde neler,276
bence senden,276
eminim bay,276
kadar hayır,276
ya kötü,276
mı olsun,276
işte işte,276
da biri,276
ilk gece,276
onları en,276
ben kabul,276
fakat beni,276
gibi aynı,276
hiç gerçek,276
yerde bu,276
oldu zaten,276
kötü oluyor,276
gerçek oluyor,276
onları şimdi,276
haydi hemen,276
söyle beni,276
de kimse,276
bugün son,276
bile öyle,275
ama tamam,275
bence geri,275
bile vardı,275
sonra onlar,275
