twogram,threegram,frequency
ne kadar,ne kadar büyük,4299
gibi bir,bunun gibi bir,4298
bunun gibi,bunun gibi bir,4298
bu o,bu o kadar,4277
o kadar,bu o kadar,4277
bu çok,bu çok fazla,4275
çok fazla,bu çok fazla,4275
bunu sen,bunu sen de,4268
sen de,bunu sen de,4268
bu kadar,bu kadar emin,4267
güzel bir,kadar güzel bir,4266
kadar güzel,kadar güzel bir,4266
bir kaç,sadece bir kaç,4260
sadece bir,sadece bir kaç,4260
o zaman,o zaman bana,4258
de bu,de bu yüzden,4253
bu yüzden,de bu yüzden,4253
aynı şey,aynı şey değil,4251
şey değil,aynı şey değil,4251
kim olduğunu,kim olduğunu bilmiyorum,4251
olduğunu bilmiyorum,kim olduğunu bilmiyorum,4251
yer yok,bir yer yok,4248
bir yer,bir yer yok,4248
ben de,ben de o,4244
de o,ben de o,4244
benden daha,benden daha iyi,4239
daha iyi,benden daha iyi,4239
için çok,için çok teşekkür,4237
çok teşekkür,için çok teşekkür,4237
hiç böyle,önce hiç böyle,4225
önce hiç,önce hiç böyle,4225
bana göre,bana göre değil,4224
nasıl oldu,bu nasıl oldu,4218
bu nasıl,bu nasıl oldu,4218
ben sadece,ben sadece bir,4213
sadece bir,ben sadece bir,4213
bir gün,belki bir gün,4200
belki bir,belki bir gün,4200
bir daha,bir daha hiç,4189
hafta önce,bir hafta önce,4182
bir hafta,bir hafta önce,4182
bir kız,güzel bir kız,4175
ben de,ben de çok,4175
güzel bir,güzel bir kız,4175
de çok,ben de çok,4175
bir şey,bir şey biliyor,4155
pek çok,pek çok şey,4153
çok şey,pek çok şey,4153
nerede olduğunu,nerede olduğunu söyle,4145
olduğunu söyle,nerede olduğunu söyle,4145
bir şey,kimse bir şey,4128
de ne,de ne demek,4126
ne demek,de ne demek,4126
her zaman,her zaman böyle,4105
benim için,benim için ne,4098
için ne,benim için ne,4098
peki ya,peki ya ben,4096
ya ben,peki ya ben,4096
değil mi,olmaz değil mi,4094
yıl önce,birkaç yıl önce,4092
yeni bir,için yeni bir,4090
için bir,için bir neden,4088
önemli değil,hiç önemli değil,4079
gerek yok,hayır gerek yok,4076
sizin için,sizin için bir,4059
için bir,sizin için bir,4059
de ne,şey de ne,4057
şey de,şey de ne,4057
çok teşekkürler,için çok teşekkürler,4052
için çok,için çok teşekkürler,4052
kim bu,kim bu adam,4046
bu adam,kim bu adam,4046
küçük bir,sadece küçük bir,4045
bir şeyler,bir şeyler mi,4029
için iyi,senin için iyi,4011
senin için,senin için iyi,4011
başka bir,için başka bir,4010
da kötü,daha da kötü,4009
daha da,daha da kötü,4009
ister misin,yapmak ister misin,4006
tamam mı,var tamam mı,4005
bunun için,bunun için mi,4002
için mi,bunun için mi,4002
için çok,onun için çok,3976
onun için,onun için çok,3976
söyledi mi,şey söyledi mi,3972
ya da,öyle ya da,3953
bir tane,başka bir tane,3939
başka bir,başka bir tane,3939
de iyi,de iyi bir,3929
iyi bir,de iyi bir,3929
bu nasıl,bu nasıl olabilir,3926
hiçbir şey,ama hiçbir şey,3919
büyük bir,kadar büyük bir,3917
bir dakika,bana bir dakika,3905
bana bir,bana bir dakika,3905
bir iş,harika bir iş,3904
daha önce,onu daha önce,3904
harika bir,harika bir iş,3904
olduğunu biliyorum,nerede olduğunu biliyorum,3883
nerede olduğunu,nerede olduğunu biliyorum,3883
ya da,ya da böyle,3875
bir zaman,bir zaman değil,3873
de bir,yine de bir,3872
yine de,yine de bir,3872
bu yüzden,bu yüzden sana,3868
ama o,ama o kadar,3867
o kadar,ama o kadar,3867
bir yıl,bir yıl önce,3863
yıl önce,bir yıl önce,3863
ne güzel,aman ne güzel,3844
aman ne,aman ne güzel,3844
bir dakika,bir dakika lütfen,3838
son bir,son bir kez,3834
bir kez,son bir kez,3834
bu hiç,bu hiç de,3830
hiç de,bu hiç de,3830
bunu yapmak,bunu yapmak için,3819
yapmak için,bunu yapmak için,3819
her yerde,her yerde seni,3808
üzgünüm ama,için üzgünüm ama,3807
için üzgünüm,için üzgünüm ama,3807
daha iyi,böyle daha iyi,3805
ister misin,yemek ister misin,3799
kim olduğunu,onun kim olduğunu,3795
ya da,ya da daha,3794
tek şey,gereken tek şey,3794
sen ne,peki sen ne,3793
peki sen,peki sen ne,3793
olan bu,önemli olan bu,3788
önemli olan,önemli olan bu,3788
da bu,olan da bu,3783
ya da,ya da belki,3779
benim için,benim için sorun,3775
daha önce,daha önce bir,3772
önce bir,daha önce bir,3772
bir şeyler,bir şeyler söyle,3766
beni bir,beni bir daha,3754
bir daha,beni bir daha,3754
bu gerçekten,bu gerçekten çok,3753
gerçekten çok,bu gerçekten çok,3753
ne zaman,ne zaman bir,3751
zaman bir,ne zaman bir,3751
sadece bir,sadece bir dakika,3751
bir dakika,sadece bir dakika,3751
daha önce,seni daha önce,3741
seni daha,seni daha önce,3741
o zaman,o zaman da,3737
da bu,da bu zaten,3734
sana ne,bak sana ne,3730
o da,o da benim,3722
da benim,o da benim,3722
bir şeyler,bir şeyler yapmak,3715
bir dakika,bir dakika izin,3707
var mı,sorun var mı,3704
sorun var,sorun var mı,3704
ama ben,ama ben de,3703
ben de,ama ben de,3703
tabii ki,hayır tabii ki,3697
bu yeni,bu yeni bir,3663
yeni bir,bu yeni bir,3663
hiçbir şey,bana hiçbir şey,3658
o zaman,o zaman onu,3657
sana ne,sana ne kadar,3654
ne kadar,sana ne kadar,3654
o kadar,o kadar mı,3653
kadar mı,o kadar mı,3653
bu yüzden,ve bu yüzden,3652
ve bu,ve bu yüzden,3652
her şey,her şey bir,3649
de o,belki de o,3645
belki de,belki de o,3645
kadar uzun,o kadar uzun,3641
o kadar,o kadar uzun,3641
ilgili bir,ilgili bir şeyler,3634
bir şeyler,ilgili bir şeyler,3634
hiçbir şey,sana hiçbir şey,3634
çok iyi,gerçekten çok iyi,3620
gerçekten çok,gerçekten çok iyi,3620
için çok,için çok fazla,3618
çok fazla,için çok fazla,3618
daha iyi,şimdi daha iyi,3613
mi var,biri mi var,3609
biri mi,biri mi var,3609
sen de,ama sen de,3605
ama sen,ama sen de,3605
bir yere,hiç bir yere,3601
hiç bir,hiç bir yere,3601
teşekkür ederim,teşekkür ederim bay,3598
değil mi,yapıyorsun değil mi,3597
çok iyi,de çok iyi,3595
de çok,de çok iyi,3595
de o,de o kadar,3591
o kadar,de o kadar,3591
bir kaç,bir kaç dakika,3576
ne kadar,ne kadar para,3573
kötü değil,kadar kötü değil,3572
kadar kötü,kadar kötü değil,3572
ben de,bunu ben de,3568
bunu ben,bunu ben de,3568
bir kız,bir kız var,3568
bu yüzden,bu yüzden seni,3565
bu kadar,tamam bu kadar,3564
tamam bu,tamam bu kadar,3564
kimse yok,burada kimse yok,3562
en önemli,en önemli şey,3559
daha çok,daha çok şey,3554
çok şey,daha çok şey,3554
senin için,senin için her,3552
için her,senin için her,3552
için de,için de bir,3540
de bir,için de bir,3540
her şey,olan her şey,3533
tam bir,bu tam bir,3532
ben de,ben de bundan,3527
bu gece,bu gece bir,3525
için bir,bunun için bir,3522
bunun için,bunun için bir,3522
onun için,onun için bir,3518
için bir,onun için bir,3518
hafta önce,birkaç hafta önce,3503
bir hafta,bir hafta sonra,3494
bir şey,son bir şey,3492
son bir,son bir şey,3492
her şeyi,her şeyi biliyorum,3483
bunun ne,bunun ne kadar,3463
ne kadar,bunun ne kadar,3463
böyle bir,önce böyle bir,3450
daha mı,daha mı iyi,3448
bir dakika,bir dakika içinde,3447
dakika içinde,bir dakika içinde,3447
ve ben,ve ben bir,3445
ben bir,ve ben bir,3445
her şeyi,sana her şeyi,3443
her ne,her ne kadar,3441
ne kadar,her ne kadar,3441
çok iyi,çok iyi biliyorum,3437
emin olmak,emin olmak istiyorum,3434
olmak istiyorum,emin olmak istiyorum,3434
her şeyi,hakkında her şeyi,3428
bu gece,bu gece için,3428
neler oluyor,orada neler oluyor,3422
bir tek,bir tek sen,3418
için bir,bizim için bir,3405
bizim için,bizim için bir,3405
çok zor,için çok zor,3392
için çok,için çok zor,3392
bir şeyler,bana bir şeyler,3386
bana bir,bana bir şeyler,3386
hiç de,hayır hiç de,3382
hayır hiç,hayır hiç de,3382
bir gün,kötü bir gün,3366
kötü bir,kötü bir gün,3366
bir yer,harika bir yer,3365
harika bir,harika bir yer,3365
bir yer,başka bir yer,3363
başka bir,başka bir yer,3363
bir daha,bir daha söyle,3360
ne kadar,ne kadar önemli,3348
her şeyi,bu her şeyi,3340
doğru mu,doğru mu bu,3331
bir zaman,iyi bir zaman,3331
iyi bir,iyi bir zaman,3331
eğer bir,eğer bir şey,3327
bir şey,eğer bir şey,3327
daha iyi,kendini daha iyi,3319
hoş değil,hoş değil mi,3319
değil mi,hoş değil mi,3319
ben de,ben de sizi,3316
gibi bir,benim gibi bir,3314
beni mi,beni mi görmek,3314
benim gibi,benim gibi bir,3314
bana yardım,lütfen bana yardım,3311
lütfen bana,lütfen bana yardım,3311
iyi bir,gerçekten iyi bir,3307
gerçekten iyi,gerçekten iyi bir,3307
ne oldu,ne oldu peki,3302
bir şey,bir şey olabilir,3300
şimdi beni,şimdi beni dinle,3298
beni dinle,şimdi beni dinle,3298
daha önce,neden daha önce,3295
bir şey,orada bir şey,3294
orada bir,orada bir şey,3294
her şey,için her şey,3292
için her,için her şey,3292
ne var,şimdi ne var,3291
şimdi ne,şimdi ne var,3291
biz de,ve biz de,3286
her şeyi,olan her şeyi,3279
ben de,zaman ben de,3278
bir çocuk,iyi bir çocuk,3274
iyi bir,iyi bir çocuk,3274
evet ama,evet ama ben,3272
ama ben,evet ama ben,3272
bir şeyler,sana bir şeyler,3264
bu gerçek,bu gerçek bir,3264
gerçek bir,bu gerçek bir,3264
sana bir,sana bir şeyler,3264
ol dostum,sağ ol dostum,3262
sağ ol,sağ ol dostum,3262
ister misin,daha ister misin,3261
biliyorsun değil,olduğunu biliyorsun değil,3261
olduğunu biliyorsun,olduğunu biliyorsun değil,3261
sen misin,bu sen misin,3258
ne o,ne o zaman,3255
o zaman,ne o zaman,3255
o zaman,o zaman beni,3255
iyi bir,ben iyi bir,3254
ama benim,ama benim için,3241
benim için,ama benim için,3241
o kadar,o kadar emin,3240
ben de,ben de böyle,3230
belki de,belki de sadece,3228
iyi misiniz,siz iyi misiniz,3222
en son,onu en son,3221
şu an,şu an bir,3215
çok büyük,bu çok büyük,3213
bu çok,bu çok büyük,3213
her zaman,sen her zaman,3212
de onu,belki de onu,3210
belki de,belki de onu,3210
bu yüzden,bu yüzden bir,3199
bir kadın,bir kadın var,3199
daha iyi,senden daha iyi,3192
de bu,sen de bu,3192
sen de,sen de bu,3192
her şeyi,ve her şeyi,3190
ve her,ve her şeyi,3190
bize bir,bize bir şey,3189
bir şey,bize bir şey,3189
neler olduğunu,bana neler olduğunu,3189
daha çok,ben daha çok,3182
ben daha,ben daha çok,3182
kimse yok,başka kimse yok,3180
ben de,ben de onun,3180
ne zaman,bu ne zaman,3179
bu ne,bu ne zaman,3179
var mı,şeyler var mı,3175
şeyler var,şeyler var mı,3175
etmek için,yok etmek için,3170
bu çok,bu çok zor,3167
çok zor,bu çok zor,3167
şu anda,ve şu anda,3164
de bir,de bir şeyler,3151
her şey,her şey kontrol,3151
bir şeyler,de bir şeyler,3151
hiçbir şey,hiçbir şey için,3148
şey için,hiçbir şey için,3148
bir şey,senden bir şey,3147
özel bir,için özel bir,3142
önce bir,az önce bir,3136
az önce,az önce bir,3136
bir adam,bir adam vardı,3134
o değil,bu o değil,3133
bu o,bu o değil,3133
şeyler var,gereken şeyler var,3129
için teşekkürler,şey için teşekkürler,3124
şey için,şey için teşekkürler,3124
hayır mı,mi hayır mı,3121
bir kaç,bir kaç saat,3119
bir şey,bir şey de,3117
şey de,bir şey de,3117
evet mi,evet mi hayır,3115
bu da,bu da senin,3108
daha iyi,daha iyi misin,3105
iyi misin,daha iyi misin,3105
bana neden,bunu bana neden,3104
bunu bana,bunu bana neden,3104
bunu sana,bunu sana kim,3091
daha önce,sana daha önce,3089
teşekkür ederim,evet teşekkür ederim,3089
sizin için,bu sizin için,3087
bu sizin,bu sizin için,3087
haydi haydi,haydi haydi haydi,3086
o zaman,o zaman bunu,3084
biliyorsun değil,bunu biliyorsun değil,3077
bunu biliyorsun,bunu biliyorsun değil,3077
de bir,de bir tane,3074
bir tane,de bir tane,3074
başka bir,ama başka bir,3069
ama bu,ama bu gece,3068
bu gece,ama bu gece,3068
söz ver,bana söz ver,3061
de öyle,biz de öyle,3059
biz de,biz de öyle,3059
hiçbir şey,başka hiçbir şey,3055
tam bir,sen tam bir,3048
var mı,gerek var mı,3047
hiçbir şey,için hiçbir şey,3044
ama bu,ama bu benim,3043
büyük bir,ne büyük bir,3043
bu benim,ama bu benim,3043
bu kadar,bu kadar güzel,3041
kadar güzel,bu kadar güzel,3041
sen bir,sen bir şey,3039
bir şey,sen bir şey,3039
o zaman,o zaman niye,3037
çok iyi,için çok iyi,3030
için çok,için çok iyi,3030
ne kadar,ne kadar hoş,3026
sen burada,sen burada ne,3021
burada ne,sen burada ne,3021
bir şeyler,bir şeyler olmalı,3021
sen de,sen de onu,3020
de onu,sen de onu,3020
evet çok,evet çok güzel,3017
değil mi,biri değil mi,3017
çok güzel,evet çok güzel,3017
biri değil,biri değil mi,3017
ne demek,ne demek biliyor,3008
bana ne,bana ne olduğunu,3005
neler oluyor,neler oluyor böyle,3005
ne olduğunu,bana ne olduğunu,3005
bir şey,bir şey gördüm,3004
bu kadar,bu kadar kötü,3004
kadar kötü,bu kadar kötü,3004
ne kadar,seni ne kadar,2997
bir çocuk,küçük bir çocuk,2994
özel bir,bu özel bir,2994
küçük bir,küçük bir çocuk,2994
devam et,sen devam et,2981
hiçbir şey,ve hiçbir şey,2981
ister misin,biraz ister misin,2979
her şey,her şey daha,2978
sen de,sen de bunu,2978
şey daha,her şey daha,2978
de bunu,sen de bunu,2978
başka bir,belki başka bir,2964
her şeyi,ben her şeyi,2958
ya da,evet ya da,2957
bu adam,bu adam bir,2957
bir şey,küçük bir şey,2955
küçük bir,küçük bir şey,2955
bir daha,bir daha görmek,2953
ne hoş,ne hoş bir,2951
olduğunu biliyorsun,ne olduğunu biliyorsun,2951
ne olduğunu,ne olduğunu biliyorsun,2951
hoş bir,ne hoş bir,2951
her şey,ama her şey,2947
daha iyi,daha iyi değil,2945
iyi değil,daha iyi değil,2945
bu kadar,bu kadar zor,2941
kadar zor,bu kadar zor,2941
şu an,şu an burada,2934
birkaç gün,birkaç gün içinde,2931
hiçbir şey,burada hiçbir şey,2926
bir tek,bir tek ben,2913
en az,en az bir,2911
belki de,belki de sen,2911
bir yerde,bir yerde olmalı,2910
olduğunu bilmiyorum,olduğunu bilmiyorum ama,2904
bilmiyorum ama,olduğunu bilmiyorum ama,2904
ne olacak,ne olacak peki,2903
değil mi,değil mi bay,2902
böyle şeyler,olur böyle şeyler,2900
mi bu,değil mi bu,2898
değil mi,değil mi bu,2898
bir daha,bir daha da,2897
belki de,ama belki de,2897
daha da,bir daha da,2897
her şey,her şey tamam,2889
da ne,ya da ne,2881
ya da,ya da ne,2881
ve bir,ve bir şey,2879
bir şey,ve bir şey,2879
sizi görmek,sizi görmek istiyor,2877
görmek istiyor,sizi görmek istiyor,2877
görmek istiyorum,onu görmek istiyorum,2877
sen de,sen de çok,2875
güzel bir,güzel bir kadın,2875
de çok,sen de çok,2875
bir kadın,güzel bir kadın,2875
seni seviyorum,seni seviyorum baba,2873
öyle mi,oh öyle mi,2871
bir yer,bir yer biliyorum,2868
başka bir,de başka bir,2868
bundan daha,bundan daha iyi,2867
daha iyi,bundan daha iyi,2867
o yüzden,o yüzden bu,2866
böyle bir,böyle bir yerde,2866
bir yerde,böyle bir yerde,2866
bir şey,bir şey geldi,2865
iyi bir,ve iyi bir,2863
o zaman,ama o zaman,2859
ama o,ama o zaman,2859
iyi bir,ama iyi bir,2843
ister misin,yardım ister misin,2840
şey de,şey de bu,2840
de bu,şey de bu,2840
ya da,ya da bu,2833
da bu,ya da bu,2833
ne yapıyorsun,hey ne yapıyorsun,2831
hey ne,hey ne yapıyorsun,2831
senin için,ben senin için,2831
ben senin,ben senin için,2831
her zaman,ama her zaman,2827
bu gece,bu gece ne,2820
çok iyi,o çok iyi,2816
o çok,o çok iyi,2816
bize yardım,bize yardım et,2813
yardım et,bize yardım et,2813
o da,o da mı,2812
bu doğru,hayır bu doğru,2812
hayır bu,hayır bu doğru,2812
da mı,o da mı,2812
tek kişi,tek kişi benim,2810
hadi ama,hadi ama dostum,2809
önemli değil,hayır önemli değil,2804
her şey,her şey burada,2799
çok şey,kadar çok şey,2796
kadar çok,kadar çok şey,2796
tanrım bu,aman tanrım bu,2790
aman tanrım,aman tanrım bu,2790
görmek için,seni görmek için,2789
seni görmek,seni görmek için,2789
kadar iyi,kadar iyi bir,2775
iyi bir,kadar iyi bir,2775
o zaman,o zaman sana,2766
bile bilmiyorum,olduğunu bile bilmiyorum,2764
bir hafta,bir hafta içinde,2763
bir tane,bir tane bile,2761
senin için,senin için sorun,2759
küçük bir,için küçük bir,2757
bana yardım,biri bana yardım,2756
ya da,ya da iki,2750
yardım etmek,bana yardım etmek,2748
bana yardım,bana yardım etmek,2748
her zaman,ve her zaman,2748
ve her,ve her zaman,2748
şey var,her şey var,2746
her şey,her şey var,2746
ama o,evet ama o,2745
evet ama,evet ama o,2745
daha kötü,çok daha kötü,2744
çok daha,çok daha kötü,2744
her zaman,her zaman çok,2744
hayır ben,hayır hayır ben,2742
hayır hayır,hayır hayır ben,2742
hiçbir şey,hiçbir şey mi,2741
şey mi,hiçbir şey mi,2741
yıl önce,üç yıl önce,2737
de bu,yine de bu,2732
yine de,yine de bu,2732
bizim için,bu bizim için,2731
bu bizim,bu bizim için,2731
hadi gidelim,hadi gidelim buradan,2729
gidelim buradan,hadi gidelim buradan,2729
şu anda,şu anda burada,2721
bir daha,bana bir daha,2719
bana bir,bana bir daha,2719
bu gece,bu gece olmaz,2716
belki de,belki de daha,2713
ne kadar,ne kadar istiyorsun,2713
demek oluyor,demek oluyor bu,2712
iyi bir,iyi bir insan,2711
bir insan,iyi bir insan,2711
bir gün,bir gün olacak,2710
bunu yapmak,bunu yapmak istemiyorum,2710
siz de,ve siz de,2703
de bu,bir de bu,2698
bir de,bir de bu,2698
o da,o da beni,2698
o zaman,o zaman seni,2695
ne dedim,ne dedim ben,2691
değil mi,olmalı değil mi,2690
değil mi,olur değil mi,2689
ya siz,peki ya siz,2688
peki ya,peki ya siz,2688
ne demek,bunun ne demek,2683
bunun ne,bunun ne demek,2683
bunun için,ve bunun için,2681
ya da,bir ya da,2681
buraya gel,hemen buraya gel,2679
onun hakkında,onun hakkında ne,2677
hakkında ne,onun hakkında ne,2677
çok iyi,evet çok iyi,2674
evet çok,evet çok iyi,2674
ya da,ya da ben,2672
eve gidelim,hadi eve gidelim,2671
çok iyi,çok iyi biliyorsun,2671
bu kadar,bu kadar geç,2670
bu kadar,seni bu kadar,2670
seni bu,seni bu kadar,2670
ne olur,ne olur ne,2664
bir iş,bir iş değil,2663
ona yardım,ona yardım et,2662
yardım et,ona yardım et,2662
neden bir,neden bir şey,2660
bu gece,bu gece çok,2660
bir şey,neden bir şey,2660
biliyor musun,bunu biliyor musun,2659
bunu biliyor,bunu biliyor musun,2659
yardım et,lütfen yardım et,2658
lütfen yardım,lütfen yardım et,2658
ve benim,ve benim için,2657
benim için,ve benim için,2657
bu kadar,bu kadar büyük,2655
ister misin,de ister misin,2653
biraz daha,biraz daha zaman,2652
nereden biliyorsun,sen nereden biliyorsun,2651
daha fazla,daha fazla para,2650
dakika sonra,bir dakika sonra,2644
bir dakika,bir dakika sonra,2644
bence de,evet bence de,2642
başka bir,başka bir iş,2639
bir iş,başka bir iş,2639
bir daha,bir daha böyle,2638
değil mi,vardı değil mi,2637
bu değil,şey bu değil,2636
şey bu,şey bu değil,2636
olduğunu biliyorum,orada olduğunu biliyorum,2635
bir adam,bir adam için,2633
orada ne,orada ne yapıyorsun,2627
için daha,senin için daha,2627
senin için,senin için daha,2627
ne yapıyorsun,orada ne yapıyorsun,2627
sanırım öyle,evet sanırım öyle,2626
evet sanırım,evet sanırım öyle,2626
biliyor musun,demek biliyor musun,2624
daha çok,daha çok var,2616
bizim için,bizim için çok,2615
için çok,bizim için çok,2615
her şey,her şey olabilir,2610
bakalım ne,bakalım ne oldu,2609
ne oldu,bakalım ne oldu,2609
ister misiniz,görmek ister misiniz,2605
görmek ister,görmek ister misiniz,2605
lanet olsun,lanet olsun sana,2602
her şey,artık her şey,2601
daha çok,daha çok bir,2599
küçük bir,sana küçük bir,2591
bir de,bir de şu,2588
daha sonra,bunu daha sonra,2586
bunu daha,bunu daha sonra,2586
hiçbir şey,hayır hiçbir şey,2585
biliyor musun,biliyor musun bu,2583
kadar zor,kadar zor olduğunu,2580
zor bir,zor bir gün,2572
bir gün,zor bir gün,2572
bir çocuk,bir çocuk gibi,2570
birkaç gün,birkaç gün sonra,2566
da iyi,daha da iyi,2564
daha da,daha da iyi,2564
biliyor musun,nedir biliyor musun,2562
hem de,evet hem de,2558
şu an,şu an çok,2556
yüzden mi,o yüzden mi,2552
o yüzden,o yüzden mi,2552
sorun değil,tamam sorun değil,2550
her zaman,bu her zaman,2545
değil mi,olacak değil mi,2539
biliyor mu,olduğunu biliyor mu,2537
olduğunu biliyor,olduğunu biliyor mu,2537
bir iş,bir iş için,2535
o kadar,o kadar zor,2533
kadar zor,o kadar zor,2533
da değil,kadar da değil,2530
kadar da,kadar da değil,2530
bu gece,bu gece mi,2529
nereden biliyorsun,olduğunu nereden biliyorsun,2527
nasıl bir,olmak nasıl bir,2525
de senin,de senin için,2524
senin için,de senin için,2524
bu önemli,bu önemli değil,2518
önemli değil,bu önemli değil,2518
daha fazla,biraz daha fazla,2515
biraz daha,biraz daha fazla,2515
ne zaman,ne zaman geri,2515
bir sorun,ilgili bir sorun,2514
ilgili bir,ilgili bir sorun,2514
bu yüzden,bu yüzden ben,2511
belki de,evet belki de,2511
senin için,senin için zor,2511
için daha,için daha fazla,2507
daha fazla,için daha fazla,2507
de iyi,hiç de iyi,2505
hiç de,hiç de iyi,2505
ben de,çünkü ben de,2503
çünkü ben,çünkü ben de,2503
belki de,belki de ben,2502
bir şey,hayır bir şey,2500
hayır bir,hayır bir şey,2500
bu doğru,ama bu doğru,2499
ama bu,ama bu doğru,2499
senin için,senin için değil,2497
için değil,senin için değil,2497
iyi olacak,şey iyi olacak,2496
bu şekilde,bu şekilde mi,2491
değil mi,geliyor değil mi,2490
ben bu,ve ben bu,2489
etmek için,kontrol etmek için,2489
ve ben,ve ben bu,2489
her şey,burada her şey,2488
biraz zaman,biraz zaman ver,2488
çok seviyorum,daha çok seviyorum,2486
daha çok,daha çok seviyorum,2486
için teşekkür,için teşekkür etmek,2485
değil mi,o değil mi,2479
o değil,o değil mi,2479
bir sorun,bu bir sorun,2476
bu bir,bu bir sorun,2476
sorun değil,için sorun değil,2474
ne olduğunu,ne olduğunu bile,2472
ki bu,ki bu da,2467
bu da,ki bu da,2467
o kadar,için o kadar,2460
şu anda,şu anda çok,2459
daha iyi,daha iyi mi,2457
iyi mi,daha iyi mi,2457
ben de,ben de biraz,2457
geç oldu,çok geç oldu,2457
çok geç,çok geç oldu,2457
çok geç,çok geç değil,2456
daha kötü,daha kötü bir,2453
kötü bir,daha kötü bir,2453
şu anda,şu anda ne,2450
ben de,ben de senden,2444
önemli olan,önemli olan da,2441
biliyor musun,şey biliyor musun,2441
bu önemli,bu önemli bir,2437
önemli bir,bu önemli bir,2437
ne kadar,onu ne kadar,2435
bu harika,bu harika olur,2434
harika olur,bu harika olur,2434
ya da,ya da hayır,2427
bir şey,bir şey olacak,2426
bunu bana,bunu bana nasıl,2426
git git,git git git,2421
de çok,gerçekten de çok,2419
gerçekten de,gerçekten de çok,2419
de senin,de senin gibi,2419
benim için,benim için büyük,2419
senin gibi,de senin gibi,2419
tabii ki,tabii ki öyle,2418
o zaman,hadi o zaman,2418
neden söz,sen neden söz,2415
sen neden,sen neden söz,2415
o da,o da senin,2413
da öyle,ya da öyle,2408
ya da,ya da öyle,2408
hiçbir şey,ilgili hiçbir şey,2407
her zaman,için her zaman,2405
için her,için her zaman,2405
güzel bir,daha güzel bir,2404
belki de,belki de bunu,2402
de bunu,belki de bunu,2402
biliyor musun,ama biliyor musun,2402
